,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1645222,95b0eb62-684f-11ec-822b-83f3c67958e8,a-domi,a1505,20150105,a,20150105 00:00:00,1440,4488.0,4504.0,4446.0,4497.0,3248361300.0,72400.0,257298.0,0.0,4685.0,4325.0,20211229 10:32:36,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1648604,de1defe6-4ebf-11ec-bfe3-83f3c67958e8,a-domi,a1505,20150106,a,20150106 00:00:00,1440,4500.0,4548.0,4486.0,4503.0,7977943500.0,176706.0,257146.0,0.0,4665.0,4307.0,20211126 21:50:51,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
493188,bb283ff1-4ebf-11ec-bfe3-83f3c67958e8,a-domi,a1505,20150107,a,20150107 00:00:00,1440,4514.0,4528.0,4480.0,4505.0,4604084000.0,102236.0,259540.0,0.0,4694.0,4334.0,20211126 21:49:52,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645223,ad744649-4ebf-11ec-bfe3-83f3c67958e8,a-domi,a1505,20150108,a,20150108 00:00:00,1440,4510.0,4524.0,4490.0,4503.0,4220491000.0,93610.0,258778.0,0.0,4683.0,4323.0,20211126 21:49:29,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645224,8ac34446-4ebf-11ec-bfe2-83f3c67958e8,a-domi,a1505,20150109,a,20150109 00:00:00,1440,4508.0,4519.0,4486.0,4509.0,4779244600.0,106146.0,257520.0,0.0,4688.0,4328.0,20211126 21:48:31,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1648605,787ad4cd-4ebf-11ec-bfe2-83f3c67958e8,a-domi,a1505,20150112,a,20150112 00:00:00,1440,4511.0,4538.0,4497.0,4510.0,6084913500.0,134590.0,256854.0,0.0,4682.0,4322.0,20211126 21:48:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645225,5ba2d393-4ebf-11ec-bfe2-83f3c67958e8,a-domi,a1505,20150113,a,20150113 00:00:00,1440,4501.0,4504.0,4465.0,4483.0,5242181400.0,116956.0,246092.0,0.0,4701.0,4341.0,20211126 21:47:12,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645226,4bd9e88b-4ebf-11ec-bfe2-83f3c67958e8,a-domi,a1505,20150114,a,20150114 00:00:00,1440,4485.0,4487.0,4452.0,4467.0,4310197200.0,96432.0,246202.0,0.0,4661.0,4303.0,20211126 21:46:45,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1648606,3d2fd52e-4ebf-11ec-bfe2-83f3c67958e8,a-domi,a1505,20150115,a,20150115 00:00:00,1440,4456.0,4504.0,4456.0,4497.0,4311249800.0,96184.0,247480.0,0.0,4647.0,4291.0,20211126 21:46:21,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645227,241987f2-4ebf-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150116,a,20150116 00:00:00,1440,4495.0,4522.0,4470.0,4506.0,5195739800.0,115612.0,242850.0,0.0,4661.0,4303.0,20211126 21:45:39,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
493189,17f1cba7-4ebf-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150119,a,20150119 00:00:00,1440,4514.0,4518.0,4475.0,4496.0,4753200200.0,105682.0,239272.0,0.0,4673.0,4315.0,20211126 21:45:18,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645228,0baa03b7-4ebf-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150120,a,20150120 00:00:00,1440,4500.0,4515.0,4457.0,4458.0,3949372400.0,88182.0,233202.0,0.0,4676.0,4318.0,20211126 21:44:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645229,ed2a24cf-4ebe-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150121,a,20150121 00:00:00,1440,4457.0,4496.0,4408.0,4460.0,6929374800.0,155502.0,219656.0,0.0,4657.0,4299.0,20211126 21:44:07,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
493190,de4d51dc-4ebe-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150122,a,20150122 00:00:00,1440,4452.0,4472.0,4434.0,4441.0,3198444200.0,71814.0,215952.0,0.0,4634.0,4278.0,20211126 21:43:42,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645230,c62897e3-4ebe-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150123,a,20150123 00:00:00,1440,4445.0,4454.0,4416.0,4426.0,2519627600.0,56848.0,210796.0,0.0,4631.0,4275.0,20211126 21:43:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
1645231,b175f2f0-4ebe-11ec-bfe1-83f3c67958e8,a-domi,a1505,20150126,a,20150126 00:00:00,1440,4421.0,4445.0,4391.0,4391.0,3630911100.0,82258.0,209592.0,0.0,4609.0,4255.0,20211126 21:42:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-DOMI
