,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
531488,95d87411-684f-11ec-822b-83f3c67958e8,ag-domi,ag1506,20150105,ag,20150105 00:00:00,1440,3498.0,3516.0,3478.0,3507.0,26980855050.0,513798.0,410420.0,0.0,3735.0,3312.0,20211229 10:32:36,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
531489,e1bfc2da-51b0-11ec-a859-2c56dc94c9c5,ag-domi,ag1506,20150106,ag,20150106 00:00:00,1440,3490.0,3566.0,3462.0,3554.0,116077318470.0,2199972.0,450158.0,0.0,3710.0,3290.0,20211130 15:41:08,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1673861,dfadca09-51b0-11ec-a3a9-2c56dc94c9c5,ag-domi,ag1506,20150107,ag,20150107 00:00:00,1440,3544.0,3596.0,3530.0,3554.0,99530403330.0,1865876.0,401974.0,0.0,3728.0,3305.0,20211130 15:41:05,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
531490,dd6d1c8b-51b0-11ec-afa6-2c56dc94c9c5,ag-domi,ag1506,20150108,ag,20150108 00:00:00,1440,3540.0,3578.0,3537.0,3548.0,76555021410.0,1434122.0,412464.0,0.0,3769.0,3342.0,20211130 15:41:01,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
531491,db2b9c4b-51b0-11ec-8c73-2c56dc94c9c5,ag-domi,ag1506,20150109,ag,20150109 00:00:00,1440,3568.0,3586.0,3544.0,3555.0,75658384440.0,1415890.0,400170.0,0.0,3771.0,3344.0,20211130 15:40:57,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1673862,d90f973d-51b0-11ec-8bd4-2c56dc94c9c5,ag-domi,ag1506,20150112,ag,20150112 00:00:00,1440,3545.0,3609.0,3520.0,3601.0,135369812100.0,2522336.0,407230.0,0.0,3775.0,3348.0,20211130 15:40:53,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1670910,d6e52f5e-51b0-11ec-ab65-2c56dc94c9c5,ag-domi,ag1506,20150113,ag,20150113 00:00:00,1440,3577.0,3645.0,3571.0,3616.0,98346936000.0,1816952.0,396296.0,0.0,3791.0,3362.0,20211130 15:40:50,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1670911,d498eb43-51b0-11ec-aa4e-2c56dc94c9c5,ag-domi,ag1506,20150114,ag,20150114 00:00:00,1440,3635.0,3664.0,3570.0,3608.0,143100014610.0,2630104.0,381950.0,0.0,3824.0,3391.0,20211130 15:40:46,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1673863,d266cb78-51b0-11ec-9d2e-2c56dc94c9c5,ag-domi,ag1506,20150115,ag,20150115 00:00:00,1440,3592.0,3642.0,3556.0,3573.0,137683553850.0,2546564.0,405240.0,0.0,3844.0,3409.0,20211130 15:40:42,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
1670912,d057e8e8-51b0-11ec-909e-2c56dc94c9c5,ag-domi,ag1506,20150116,ag,20150116 00:00:00,1440,3635.0,3660.0,3613.0,3642.0,117893065350.0,2161856.0,387826.0,0.0,3820.0,3387.0,20211130 15:40:39,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-DOMI
