,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
570234,960f5f99-684f-11ec-822b-83f3c67958e8,al-domi,al1503,20150105,al,20150105 00:00:00,1440,12970.0,12985.0,12860.0,12895.0,3641856450.0,56386.0,157426.0,0.0,13600.0,12555.0,20211229 10:32:37,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1698787,de792e35-4ebf-11ec-bfe3-83f3c67958e8,al-domi,al1503,20150106,al,20150106 00:00:00,1440,12860.0,12880.0,12800.0,12845.0,3611687600.0,56276.0,160562.0,0.0,13430.0,12395.0,20211126 21:50:51,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1696452,bb571058-4ebf-11ec-bfe3-83f3c67958e8,al-domi,al1503,20150107,al,20150107 00:00:00,1440,12800.0,12860.0,12760.0,12760.0,4074873300.0,63712.0,168550.0,0.0,13345.0,12320.0,20211126 21:49:53,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
570235,adafc9ea-4ebf-11ec-bfe3-83f3c67958e8,al-domi,al1503,20150108,al,20150108 00:00:00,1440,12780.0,12845.0,12755.0,12805.0,3019408000.0,47172.0,166856.0,0.0,13300.0,12275.0,20211126 21:49:30,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1698788,8af12460-4ebf-11ec-bfe2-83f3c67958e8,al-domi,al1503,20150109,al,20150109 00:00:00,1440,12850.0,12900.0,12780.0,12855.0,4031524050.0,62750.0,161134.0,0.0,13310.0,12285.0,20211126 21:48:32,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
570236,78de5308-4ebf-11ec-bfe2-83f3c67958e8,al-domi,al1503,20150112,al,20150112 00:00:00,1440,12840.0,12855.0,12760.0,12770.0,2634601250.0,41144.0,162158.0,0.0,13355.0,12330.0,20211126 21:48:01,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1696453,5c0bc888-4ebf-11ec-bfe2-83f3c67958e8,al-domi,al1503,20150113,al,20150113 00:00:00,1440,12705.0,12770.0,12685.0,12750.0,3552439000.0,55832.0,160048.0,0.0,13315.0,12290.0,20211126 21:47:13,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
570237,4c06f1a7-4ebf-11ec-bfe2-83f3c67958e8,al-domi,al1503,20150114,al,20150114 00:00:00,1440,12700.0,12755.0,12445.0,12620.0,7300055350.0,115790.0,155188.0,0.0,13230.0,12215.0,20211126 21:46:46,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1698789,3f863e75-4ebf-11ec-bfe2-83f3c67958e8,al-domi,al1503,20150115,al,20150115 00:00:00,1440,12670.0,13005.0,12665.0,12840.0,6194382050.0,96998.0,139916.0,0.0,13105.0,12100.0,20211126 21:46:25,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
1696454,2537f72d-4ebf-11ec-bfe1-83f3c67958e8,al-domi,al1503,20150116,al,20150116 00:00:00,1440,12930.0,12930.0,12765.0,12820.0,2843309650.0,44358.0,136906.0,0.0,13280.0,12255.0,20211126 21:45:41,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-DOMI
