,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
523107,e240959b-51b0-11ec-b2f9-2c56dc94c9c5,au-domi,au1506,20150106,au,20150106 00:00:00,1440,240.95,245,240.35,244.45,57679334000,237512,214248,0,253.45,229.3,20211130 15:41:09,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371556,e0421c68-51b0-11ec-9f63-2c56dc94c9c5,au-domi,au1506,20150107,au,20150107 00:00:00,1440,244.7,247.3,243.8,245.25,58283535500,237538,214320,0,254.9,230.65,20211130 15:41:06,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
572106,de04c2ed-51b0-11ec-9158-2c56dc94c9c5,au-domi,au1506,20150108,au,20150108 00:00:00,1440,245.2,246.2,244.3,244.5,43397324800,176986,216874,0,257.6,233.05,20211130 15:41:02,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
572107,dbb485f3-51b0-11ec-9b0d-2c56dc94c9c5,au-domi,au1506,20150109,au,20150109 00:00:00,1440,245,246.15,244.55,245.15,36403315100,148366,217668,0,257.45,232.9,20211130 15:40:58,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
523108,d98ead2c-51b0-11ec-9b11-2c56dc94c9c5,au-domi,au1506,20150112,au,20150112 00:00:00,1440,244.7,248.7,243.95,247.75,66943568500,271728,229588,0,257.6,233.05,20211130 15:40:54,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
572108,d773f32f-51b0-11ec-8a16-2c56dc94c9c5,au-domi,au1506,20150113,au,20150113 00:00:00,1440,246.35,250,246,249,48896063100,197054,233632,0,258.65,234,20211130 15:40:51,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371557,d52aacd2-51b0-11ec-88e9-2c56dc94c9c5,au-domi,au1506,20150114,au,20150114 00:00:00,1440,249.5,250.5,246.3,247.9,62004123600,249476,229310,0,260.5,235.65,20211130 15:40:47,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
523109,d2f5ad04-51b0-11ec-841a-2c56dc94c9c5,au-domi,au1506,20150115,au,20150115 00:00:00,1440,248,250.1,246.35,246.75,71544538400,288116,227196,0,260.9,236.05,20211130 15:40:43,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371558,d0c825c4-51b0-11ec-ac48-2c56dc94c9c5,au-domi,au1506,20150116,au,20150116 00:00:00,1440,251.85,253.75,251,253.65,1.01939E+11,403772,237232,0,260.7,235.85,20211130 15:40:40,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
523110,cec15f68-51b0-11ec-aa24-2c56dc94c9c5,au-domi,au1506,20150119,au,20150119 00:00:00,1440,253.8,259,253.5,257.85,97847405900,381174,239050,0,265.05,239.8,20211130 15:40:36,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371559,cc8b997d-51b0-11ec-911e-2c56dc94c9c5,au-domi,au1506,20150120,au,20150120 00:00:00,1440,258,258.3,256.85,257.65,35803791400,139018,238328,0,269.5,243.85,20211130 15:40:32,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371560,ca87fb13-51b0-11ec-8538-2c56dc94c9c5,au-domi,au1506,20150121,au,20150121 00:00:00,1440,260.55,263,259.15,262.2,76900209100,294908,239610,0,270.35,244.6,20211130 15:40:29,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
572109,c84bd577-51b0-11ec-a355-2c56dc94c9c5,au-domi,au1506,20150122,au,20150122 00:00:00,1440,262.15,263.2,258.05,259.05,91007311200,349310,236052,0,273.75,247.7,20211130 15:40:25,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371561,c620c369-51b0-11ec-9bac-2c56dc94c9c5,au-domi,au1506,20150123,au,20150123 00:00:00,1440,259.55,262.85,258.95,261.4,99361851000,380550,242060,0,273.5,247.45,20211130 15:40:22,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
371562,c41426bc-51b0-11ec-9e31-2c56dc94c9c5,au-domi,au1506,20150126,au,20150126 00:00:00,1440,261.6,262.55,259.25,261.6,62102266200,237780,242814,0,274.15,248,20211130 15:40:18,0,0,20150615,0,0,0,1,SHFE,0,0,0,0,AU-DOMI
