,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
651641,df350379-4ebf-11ec-bfe3-83f3c67958e8,bu-domi,bu1506,20150106,bu,20150106 00:00:00,1440,3480.0,3666.0,3428.0,3472.0,11260600.0,318.0,284.0,0.0,3666.0,3316.0,20211126 21:50:53,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
966964,bc718538-4ebf-11ec-bfe3-83f3c67958e8,bu-domi,bu1506,20150107,bu,20150107 00:00:00,1440,3472.0,3500.0,3430.0,3450.0,4112560.0,118.0,370.0,0.0,3716.0,3362.0,20211126 21:49:54,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957560,aec342fd-4ebf-11ec-bfe3-83f3c67958e8,bu-domi,bu1506,20150108,bu,20150108 00:00:00,1440,3486.0,3546.0,3370.0,3406.0,10384560.0,304.0,548.0,0.0,3658.0,3308.0,20211126 21:49:32,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
651642,94f1b120-4ebf-11ec-bfe2-83f3c67958e8,bu-domi,bu1506,20150109,bu,20150109 00:00:00,1440,3390.0,3390.0,3242.0,3242.0,15223000.0,466.0,578.0,0.0,3584.0,3242.0,20211126 21:48:49,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
966965,79dfe01b-4ebf-11ec-bfe2-83f3c67958e8,bu-domi,bu1506,20150112,bu,20150112 00:00:00,1440,3222.0,3238.0,3044.0,3082.0,51914200.0,1670.0,1182.0,0.0,3526.0,3004.0,20211126 21:48:04,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957561,5cec10d6-4ebf-11ec-bfe2-83f3c67958e8,bu-domi,bu1506,20150113,bu,20150113 00:00:00,1440,3000.0,3088.0,2952.0,2952.0,63295520.0,2118.0,1598.0,0.0,3262.0,2952.0,20211126 21:47:15,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
651643,4cef42b6-4ebf-11ec-bfe2-83f3c67958e8,bu-domi,bu1506,20150114,bu,20150114 00:00:00,1440,2952.0,3030.0,2822.0,2922.0,245423520.0,8432.0,2448.0,0.0,3226.0,2748.0,20211126 21:46:47,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957562,4066e767-4ebf-11ec-bfe2-83f3c67958e8,bu-domi,bu1506,20150115,bu,20150115 00:00:00,1440,2930.0,3018.0,2844.0,2956.0,313154400.0,10706.0,2884.0,0.0,3054.0,2764.0,20211126 21:46:27,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
966966,271ff734-4ebf-11ec-bfe1-83f3c67958e8,bu-domi,bu1506,20150116,bu,20150116 00:00:00,1440,2986.0,3040.0,2936.0,2960.0,201479640.0,6758.0,2970.0,0.0,3070.0,2776.0,20211126 21:45:44,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957563,191985d4-4ebf-11ec-bfe1-83f3c67958e8,bu-domi,bu1506,20150119,bu,20150119 00:00:00,1440,2960.0,2986.0,2880.0,2888.0,214215240.0,7322.0,4148.0,0.0,3128.0,2830.0,20211126 21:45:21,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957564,0d0c55df-4ebf-11ec-bfe1-83f3c67958e8,bu-domi,bu1506,20150120,bu,20150120 00:00:00,1440,2890.0,2908.0,2868.0,2886.0,153109160.0,5300.0,4320.0,0.0,3070.0,2776.0,20211126 21:45:00,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
957565,eeb62843-4ebe-11ec-bfe1-83f3c67958e8,bu-domi,bu1506,20150121,bu,20150121 00:00:00,1440,2902.0,2904.0,2832.0,2848.0,219193960.0,7654.0,4738.0,0.0,3032.0,2742.0,20211126 21:44:09,0,0.0,20150615.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,BU-DOMI
