,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
40961,dfae6ea3-4ebf-11ec-bfe3-83f3c67958e8,CF-domi,CF505,20150106,CF,20150106 00:00:00,1440,13020.0,13150.0,13015.0,13110.0,11397703300.0,174140.0,478214.0,0.0,13535.0,12485.0,20211126 21:50:54,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
559886,bcfaa603-4ebf-11ec-bfe3-83f3c67958e8,CF-domi,CF505,20150107,CF,20150107 00:00:00,1440,13120.0,13210.0,13050.0,13070.0,12673571200.0,193080.0,474024.0,0.0,13615.0,12565.0,20211126 21:49:55,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
40962,af5beae1-4ebf-11ec-bfe3-83f3c67958e8,CF-domi,CF505,20150108,CF,20150108 00:00:00,1440,13080.0,13180.0,13035.0,13145.0,11428673900.0,174134.0,479466.0,0.0,13660.0,12600.0,20211126 21:49:33,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
559887,96e1b64a-4ebf-11ec-bfe2-83f3c67958e8,CF-domi,CF505,20150109,CF,20150109 00:00:00,1440,13165.0,13190.0,13080.0,13110.0,8674079800.0,132142.0,469210.0,0.0,13650.0,12600.0,20211126 21:48:52,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
40963,7d09f27f-4ebf-11ec-bfe2-83f3c67958e8,CF-domi,CF505,20150112,CF,20150112 00:00:00,1440,13130.0,13150.0,13055.0,13085.0,9431400100.0,143944.0,469506.0,0.0,13660.0,12600.0,20211126 21:48:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
40964,62c47b58-4ebf-11ec-bfe2-83f3c67958e8,CF-domi,CF505,20150113,CF,20150113 00:00:00,1440,13050.0,13080.0,12905.0,12910.0,18461317300.0,284468.0,436884.0,0.0,13630.0,12580.0,20211126 21:47:24,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
559888,4d5e7aea-4ebf-11ec-bfe2-83f3c67958e8,CF-domi,CF505,20150114,CF,20150114 00:00:00,1440,12900.0,12970.0,12860.0,12890.0,12857169400.0,199174.0,422086.0,0.0,13500.0,12460.0,20211126 21:46:48,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
495823,40e8cb6e-4ebf-11ec-bfe2-83f3c67958e8,CF-domi,CF505,20150115,CF,20150115 00:00:00,1440,12875.0,12995.0,12860.0,12970.0,13179688400.0,203934.0,420962.0,0.0,13430.0,12390.0,20211126 21:46:28,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
495824,27c6e341-4ebf-11ec-bfe1-83f3c67958e8,CF-domi,CF505,20150116,CF,20150116 00:00:00,1440,12970.0,13245.0,12970.0,13125.0,18052339100.0,274904.0,407034.0,0.0,13445.0,12405.0,20211126 21:45:45,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
559889,1982e0b8-4ebf-11ec-bfe1-83f3c67958e8,CF-domi,CF505,20150119,CF,20150119 00:00:00,1440,13105.0,13165.0,13060.0,13140.0,10677437100.0,162822.0,402958.0,0.0,13665.0,12605.0,20211126 21:45:21,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-DOMI
