,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1165363,e0355f19-4ebf-11ec-bfe3-83f3c67958e8,cs-domi,cs1505,20150106,cs,20150106 00:00:00,1440,2689.0,2697.0,2624.0,2630.0,766008900.0,28882.0,14276.0,0.0,2798.0,2584.0,20211126 21:50:55,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1173561,bd61c914-4ebf-11ec-bfe3-83f3c67958e8,cs-domi,cs1505,20150107,cs,20150107 00:00:00,1440,2640.0,2651.0,2625.0,2643.0,435739000.0,16506.0,12144.0,0.0,2758.0,2546.0,20211126 21:49:56,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1173562,afb0bf3c-4ebf-11ec-bfe3-83f3c67958e8,cs-domi,cs1505,20150108,cs,20150108 00:00:00,1440,2640.0,2657.0,2636.0,2652.0,287581200.0,10858.0,12230.0,0.0,2744.0,2534.0,20211126 21:49:33,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1173563,970b7536-4ebf-11ec-bfe2-83f3c67958e8,cs-domi,cs1505,20150109,cs,20150109 00:00:00,1440,2652.0,2662.0,2637.0,2648.0,325231200.0,12278.0,12758.0,0.0,2753.0,2543.0,20211126 21:48:52,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
718842,7d736a0b-4ebf-11ec-bfe2-83f3c67958e8,cs-domi,cs1505,20150112,cs,20150112 00:00:00,1440,2649.0,2660.0,2648.0,2658.0,224281600.0,8452.0,12546.0,0.0,2753.0,2543.0,20211126 21:48:09,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
718843,644f6010-4ebf-11ec-bfe2-83f3c67958e8,cs-domi,cs1505,20150113,cs,20150113 00:00:00,1440,2658.0,2661.0,2638.0,2658.0,270753000.0,10230.0,13294.0,0.0,2759.0,2547.0,20211126 21:47:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1165364,4f52e92a-4ebf-11ec-bfe2-83f3c67958e8,cs-domi,cs1505,20150114,cs,20150114 00:00:00,1440,2646.0,2665.0,2646.0,2647.0,230287300.0,8676.0,12464.0,0.0,2751.0,2541.0,20211126 21:46:51,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1173564,414b68f3-4ebf-11ec-bfe2-83f3c67958e8,cs-domi,cs1505,20150115,cs,20150115 00:00:00,1440,2645.0,2663.0,2640.0,2662.0,196509300.0,7404.0,12536.0,0.0,2760.0,2548.0,20211126 21:46:28,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1173565,2a3cade1-4ebf-11ec-bfe1-83f3c67958e8,cs-domi,cs1505,20150116,cs,20150116 00:00:00,1440,2660.0,2693.0,2655.0,2684.0,319497000.0,11940.0,12184.0,0.0,2760.0,2548.0,20211126 21:45:49,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
1165365,19dbc0f1-4ebf-11ec-bfe1-83f3c67958e8,cs-domi,cs1505,20150119,cs,20150119 00:00:00,1440,2690.0,2714.0,2680.0,2701.0,250684400.0,9284.0,10964.0,0.0,2782.0,2568.0,20211126 21:45:22,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-DOMI
