,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1175805,99328204-684f-11ec-822b-83f3c67958e8,cu-domi,cu1503,20150105,cu,20150105 00:00:00,1440,45500.0,45570.0,44990.0,45080.0,42812923300.0,189194.0,325160.0,0.0,47900.0,43330.0,20211229 10:32:43,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
720366,e2a3e21e-51b0-11ec-acc8-2c56dc94c9c5,cu-domi,cu1503,20150106,cu,20150106 00:00:00,1440,44210.0,44910.0,43980.0,44800.0,99841253200.0,447986.0,310542.0,0.0,47510.0,42980.0,20211130 15:41:10,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1175806,e0a9226b-51b0-11ec-9889-2c56dc94c9c5,cu-domi,cu1503,20150107,cu,20150107 00:00:00,1440,44640.0,44840.0,44420.0,44650.0,70979051900.0,317816.0,301058.0,0.0,46790.0,42340.0,20211130 15:41:06,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1175807,de9e7b86-51b0-11ec-b1be-2c56dc94c9c5,cu-domi,cu1503,20150108,cu,20150108 00:00:00,1440,44650.0,44890.0,44580.0,44680.0,46657082000.0,208524.0,297932.0,0.0,46890.0,42420.0,20211130 15:41:03,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247265,dc389317-51b0-11ec-8f78-2c56dc94c9c5,cu-domi,cu1503,20150109,cu,20150109 00:00:00,1440,45000.0,45050.0,44250.0,44250.0,85569848800.0,384066.0,308602.0,0.0,46970.0,42500.0,20211130 15:40:59,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247266,da1d450c-51b0-11ec-bdbc-2c56dc94c9c5,cu-domi,cu1503,20150112,cu,20150112 00:00:00,1440,44100.0,44450.0,43790.0,43960.0,89118807500.0,403724.0,307588.0,0.0,46770.0,42320.0,20211130 15:40:55,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247267,d7f98b01-51b0-11ec-9da2-2c56dc94c9c5,cu-domi,cu1503,20150113,cu,20150113 00:00:00,1440,43400.0,43720.0,42880.0,42890.0,87594766400.0,404006.0,315628.0,0.0,46340.0,41930.0,20211130 15:40:52,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247268,d5a8750d-51b0-11ec-9872-2c56dc94c9c5,cu-domi,cu1503,20150114,cu,20150114 00:00:00,1440,42300.0,42700.0,41190.0,41190.0,86088086800.0,408472.0,309766.0,0.0,45520.0,41190.0,20211130 15:40:48,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247269,d37a6664-51b0-11ec-9ccf-2c56dc94c9c5,cu-domi,cu1503,20150115,cu,20150115 00:00:00,1440,40600.0,41230.0,39820.0,40920.0,206813563400.0,1020638.0,312866.0,0.0,45520.0,38770.0,20211130 15:40:44,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
1247270,d1603b71-51b0-11ec-892c-2c56dc94c9c5,cu-domi,cu1503,20150116,cu,20150116 00:00:00,1440,41320.0,41710.0,40570.0,41040.0,134789024100.0,656280.0,303626.0,0.0,42540.0,38490.0,20211130 15:40:41,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-DOMI
