,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
846408,e0e24d5c-4ebf-11ec-bfe3-83f3c67958e8,FG-domi,FG506,20150106,FG,20150106 00:00:00,1440,974.0,980.0,955.0,956.0,16098013800.0,832268.0,542030.0,0.0,994.0,916.0,20211126 21:50:56,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846409,be0bd415-4ebf-11ec-bfe3-83f3c67958e8,FG-domi,FG506,20150107,FG,20150107 00:00:00,1440,950.0,956.0,945.0,953.0,8853116100.0,465754.0,522852.0,0.0,1006.0,928.0,20211126 21:49:57,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65131,b06114d3-4ebf-11ec-bfe3-83f3c67958e8,FG-domi,FG506,20150108,FG,20150108 00:00:00,1440,953.0,963.0,944.0,945.0,9592878800.0,502762.0,501736.0,0.0,988.0,912.0,20211126 21:49:35,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846410,9893541c-4ebf-11ec-bfe2-83f3c67958e8,FG-domi,FG506,20150109,FG,20150109 00:00:00,1440,944.0,952.0,936.0,946.0,8762849300.0,463558.0,481552.0,0.0,993.0,915.0,20211126 21:48:54,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846411,7e2e9996-4ebf-11ec-bfe2-83f3c67958e8,FG-domi,FG506,20150112,FG,20150112 00:00:00,1440,946.0,949.0,923.0,925.0,12705268300.0,679352.0,440862.0,0.0,983.0,907.0,20211126 21:48:10,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846412,64e7d9de-4ebf-11ec-bfe2-83f3c67958e8,FG-domi,FG506,20150113,FG,20150113 00:00:00,1440,922.0,929.0,918.0,924.0,4616264600.0,249552.0,429068.0,0.0,973.0,897.0,20211126 21:47:28,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846413,50863c4f-4ebf-11ec-bfe2-83f3c67958e8,FG-domi,FG506,20150114,FG,20150114 00:00:00,1440,924.0,932.0,901.0,927.0,9026599400.0,490774.0,386346.0,0.0,962.0,888.0,20211126 21:46:54,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65132,41e887d0-4ebf-11ec-bfe2-83f3c67958e8,FG-domi,FG506,20150115,FG,20150115 00:00:00,1440,929.0,934.0,923.0,930.0,6348016500.0,341818.0,410262.0,0.0,957.0,883.0,20211126 21:46:29,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846414,2b685eb9-4ebf-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150116,FG,20150116 00:00:00,1440,926.0,929.0,913.0,916.0,6152720500.0,334300.0,374002.0,0.0,967.0,891.0,20211126 21:45:51,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897067,1a8622cb-4ebf-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150119,FG,20150119 00:00:00,1440,913.0,920.0,907.0,915.0,7294664100.0,399042.0,387756.0,0.0,957.0,883.0,20211126 21:45:23,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897068,0ee2c3af-4ebf-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150120,FG,20150120 00:00:00,1440,914.0,920.0,910.0,911.0,4666737600.0,254968.0,379982.0,0.0,951.0,877.0,20211126 21:45:03,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846415,f02a0339-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150121,FG,20150121 00:00:00,1440,910.0,922.0,907.0,914.0,6172814500.0,336982.0,376060.0,0.0,952.0,878.0,20211126 21:44:12,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65133,e140b3b1-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150122,FG,20150122 00:00:00,1440,918.0,924.0,913.0,915.0,5974739400.0,325526.0,402784.0,0.0,953.0,879.0,20211126 21:43:47,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897069,cd36d6fb-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150123,FG,20150123 00:00:00,1440,914.0,922.0,902.0,908.0,8872623100.0,485672.0,363508.0,0.0,955.0,881.0,20211126 21:43:13,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846416,b4689761-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150126,FG,20150126 00:00:00,1440,905.0,910.0,895.0,900.0,6380747500.0,353676.0,348262.0,0.0,950.0,876.0,20211126 21:42:32,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897070,a8054658-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150127,FG,20150127 00:00:00,1440,902.0,907.0,899.0,900.0,3952444400.0,218698.0,357164.0,0.0,939.0,865.0,20211126 21:42:11,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897071,8a119bdb-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150128,FG,20150128 00:00:00,1440,901.0,907.0,896.0,902.0,3222344900.0,178550.0,349746.0,0.0,941.0,867.0,20211126 21:41:21,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65134,7bb0a5b7-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150129,FG,20150129 00:00:00,1440,903.0,917.0,903.0,916.0,5376910400.0,295360.0,346136.0,0.0,939.0,865.0,20211126 21:40:57,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897072,67022d21-4ebe-11ec-bfe1-83f3c67958e8,FG-domi,FG506,20150130,FG,20150130 00:00:00,1440,915.0,917.0,907.0,909.0,2642845400.0,144958.0,334692.0,0.0,947.0,873.0,20211126 21:40:22,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65135,bc16867a-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150202,FG,20150202 00:00:00,1440,912.0,917.0,909.0,912.0,2214133900.0,121308.0,331624.0,0.0,949.0,875.0,20211126 19:55:22,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846417,ae5e9f29-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150203,FG,20150203 00:00:00,1440,912.0,924.0,912.0,921.0,5208304600.0,283174.0,347120.0,0.0,950.0,876.0,20211126 19:54:59,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846418,a0877825-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150204,FG,20150204 00:00:00,1440,926.0,931.0,917.0,917.0,4656704500.0,251856.0,352056.0,0.0,957.0,883.0,20211126 19:54:36,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846419,92a5b4c8-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150205,FG,20150205 00:00:00,1440,917.0,923.0,911.0,912.0,3733589400.0,203696.0,346016.0,0.0,961.0,887.0,20211126 19:54:12,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65136,85791ec8-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150206,FG,20150206 00:00:00,1440,915.0,922.0,914.0,921.0,2656971800.0,144628.0,342152.0,0.0,953.0,879.0,20211126 19:53:50,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897073,77ed3880-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150209,FG,20150209 00:00:00,1440,921.0,928.0,920.0,925.0,2980749300.0,161280.0,343050.0,0.0,956.0,882.0,20211126 19:53:28,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897074,69ded196-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150210,FG,20150210 00:00:00,1440,926.0,931.0,924.0,931.0,2726496800.0,146876.0,344814.0,0.0,961.0,887.0,20211126 19:53:04,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65137,5b857594-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150211,FG,20150211 00:00:00,1440,930.0,946.0,929.0,943.0,7835991500.0,416784.0,403690.0,0.0,966.0,890.0,20211126 19:52:40,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65138,4dd11f5e-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150212,FG,20150212 00:00:00,1440,943.0,945.0,935.0,940.0,2739777200.0,146014.0,390842.0,0.0,978.0,902.0,20211126 19:52:17,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65139,3fc9e9b6-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150213,FG,20150213 00:00:00,1440,944.0,948.0,940.0,943.0,3170102800.0,167762.0,373768.0,0.0,976.0,900.0,20211126 19:51:54,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897075,30b392da-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150216,FG,20150216 00:00:00,1440,944.0,950.0,936.0,946.0,2679542400.0,142176.0,365080.0,0.0,983.0,907.0,20211126 19:51:28,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65140,22823b85-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150217,FG,20150217 00:00:00,1440,947.0,947.0,938.0,939.0,1470123400.0,78024.0,350892.0,0.0,999.0,885.0,20211126 19:51:04,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897076,13414ecb-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150225,FG,20150225 00:00:00,1440,938.0,939.0,934.0,938.0,1391125900.0,74282.0,346246.0,0.0,999.0,885.0,20211126 19:50:39,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65141,0533c39c-4eaf-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150226,FG,20150226 00:00:00,1440,942.0,964.0,940.0,964.0,6751099100.0,353972.0,423136.0,0.0,974.0,898.0,20211126 19:50:15,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65142,f6b5339e-4eae-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150227,FG,20150227 00:00:00,1440,962.0,969.0,956.0,963.0,4667639100.0,242496.0,424738.0,0.0,993.0,915.0,20211126 19:49:51,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897077,48e1880f-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150302,FG,20150302 00:00:00,1440,968.0,970.0,930.0,949.0,7518361500.0,395722.0,393074.0,0.0,1001.0,923.0,20211126 02:05:34,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846420,3ae32dd1-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150303,FG,20150303 00:00:00,1440,949.0,951.0,939.0,944.0,3134806800.0,166152.0,357488.0,0.0,988.0,912.0,20211126 02:05:10,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846421,2d060642-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150304,FG,20150304 00:00:00,1440,945.0,960.0,944.0,949.0,4804185200.0,251892.0,372886.0,0.0,981.0,905.0,20211126 02:04:47,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897078,1fd251ce-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150305,FG,20150305 00:00:00,1440,944.0,949.0,935.0,948.0,4004457000.0,212592.0,338504.0,0.0,993.0,915.0,20211126 02:04:25,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846422,1310f0c2-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150306,FG,20150306 00:00:00,1440,948.0,956.0,940.0,942.0,3595583400.0,189534.0,336582.0,0.0,980.0,904.0,20211126 02:04:03,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897079,063aa843-4e1a-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150309,FG,20150309 00:00:00,1440,936.0,939.0,920.0,934.0,4182506500.0,224194.0,304550.0,0.0,987.0,911.0,20211126 02:03:42,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897080,fa003f07-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150310,FG,20150310 00:00:00,1440,935.0,940.0,922.0,923.0,2952215600.0,159006.0,288574.0,0.0,971.0,895.0,20211126 02:03:21,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897081,ed6f2c60-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150311,FG,20150311 00:00:00,1440,920.0,928.0,916.0,918.0,2422825000.0,131348.0,289342.0,0.0,966.0,890.0,20211126 02:03:00,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846423,e180d021-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150312,FG,20150312 00:00:00,1440,917.0,928.0,915.0,926.0,2930398600.0,158758.0,285254.0,0.0,959.0,885.0,20211126 02:02:40,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846424,d5a79615-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150313,FG,20150313 00:00:00,1440,926.0,930.0,918.0,919.0,2122939000.0,114848.0,288350.0,0.0,960.0,886.0,20211126 02:02:20,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65143,c9f3a72b-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150316,FG,20150316 00:00:00,1440,915.0,927.0,912.0,925.0,2486591100.0,134844.0,284930.0,0.0,961.0,887.0,20211126 02:02:01,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897082,be49c5f5-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150317,FG,20150317 00:00:00,1440,925.0,936.0,922.0,927.0,3592469200.0,192988.0,268572.0,0.0,959.0,885.0,20211126 02:01:41,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846425,b2e37957-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150318,FG,20150318 00:00:00,1440,926.0,930.0,920.0,924.0,2622502900.0,141866.0,256330.0,0.0,969.0,893.0,20211126 02:01:22,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897083,a7eef4e5-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150319,FG,20150319 00:00:00,1440,929.0,946.0,928.0,943.0,4746984400.0,252966.0,259362.0,0.0,961.0,887.0,20211126 02:01:04,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897084,9c8d9f13-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150320,FG,20150320 00:00:00,1440,944.0,953.0,942.0,951.0,4862192600.0,256368.0,278862.0,0.0,976.0,900.0,20211126 02:00:45,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
65144,91c337e8-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150323,FG,20150323 00:00:00,1440,955.0,961.0,949.0,956.0,3643541700.0,190778.0,273224.0,0.0,986.0,910.0,20211126 02:00:26,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897085,86e80106-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150324,FG,20150324 00:00:00,1440,962.0,969.0,950.0,952.0,4020819200.0,209950.0,264482.0,0.0,994.0,916.0,20211126 02:00:08,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846426,7b0a68f4-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150325,FG,20150325 00:00:00,1440,951.0,955.0,943.0,943.0,2633742200.0,138748.0,257048.0,0.0,997.0,919.0,20211126 01:59:49,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
846427,6ee3bc3c-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150326,FG,20150326 00:00:00,1440,945.0,957.0,940.0,956.0,3550288200.0,186856.0,262898.0,0.0,987.0,911.0,20211126 01:59:28,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
897086,635bcd72-4e19-11ec-bfdc-83f3c67958e8,FG-domi,FG506,20150327,FG,20150327 00:00:00,1440,955.0,955.0,940.0,949.0,3593143200.0,189856.0,247614.0,0.0,988.0,912.0,20211126 01:59:09,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-DOMI
