,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
788048,e1955626-4ebf-11ec-bfe3-83f3c67958e8,hc-domi,hc1505,20150106,hc,20150106 00:00:00,1440,2882.0,2992.0,2882.0,2936.0,220359240.0,7502.0,14760.0,0.0,3016.0,2784.0,20211126 21:50:57,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788049,be9ad53a-4ebf-11ec-bfe3-83f3c67958e8,hc-domi,hc1505,20150107,hc,20150107 00:00:00,1440,2930.0,2932.0,2894.0,2902.0,143190880.0,4930.0,14582.0,0.0,3052.0,2818.0,20211126 21:49:58,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788050,b0f13cae-4ebf-11ec-bfe3-83f3c67958e8,hc-domi,hc1505,20150108,hc,20150108 00:00:00,1440,2902.0,2912.0,2874.0,2878.0,100415560.0,3476.0,14606.0,0.0,3020.0,2786.0,20211126 21:49:35,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788051,9928b265-4ebf-11ec-bfe2-83f3c67958e8,hc-domi,hc1505,20150109,hc,20150109 00:00:00,1440,2882.0,2882.0,2832.0,2834.0,135522280.0,4748.0,15336.0,0.0,3002.0,2772.0,20211126 21:48:55,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436127,7ea42e32-4ebf-11ec-bfe2-83f3c67958e8,hc-domi,hc1505,20150112,hc,20150112 00:00:00,1440,2836.0,2842.0,2750.0,2752.0,298747000.0,10700.0,15696.0,0.0,2968.0,2738.0,20211126 21:48:11,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1443275,661a48b8-4ebf-11ec-bfe2-83f3c67958e8,hc-domi,hc1505,20150113,hc,20150113 00:00:00,1440,2750.0,2764.0,2724.0,2736.0,209565040.0,7650.0,17142.0,0.0,2902.0,2680.0,20211126 21:47:30,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1443276,50f13437-4ebf-11ec-bfe2-83f3c67958e8,hc-domi,hc1505,20150114,hc,20150114 00:00:00,1440,2732.0,2742.0,2628.0,2670.0,543922120.0,20266.0,20594.0,0.0,2846.0,2628.0,20211126 21:46:54,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436128,4299a3ea-4ebf-11ec-bfe2-83f3c67958e8,hc-domi,hc1505,20150115,hc,20150115 00:00:00,1440,2670.0,2696.0,2658.0,2692.0,316797680.0,11844.0,21966.0,0.0,2788.0,2574.0,20211126 21:46:30,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1443277,2bddb3db-4ebf-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150116,hc,20150116 00:00:00,1440,2698.0,2708.0,2650.0,2682.0,314962680.0,11764.0,22776.0,0.0,2780.0,2566.0,20211126 21:45:52,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788052,1b2a9a90-4ebf-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150119,hc,20150119 00:00:00,1440,2676.0,2684.0,2650.0,2666.0,275048000.0,10318.0,23730.0,0.0,2782.0,2568.0,20211126 21:45:24,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436129,0f52f471-4ebf-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150120,hc,20150120 00:00:00,1440,2656.0,2674.0,2638.0,2644.0,266004160.0,10034.0,22320.0,0.0,2770.0,2556.0,20211126 21:45:04,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1443278,f0b58dc6-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150121,hc,20150121 00:00:00,1440,2650.0,2662.0,2632.0,2640.0,240646520.0,9092.0,21312.0,0.0,2756.0,2544.0,20211126 21:44:13,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436130,e1c507a8-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150122,hc,20150122 00:00:00,1440,2628.0,2656.0,2612.0,2632.0,235866440.0,8936.0,21898.0,0.0,2750.0,2540.0,20211126 21:43:48,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436131,cdc7a8ee-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150123,hc,20150123 00:00:00,1440,2632.0,2640.0,2606.0,2610.0,247245920.0,9434.0,24036.0,0.0,2742.0,2532.0,20211126 21:43:14,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788053,b4e7dc36-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150126,hc,20150126 00:00:00,1440,2604.0,2612.0,2544.0,2560.0,478029920.0,18546.0,25014.0,0.0,2724.0,2514.0,20211126 21:42:33,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436132,a88ac7bb-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150127,hc,20150127 00:00:00,1440,2560.0,2576.0,2546.0,2550.0,526389600.0,20578.0,32330.0,0.0,2678.0,2472.0,20211126 21:42:12,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
788054,8ac036ad-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150128,hc,20150128 00:00:00,1440,2550.0,2620.0,2546.0,2594.0,1006620680.0,38828.0,33702.0,0.0,2660.0,2454.0,20211126 21:41:22,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
1436133,7c2cccfb-4ebe-11ec-bfe1-83f3c67958e8,hc-domi,hc1505,20150129,hc,20150129 00:00:00,1440,2602.0,2626.0,2586.0,2622.0,611712720.0,23438.0,37972.0,0.0,2694.0,2488.0,20211126 21:40:57,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-DOMI
