,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
821708,e1b2a1c3-4ebf-11ec-bfe3-83f3c67958e8,i-domi,i1505,20150106,i,20150106 00:00:00,1440,498.0,520.0,496.0,520.0,55359890800.0,1075512.0,703550.0,0.0,520.0,480.0,20211126 21:50:57,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
1461152,bedabced-4ebf-11ec-bfe3-83f3c67958e8,i-domi,i1505,20150107,i,20150107 00:00:00,1440,520.0,521.0,506.0,513.0,44587050000.0,871980.0,689604.0,0.0,544.0,484.0,20211126 21:49:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
1468407,b1710cbc-4ebf-11ec-bfe3-83f3c67958e8,i-domi,i1505,20150108,i,20150108 00:00:00,1440,514.0,517.0,507.0,512.0,30515832600.0,595934.0,687766.0,0.0,531.0,491.0,20211126 21:49:36,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
1461153,997677e8-4ebf-11ec-bfe2-83f3c67958e8,i-domi,i1505,20150109,i,20150109 00:00:00,1440,514.0,514.0,507.0,510.0,43623841800.0,855016.0,656326.0,0.0,532.0,492.0,20211126 21:48:56,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
1468408,7f29d805-4ebf-11ec-bfe2-83f3c67958e8,i-domi,i1505,20150112,i,20150112 00:00:00,1440,508.0,519.0,498.0,499.0,54225850400.0,1068026.0,608478.0,0.0,530.0,490.0,20211126 21:48:12,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
821709,66ccb255-4ebf-11ec-bfe2-83f3c67958e8,i-domi,i1505,20150113,i,20150113 00:00:00,1440,498.0,504.0,495.0,501.0,26275176600.0,525934.0,586712.0,0.0,527.0,487.0,20211126 21:47:31,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
821710,514092d5-4ebf-11ec-bfe2-83f3c67958e8,i-domi,i1505,20150114,i,20150114 00:00:00,1440,498.0,504.0,491.0,497.0,40889838400.0,822772.0,565944.0,0.0,518.0,480.0,20211126 21:46:55,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
821711,42c8a28c-4ebf-11ec-bfe2-83f3c67958e8,i-domi,i1505,20150115,i,20150115 00:00:00,1440,498.0,509.0,495.0,507.0,33844694000.0,674868.0,582836.0,0.0,515.0,477.0,20211126 21:46:30,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
1468409,2c13d8b5-4ebf-11ec-bfe1-83f3c67958e8,i-domi,i1505,20150116,i,20150116 00:00:00,1440,507.0,513.0,503.0,506.0,30672079200.0,604532.0,565718.0,0.0,521.0,481.0,20211126 21:45:52,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
821712,1b81855d-4ebf-11ec-bfe1-83f3c67958e8,i-domi,i1505,20150119,i,20150119 00:00:00,1440,505.0,511.0,497.0,508.0,39287819000.0,780178.0,522774.0,0.0,527.0,487.0,20211126 21:45:25,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,I-DOMI
