,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
858335,e2099cfe-4ebf-11ec-bfe3-83f3c67958e8,j-domi,j1505,20150106,j,20150106 00:00:00,1440,1029.0,1065.0,1028.0,1054.0,37410049600.0,356160.0,128868.0,0.0,1071.0,989.0,20211126 21:50:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503498,bf3c244b-4ebf-11ec-bfe3-83f3c67958e8,j-domi,j1505,20150107,j,20150107 00:00:00,1440,1055.0,1057.0,1045.0,1055.0,16537674600.0,157394.0,131474.0,0.0,1092.0,1008.0,20211126 21:49:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525970,b203cd3f-4ebf-11ec-bfe3-83f3c67958e8,j-domi,j1505,20150108,j,20150108 00:00:00,1440,1056.0,1066.0,1051.0,1063.0,22722032200.0,214786.0,130880.0,0.0,1092.0,1008.0,20211126 21:49:37,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525971,9a0a2543-4ebf-11ec-bfe2-83f3c67958e8,j-domi,j1505,20150109,j,20150109 00:00:00,1440,1062.0,1064.0,1050.0,1056.0,15075624400.0,142758.0,113548.0,0.0,1099.0,1015.0,20211126 21:48:57,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525972,7f69d38a-4ebf-11ec-bfe2-83f3c67958e8,j-domi,j1505,20150112,j,20150112 00:00:00,1440,1055.0,1060.0,1037.0,1040.0,15010841400.0,143376.0,107560.0,0.0,1098.0,1014.0,20211126 21:48:12,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503499,6738cfee-4ebf-11ec-bfe2-83f3c67958e8,j-domi,j1505,20150113,j,20150113 00:00:00,1440,1039.0,1042.0,1032.0,1042.0,7218468800.0,69622.0,111242.0,0.0,1087.0,1005.0,20211126 21:47:32,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525973,518b3e9f-4ebf-11ec-bfe2-83f3c67958e8,j-domi,j1505,20150114,j,20150114 00:00:00,1440,1039.0,1045.0,1029.0,1038.0,13807129400.0,133292.0,109072.0,0.0,1077.0,995.0,20211126 21:46:55,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503500,435d9a21-4ebf-11ec-bfe2-83f3c67958e8,j-domi,j1505,20150115,j,20150115 00:00:00,1440,1040.0,1050.0,1034.0,1047.0,12771639600.0,122498.0,122328.0,0.0,1076.0,994.0,20211126 21:46:31,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525974,2c675382-4ebf-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150116,j,20150116 00:00:00,1440,1050.0,1052.0,1044.0,1045.0,8338876600.0,79676.0,126346.0,0.0,1083.0,1001.0,20211126 21:45:53,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503501,1bd3fc33-4ebf-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150119,j,20150119 00:00:00,1440,1045.0,1057.0,1038.0,1042.0,21871850000.0,208834.0,136016.0,0.0,1087.0,1005.0,20211126 21:45:26,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
858336,0fea28c5-4ebf-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150120,j,20150120 00:00:00,1440,1042.0,1044.0,1029.0,1038.0,15639668200.0,150906.0,109556.0,0.0,1088.0,1006.0,20211126 21:45:06,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503502,f205f910-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150121,j,20150121 00:00:00,1440,1038.0,1043.0,1035.0,1036.0,7340819200.0,70660.0,105786.0,0.0,1077.0,995.0,20211126 21:44:15,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503503,e25de5d9-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150122,j,20150122 00:00:00,1440,1037.0,1042.0,1032.0,1033.0,8781514400.0,84706.0,104330.0,0.0,1079.0,997.0,20211126 21:43:49,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525975,ce5fedbd-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150123,j,20150123 00:00:00,1440,1033.0,1037.0,1030.0,1033.0,10539172000.0,102068.0,108618.0,0.0,1077.0,995.0,20211126 21:43:15,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1503504,b594bf4e-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150126,j,20150126 00:00:00,1440,1035.0,1035.0,1015.0,1017.0,15541199400.0,152294.0,119524.0,0.0,1073.0,991.0,20211126 21:42:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
858337,a930e01a-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150127,j,20150127 00:00:00,1440,1017.0,1031.0,1016.0,1024.0,7926427800.0,77278.0,109612.0,0.0,1060.0,980.0,20211126 21:42:13,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
858338,8bc7d008-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150128,j,20150128 00:00:00,1440,1023.0,1028.0,1021.0,1027.0,4014050400.0,39164.0,109012.0,0.0,1066.0,984.0,20211126 21:41:24,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
1525976,7d024bb0-4ebe-11ec-bfe1-83f3c67958e8,j-domi,j1505,20150129,j,20150129 00:00:00,1440,1028.0,1031.0,1023.0,1025.0,5743930200.0,55900.0,103022.0,0.0,1064.0,984.0,20211126 21:40:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,J-DOMI
