,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1529850,e27f2913-4ebf-11ec-bfe3-83f3c67958e8,jd-domi,jd1505,20150106,jd,20150106 00:00:00,1440,4306.0,4321.0,4261.0,4276.0,5846437800.0,136410.0,138582.0,0.0,4498.0,4070.0,20211126 21:50:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553519,bf7570f5-4ebf-11ec-bfe3-83f3c67958e8,jd-domi,jd1505,20150107,jd,20150107 00:00:00,1440,4275.0,4296.0,4229.0,4285.0,8221632700.0,192750.0,137774.0,0.0,4499.0,4071.0,20211126 21:50:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553520,b24bf68a-4ebf-11ec-bfe3-83f3c67958e8,jd-domi,jd1505,20150108,jd,20150108 00:00:00,1440,4293.0,4300.0,4268.0,4273.0,3460405800.0,80840.0,136002.0,0.0,4478.0,4052.0,20211126 21:49:38,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1529851,9a4b99ce-4ebf-11ec-bfe2-83f3c67958e8,jd-domi,jd1505,20150109,jd,20150109 00:00:00,1440,4268.0,4293.0,4250.0,4258.0,5187114800.0,121418.0,135114.0,0.0,4494.0,4066.0,20211126 21:48:57,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1529852,7fd0d112-4ebf-11ec-bfe2-83f3c67958e8,jd-domi,jd1505,20150112,jd,20150112 00:00:00,1440,4280.0,4305.0,4262.0,4268.0,4422944900.0,103344.0,133178.0,0.0,4485.0,4059.0,20211126 21:48:13,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880635,67b156de-4ebf-11ec-bfe2-83f3c67958e8,jd-domi,jd1505,20150113,jd,20150113 00:00:00,1440,4255.0,4260.0,4183.0,4188.0,6135795100.0,145442.0,147428.0,0.0,4492.0,4066.0,20211126 21:47:32,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1529853,51f10fa6-4ebf-11ec-bfe2-83f3c67958e8,jd-domi,jd1505,20150114,jd,20150114 00:00:00,1440,4176.0,4190.0,4102.0,4125.0,6302124300.0,152262.0,146908.0,0.0,4428.0,4008.0,20211126 21:46:56,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1529854,4391fef7-4ebf-11ec-bfe2-83f3c67958e8,jd-domi,jd1505,20150115,jd,20150115 00:00:00,1440,4136.0,4162.0,4132.0,4143.0,3296498000.0,79456.0,142486.0,0.0,4345.0,3933.0,20211126 21:46:32,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553521,2cc624e0-4ebf-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150116,jd,20150116 00:00:00,1440,4148.0,4174.0,4120.0,4151.0,4107723800.0,99068.0,141642.0,0.0,4355.0,3941.0,20211126 21:45:53,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880636,1c90618c-4ebf-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150119,jd,20150119 00:00:00,1440,4140.0,4204.0,4121.0,4167.0,5745526700.0,137890.0,133328.0,0.0,4353.0,3939.0,20211126 21:45:26,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880637,1092feeb-4ebf-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150120,jd,20150120 00:00:00,1440,4160.0,4186.0,4132.0,4154.0,3675009200.0,88422.0,133962.0,0.0,4374.0,3958.0,20211126 21:45:06,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553522,f2a5fb39-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150121,jd,20150121 00:00:00,1440,4156.0,4184.0,4050.0,4090.0,5051180100.0,121804.0,145174.0,0.0,4363.0,3949.0,20211126 21:44:16,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553523,e2a2c91e-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150122,jd,20150122 00:00:00,1440,4100.0,4123.0,4067.0,4113.0,6509336200.0,158866.0,147590.0,0.0,4353.0,3939.0,20211126 21:43:49,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553524,ce8f9afa-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150123,jd,20150123 00:00:00,1440,4113.0,4128.0,4090.0,4120.0,4077523700.0,99200.0,142116.0,0.0,4301.0,3893.0,20211126 21:43:16,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880638,b600c4cf-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150126,jd,20150126 00:00:00,1440,4110.0,4182.0,4085.0,4179.0,5908551700.0,143166.0,135874.0,0.0,4315.0,3905.0,20211126 21:42:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553525,a98edbce-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150127,jd,20150127 00:00:00,1440,4188.0,4235.0,4156.0,4166.0,8520103900.0,203140.0,127688.0,0.0,4333.0,3921.0,20211126 21:42:13,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880639,8c39fc63-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150128,jd,20150128 00:00:00,1440,4145.0,4195.0,4145.0,4186.0,3713534600.0,88976.0,127006.0,0.0,4403.0,3985.0,20211126 21:41:24,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
1553526,7d3f4980-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150129,jd,20150129 00:00:00,1440,4183.0,4188.0,4112.0,4119.0,4777989800.0,115422.0,132448.0,0.0,4381.0,3965.0,20211126 21:40:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
880640,69c5cf3e-4ebe-11ec-bfe1-83f3c67958e8,jd-domi,jd1505,20150130,jd,20150130 00:00:00,1440,4113.0,4135.0,4094.0,4120.0,4349206800.0,105612.0,127890.0,0.0,4345.0,3933.0,20211126 21:40:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-DOMI
