,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1556769,e2a88696-4ebf-11ec-bfe3-83f3c67958e8,jm-domi,jm1505,20150106,jm,20150106 00:00:00,1440,730.0,756.0,727.0,744.0,12995425600.0,290926.0,173598.0,0.0,762.0,704.0,20211126 21:50:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582906,c00e5062-4ebf-11ec-bfe3-83f3c67958e8,jm-domi,jm1505,20150107,jm,20150107 00:00:00,1440,745.0,745.0,736.0,740.0,5247907200.0,118104.0,164106.0,0.0,773.0,715.0,20211126 21:50:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582907,b27ec491-4ebf-11ec-bfe3-83f3c67958e8,jm-domi,jm1505,20150108,jm,20150108 00:00:00,1440,740.0,748.0,737.0,743.0,5798130400.0,130328.0,173282.0,0.0,769.0,711.0,20211126 21:49:38,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
908553,9abedd12-4ebf-11ec-bfe2-83f3c67958e8,jm-domi,jm1505,20150109,jm,20150109 00:00:00,1440,744.0,744.0,735.0,737.0,4478336000.0,101072.0,162008.0,0.0,770.0,712.0,20211126 21:48:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582908,8001eb7d-4ebf-11ec-bfe2-83f3c67958e8,jm-domi,jm1505,20150112,jm,20150112 00:00:00,1440,738.0,741.0,726.0,726.0,4999891700.0,113934.0,167256.0,0.0,767.0,709.0,20211126 21:48:14,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582909,6815f7b3-4ebf-11ec-bfe2-83f3c67958e8,jm-domi,jm1505,20150113,jm,20150113 00:00:00,1440,726.0,730.0,722.0,728.0,2733381900.0,62718.0,166134.0,0.0,760.0,702.0,20211126 21:47:33,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582910,5237c40e-4ebf-11ec-bfe2-83f3c67958e8,jm-domi,jm1505,20150114,jm,20150114 00:00:00,1440,727.0,732.0,723.0,725.0,3839212500.0,88066.0,161174.0,0.0,755.0,697.0,20211126 21:46:56,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582911,43afacd1-4ebf-11ec-bfe2-83f3c67958e8,jm-domi,jm1505,20150115,jm,20150115 00:00:00,1440,726.0,732.0,720.0,728.0,5033261600.0,115422.0,164244.0,0.0,755.0,697.0,20211126 21:46:32,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582912,2d019a4b-4ebf-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150116,jm,20150116 00:00:00,1440,728.0,732.0,724.0,724.0,3011576600.0,68954.0,167408.0,0.0,755.0,697.0,20211126 21:45:54,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
908554,1cccaf35-4ebf-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150119,jm,20150119 00:00:00,1440,725.0,738.0,722.0,731.0,8180878600.0,186580.0,149834.0,0.0,756.0,698.0,20211126 21:45:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
908555,10b29b4e-4ebf-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150120,jm,20150120 00:00:00,1440,730.0,730.0,724.0,726.0,3642968200.0,83570.0,146164.0,0.0,759.0,701.0,20211126 21:45:07,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
908556,f30bb43a-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150121,jm,20150121 00:00:00,1440,725.0,730.0,724.0,724.0,2749631800.0,63014.0,149276.0,0.0,755.0,697.0,20211126 21:44:17,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582913,e30124dd-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150122,jm,20150122 00:00:00,1440,723.0,729.0,720.0,722.0,4281792200.0,98486.0,157530.0,0.0,756.0,698.0,20211126 21:43:50,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582914,cec25ca9-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150123,jm,20150123 00:00:00,1440,723.0,727.0,721.0,724.0,2900570900.0,66856.0,156214.0,0.0,752.0,696.0,20211126 21:43:16,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1556770,b630bd1b-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150126,jm,20150126 00:00:00,1440,724.0,724.0,715.0,718.0,4703627600.0,109162.0,155806.0,0.0,751.0,695.0,20211126 21:42:35,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
1582915,a9d0b1f0-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150127,jm,20150127 00:00:00,1440,718.0,729.0,717.0,726.0,3372686700.0,77596.0,141246.0,0.0,746.0,690.0,20211126 21:42:14,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
908557,8cba0037-4ebe-11ec-bfe1-83f3c67958e8,jm-domi,jm1505,20150128,jm,20150128 00:00:00,1440,725.0,730.0,724.0,729.0,2225757900.0,51026.0,144200.0,0.0,752.0,696.0,20211126 21:41:25,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-DOMI
