,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
910369,e33e4969-4ebf-11ec-bfe3-83f3c67958e8,l-domi,l1505,20150106,l,20150106 00:00:00,1440,8300.0,8500.0,8225.0,8445.0,48785514500.0,1168312.0,506026.0,0.0,8720.0,8050.0,20211126 21:51:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1606343,c07fe278-4ebf-11ec-bfe3-83f3c67958e8,l-domi,l1505,20150107,l,20150107 00:00:00,1440,8380.0,8475.0,8285.0,8380.0,56369424700.0,1345648.0,543988.0,0.0,8680.0,8020.0,20211126 21:50:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
910370,b33683d2-4ebf-11ec-bfe3-83f3c67958e8,l-domi,l1505,20150108,l,20150108 00:00:00,1440,8445.0,8460.0,8285.0,8290.0,39254741300.0,938734.0,521644.0,0.0,8710.0,8040.0,20211126 21:49:39,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1632264,9b24f6ac-4ebf-11ec-bfe3-83f3c67958e8,l-domi,l1505,20150109,l,20150109 00:00:00,1440,8300.0,8315.0,8055.0,8095.0,69467523100.0,1701760.0,558858.0,0.0,8690.0,8030.0,20211126 21:48:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1606344,80ff510a-4ebf-11ec-bfe2-83f3c67958e8,l-domi,l1505,20150112,l,20150112 00:00:00,1440,8055.0,8095.0,7945.0,8030.0,45149431600.0,1125148.0,550808.0,0.0,8485.0,7835.0,20211126 21:48:15,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1606345,685bae96-4ebf-11ec-bfe2-83f3c67958e8,l-domi,l1505,20150113,l,20150113 00:00:00,1440,7950.0,8055.0,7920.0,8005.0,42380678000.0,1059444.0,548806.0,0.0,8345.0,7705.0,20211126 21:47:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1606346,52a625f3-4ebf-11ec-bfe2-83f3c67958e8,l-domi,l1505,20150114,l,20150114 00:00:00,1440,8025.0,8150.0,8025.0,8125.0,55793479000.0,1379548.0,591678.0,0.0,8320.0,7680.0,20211126 21:46:57,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1632265,4457ed61-4ebf-11ec-bfe2-83f3c67958e8,l-domi,l1505,20150115,l,20150115 00:00:00,1440,8230.0,8365.0,8170.0,8360.0,59766308100.0,1444956.0,601982.0,0.0,8405.0,7765.0,20211126 21:46:33,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
910371,2d5fc4d7-4ebf-11ec-bfe1-83f3c67958e8,l-domi,l1505,20150116,l,20150116 00:00:00,1440,8300.0,8385.0,8250.0,8340.0,43452373900.0,1044956.0,576324.0,0.0,8600.0,7940.0,20211126 21:45:55,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
1632266,1d1e71fb-4ebf-11ec-bfe1-83f3c67958e8,l-domi,l1505,20150119,l,20150119 00:00:00,1440,8400.0,8510.0,8350.0,8490.0,41839569400.0,992862.0,585118.0,0.0,8645.0,7985.0,20211126 21:45:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-DOMI
