,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
941413,e3c4752a-4ebf-11ec-bfe3-83f3c67958e8,m-domi,m1505,20150106,m,20150106 00:00:00,1440,2816.0,2873.0,2811.0,2849.0,46681811000.0,1638688.0,1857150.0,0.0,2928.0,2704.0,20211126 21:51:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
1660313,c0fe9a37-4ebf-11ec-bfe3-83f3c67958e8,m-domi,m1505,20150107,m,20150107 00:00:00,1440,2860.0,2881.0,2846.0,2858.0,36730395800.0,1282780.0,1842564.0,0.0,2961.0,2735.0,20211126 21:50:02,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
1636188,b3bcafae-4ebf-11ec-bfe3-83f3c67958e8,m-domi,m1505,20150108,m,20150108 00:00:00,1440,2863.0,2873.0,2850.0,2864.0,26655894500.0,931688.0,1879430.0,0.0,2977.0,2749.0,20211126 21:49:40,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
1636189,9c5a0ba6-4ebf-11ec-bfe3-83f3c67958e8,m-domi,m1505,20150109,m,20150109 00:00:00,1440,2863.0,2873.0,2820.0,2831.0,40162497200.0,1413136.0,1994680.0,0.0,2975.0,2747.0,20211126 21:49:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
941414,81643db5-4ebf-11ec-bfe2-83f3c67958e8,m-domi,m1505,20150112,m,20150112 00:00:00,1440,2835.0,2849.0,2826.0,2837.0,23739038500.0,836516.0,1983212.0,0.0,2955.0,2729.0,20211126 21:48:15,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
1660314,68f34d34-4ebf-11ec-bfe2-83f3c67958e8,m-domi,m1505,20150113,m,20150113 00:00:00,1440,2830.0,2846.0,2770.0,2785.0,50582847200.0,1807898.0,2184950.0,0.0,2950.0,2724.0,20211126 21:47:35,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
941415,53597204-4ebf-11ec-bfe2-83f3c67958e8,m-domi,m1505,20150114,m,20150114 00:00:00,1440,2782.0,2792.0,2716.0,2719.0,57591564900.0,2093774.0,2281052.0,0.0,2908.0,2686.0,20211126 21:46:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
941416,44bfa37d-4ebf-11ec-bfe2-83f3c67958e8,m-domi,m1505,20150115,m,20150115 00:00:00,1440,2718.0,2755.0,2702.0,2746.0,55310379000.0,2024042.0,2140580.0,0.0,2860.0,2640.0,20211126 21:46:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
941417,2e2375b1-4ebf-11ec-bfe1-83f3c67958e8,m-domi,m1505,20150116,m,20150116 00:00:00,1440,2741.0,2765.0,2692.0,2710.0,76342811200.0,2806146.0,2253938.0,0.0,2841.0,2623.0,20211126 21:45:56,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
1636190,1d95fb44-4ebf-11ec-bfe1-83f3c67958e8,m-domi,m1505,20150119,m,20150119 00:00:00,1440,2713.0,2735.0,2620.0,2681.0,96968740500.0,3603260.0,2048538.0,0.0,2828.0,2612.0,20211126 21:45:28,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-DOMI
