,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1120790,e4022016-4ebf-11ec-bfe3-83f3c67958e8,MA-domi,MA506,20150106,MA,20150106 00:00:00,1440,1990.0,2041.0,1986.0,2022.0,29394332300.0,1459904.0,355152.0,0.0,2103.0,1941.0,20211126 21:51:01,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1110370,c162c1dc-4ebf-11ec-bfe3-83f3c67958e8,MA-domi,MA506,20150107,MA,20150107 00:00:00,1440,2014.0,2053.0,2000.0,2022.0,39663723400.0,1956456.0,365132.0,0.0,2094.0,1932.0,20211126 21:50:03,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1110371,b3feed24-4ebf-11ec-bfe3-83f3c67958e8,MA-domi,MA506,20150108,MA,20150108 00:00:00,1440,2039.0,2048.0,2023.0,2031.0,25551441800.0,1254914.0,358318.0,0.0,2109.0,1945.0,20211126 21:49:40,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1120791,a39db5ea-4ebf-11ec-bfe3-83f3c67958e8,MA-domi,MA506,20150109,MA,20150109 00:00:00,1440,2036.0,2038.0,2006.0,2017.0,22962139900.0,1134404.0,353614.0,0.0,2118.0,1954.0,20211126 21:49:13,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1120792,81a5e4f9-4ebf-11ec-bfe2-83f3c67958e8,MA-domi,MA506,20150112,MA,20150112 00:00:00,1440,2009.0,2022.0,1943.0,1945.0,37930577500.0,1922098.0,496114.0,0.0,2105.0,1943.0,20211126 21:48:16,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1120793,695ae62a-4ebf-11ec-bfe2-83f3c67958e8,MA-domi,MA506,20150113,MA,20150113 00:00:00,1440,1940.0,1948.0,1897.0,1909.0,33699247500.0,1754696.0,527402.0,0.0,2052.0,1894.0,20211126 21:47:35,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1120794,539dca83-4ebf-11ec-bfe2-83f3c67958e8,MA-domi,MA506,20150114,MA,20150114 00:00:00,1440,1902.0,1958.0,1902.0,1922.0,41384277400.0,2146990.0,487640.0,0.0,1998.0,1844.0,20211126 21:46:59,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1110372,451d9292-4ebf-11ec-bfe2-83f3c67958e8,MA-domi,MA506,20150115,MA,20150115 00:00:00,1440,1929.0,1967.0,1915.0,1964.0,35102970800.0,1804932.0,460190.0,0.0,2006.0,1850.0,20211126 21:46:34,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1110373,2eeeb2ec-4ebf-11ec-bfe1-83f3c67958e8,MA-domi,MA506,20150116,MA,20150116 00:00:00,1440,1978.0,2014.0,1940.0,1984.0,64305094700.0,3245946.0,452762.0,0.0,2023.0,1867.0,20211126 21:45:57,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
1120795,1e0235dc-4ebf-11ec-bfe1-83f3c67958e8,MA-domi,MA506,20150119,MA,20150119 00:00:00,1440,1986.0,2017.0,1978.0,2006.0,45068642600.0,2255154.0,436364.0,0.0,2061.0,1901.0,20211126 21:45:29,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-DOMI
