,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
958240,5af2f28a-4e19-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150330,ni,20150330 00:00:00,1440,99010.0,100000.0,96820.0,98430.0,6561517580.0,66684.0,34186.0,0.0,106230.0,96120.0,20211126 01:58:54,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1663561,4ee9c2c9-4e19-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150331,ni,20150331 00:00:00,1440,98000.0,98200.0,93840.0,95040.0,10132749100.0,105600.0,54888.0,0.0,103300.0,93470.0,20211126 01:58:34,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1663562,63e37728-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150401,ni,20150401 00:00:00,1440,93940.0,94130.0,91270.0,92500.0,14763384880.0,158952.0,70960.0,0.0,100740.0,91150.0,20211126 00:33:16,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
958241,551eddea-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150402,ni,20150402 00:00:00,1440,92870.0,96600.0,92550.0,96160.0,19133868120.0,202848.0,80724.0,0.0,97510.0,88220.0,20211126 00:32:51,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
958242,46dc69e8-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150403,ni,20150403 00:00:00,1440,96000.0,97800.0,95660.0,97300.0,14507032860.0,150282.0,80998.0,0.0,99030.0,89600.0,20211126 00:32:27,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1663563,39363f8d-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150407,ni,20150407 00:00:00,1440,97500.0,97980.0,95950.0,96420.0,7326581280.0,75688.0,83542.0,0.0,101350.0,91700.0,20211126 00:32:04,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1685449,2beda7e0-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150408,ni,20150408 00:00:00,1440,94500.0,95630.0,93300.0,93950.0,17293078180.0,183088.0,95102.0,0.0,101620.0,91950.0,20211126 00:31:42,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
958243,1e3a4030-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150409,ni,20150409 00:00:00,1440,94450.0,95260.0,93880.0,94300.0,15213335440.0,160974.0,99084.0,0.0,99170.0,89720.0,20211126 00:31:19,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
958244,103e256b-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150410,ni,20150410 00:00:00,1440,94500.0,94970.0,93180.0,94540.0,12958090320.0,137722.0,105628.0,0.0,99220.0,89770.0,20211126 00:30:55,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1663564,01f91807-4e0d-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150413,ni,20150413 00:00:00,1440,94280.0,95670.0,93700.0,95230.0,17070951160.0,180214.0,112858.0,0.0,98780.0,89370.0,20211126 00:30:31,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1685450,f36f5dae-4e0c-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150414,ni,20150414 00:00:00,1440,94780.0,95070.0,92810.0,93100.0,18668818800.0,199150.0,127690.0,0.0,99450.0,89980.0,20211126 00:30:07,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
1663565,e5199c7a-4e0c-11ec-bfdc-83f3c67958e8,ni-domi,ni1507,20150415,ni,20150415 00:00:00,1440,92700.0,95000.0,92640.0,94730.0,20684490820.0,220106.0,132258.0,0.0,98420.0,89050.0,20211126 00:29:43,0,0.0,20150715.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-DOMI
