,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1232640,e44d6bcf-4ebf-11ec-bfe3-83f3c67958e8,OI-domi,OI505,20150106,OI,20150106 00:00:00,1440,6094.0,6094.0,6044.0,6068.0,1836691700.0,30276.0,129796.0,0.0,6244.0,5760.0,20211126 21:51:02,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1188646,c8c32faf-4ebf-11ec-bfe3-83f3c67958e8,OI-domi,OI505,20150107,OI,20150107 00:00:00,1440,6072.0,6084.0,6012.0,6046.0,2776064100.0,45932.0,126034.0,0.0,6310.0,5822.0,20211126 21:50:15,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1232641,b443a7b5-4ebf-11ec-bfe3-83f3c67958e8,OI-domi,OI505,20150108,OI,20150108 00:00:00,1440,6062.0,6178.0,6062.0,6120.0,8152090700.0,132832.0,141480.0,0.0,6286.0,5802.0,20211126 21:49:41,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252280,a691046f-4ebf-11ec-bfe3-83f3c67958e8,OI-domi,OI505,20150109,OI,20150109 00:00:00,1440,6150.0,6158.0,6074.0,6110.0,4061940500.0,66382.0,142922.0,0.0,6384.0,5892.0,20211126 21:49:18,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252281,81e9f048-4ebf-11ec-bfe2-83f3c67958e8,OI-domi,OI505,20150112,OI,20150112 00:00:00,1440,6116.0,6158.0,6092.0,6114.0,2180042600.0,35574.0,141712.0,0.0,6366.0,5874.0,20211126 21:48:16,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252282,6e68114d-4ebf-11ec-bfe2-83f3c67958e8,OI-domi,OI505,20150113,OI,20150113 00:00:00,1440,6016.0,6050.0,6012.0,6016.0,2709301000.0,44940.0,141856.0,0.0,6374.0,5882.0,20211126 21:47:43,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252283,53da518c-4ebf-11ec-bfe2-83f3c67958e8,OI-domi,OI505,20150114,OI,20150114 00:00:00,1440,5994.0,6042.0,5960.0,5992.0,3412646100.0,56946.0,141268.0,0.0,6272.0,5788.0,20211126 21:46:59,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1232642,4547e0db-4ebf-11ec-bfe2-83f3c67958e8,OI-domi,OI505,20150115,OI,20150115 00:00:00,1440,5992.0,6018.0,5934.0,5946.0,6100711800.0,102124.0,153002.0,0.0,6234.0,5754.0,20211126 21:46:35,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252284,2f70d985-4ebf-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150116,OI,20150116 00:00:00,1440,5920.0,5954.0,5890.0,5936.0,4958315100.0,83724.0,154074.0,0.0,6214.0,5734.0,20211126 21:45:58,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252285,1e468dc7-4ebf-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150119,OI,20150119 00:00:00,1440,5956.0,6032.0,5842.0,5948.0,8061719700.0,135162.0,154432.0,0.0,6160.0,5684.0,20211126 21:45:29,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1232643,124c7df6-4ebf-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150120,OI,20150120 00:00:00,1440,5924.0,5978.0,5924.0,5974.0,2527089800.0,42468.0,158284.0,0.0,6204.0,5724.0,20211126 21:45:09,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
203254,fca9ed39-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150121,OI,20150121 00:00:00,1440,5968.0,6004.0,5926.0,5976.0,3340932600.0,55942.0,156218.0,0.0,6192.0,5712.0,20211126 21:44:33,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252286,e487bc79-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150122,OI,20150122 00:00:00,1440,5968.0,6000.0,5954.0,5964.0,2343044100.0,39186.0,153428.0,0.0,6212.0,5732.0,20211126 21:43:52,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1252287,d887b947-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150123,OI,20150123 00:00:00,1440,5948.0,5968.0,5936.0,5954.0,3163929600.0,53202.0,149970.0,0.0,6220.0,5740.0,20211126 21:43:32,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
203255,b8b72702-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150126,OI,20150126 00:00:00,1440,5926.0,5942.0,5906.0,5928.0,2585004600.0,43656.0,145424.0,0.0,6186.0,5710.0,20211126 21:42:40,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1232644,ab7e0257-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150127,OI,20150127 00:00:00,1440,5924.0,5988.0,5914.0,5926.0,2836949600.0,47744.0,145334.0,0.0,6160.0,5684.0,20211126 21:42:16,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
1232645,8fd82228-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150128,OI,20150128 00:00:00,1440,5932.0,5954.0,5904.0,5942.0,2701142800.0,45570.0,137532.0,0.0,6180.0,5704.0,20211126 21:41:31,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
203256,8060f53c-4ebe-11ec-bfe1-83f3c67958e8,OI-domi,OI505,20150129,OI,20150129 00:00:00,1440,5898.0,5930.0,5868.0,5870.0,4390001200.0,74492.0,132112.0,0.0,6166.0,5690.0,20211126 21:41:04,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-DOMI
