,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
959927,e486e565-4ebf-11ec-bfe3-83f3c67958e8,p-domi,p1505,20150106,p,20150106 00:00:00,1440,5000.0,5050.0,4984.0,5038.0,19754499700.0,393316.0,525292.0,0.0,5220.0,4820.0,20211126 21:51:02,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959928,c9f3a10e-4ebf-11ec-bfe3-83f3c67958e8,p-domi,p1505,20150107,p,20150107 00:00:00,1440,5040.0,5066.0,5004.0,5026.0,17232605000.0,342328.0,519712.0,0.0,5222.0,4822.0,20211126 21:50:18,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687889,b49e0009-4ebf-11ec-bfe3-83f3c67958e8,p-domi,p1505,20150108,p,20150108 00:00:00,1440,5070.0,5088.0,5038.0,5062.0,23992291000.0,473784.0,529996.0,0.0,5232.0,4832.0,20211126 21:49:41,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687890,a7416ec0-4ebf-11ec-bfe3-83f3c67958e8,p-domi,p1505,20150109,p,20150109 00:00:00,1440,5086.0,5098.0,5040.0,5052.0,21976241600.0,433036.0,526510.0,0.0,5264.0,4860.0,20211126 21:49:19,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687891,8230f992-4ebf-11ec-bfe2-83f3c67958e8,p-domi,p1505,20150112,p,20150112 00:00:00,1440,5050.0,5076.0,5044.0,5060.0,11488572300.0,227010.0,532212.0,0.0,5276.0,4872.0,20211126 21:48:17,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687892,6f085af0-4ebf-11ec-bfe2-83f3c67958e8,p-domi,p1505,20150113,p,20150113 00:00:00,1440,5058.0,5058.0,4972.0,4982.0,15027324100.0,299966.0,537682.0,0.0,5262.0,4858.0,20211126 21:47:45,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707738,5455d84f-4ebf-11ec-bfe2-83f3c67958e8,p-domi,p1505,20150114,p,20150114 00:00:00,1440,4986.0,5008.0,4924.0,4938.0,17814671500.0,358504.0,535308.0,0.0,5208.0,4808.0,20211126 21:47:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959929,458a7fbe-4ebf-11ec-bfe2-83f3c67958e8,p-domi,p1505,20150115,p,20150115 00:00:00,1440,4926.0,4974.0,4900.0,4956.0,21152807700.0,428382.0,547210.0,0.0,5166.0,4770.0,20211126 21:46:35,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959930,2fb74ce1-4ebf-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150116,p,20150116 00:00:00,1440,4956.0,4998.0,4920.0,4942.0,18771062100.0,379078.0,540918.0,0.0,5132.0,4740.0,20211126 21:45:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687893,1e8154d5-4ebf-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150119,p,20150119 00:00:00,1440,4936.0,4982.0,4760.0,4896.0,35295516900.0,718154.0,474688.0,0.0,5148.0,4752.0,20211126 21:45:30,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707739,12ad6819-4ebf-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150120,p,20150120 00:00:00,1440,4880.0,4912.0,4864.0,4888.0,14459875200.0,295924.0,476784.0,0.0,5110.0,4718.0,20211126 21:45:10,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959931,ff134ff7-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150121,p,20150121 00:00:00,1440,4888.0,4928.0,4870.0,4894.0,18729126200.0,382368.0,493330.0,0.0,5080.0,4692.0,20211126 21:44:37,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959932,e4b7c598-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150122,p,20150122 00:00:00,1440,4870.0,4908.0,4864.0,4876.0,13968766100.0,285746.0,489316.0,0.0,5092.0,4704.0,20211126 21:43:53,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707740,d8c1e24b-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150123,p,20150123 00:00:00,1440,4890.0,4892.0,4854.0,4870.0,16029083600.0,329186.0,481754.0,0.0,5082.0,4694.0,20211126 21:43:33,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959933,b96f0686-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150126,p,20150126 00:00:00,1440,4852.0,4874.0,4836.0,4838.0,12016167100.0,247708.0,463804.0,0.0,5062.0,4674.0,20211126 21:42:40,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959934,abadde93-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150127,p,20150127 00:00:00,1440,4840.0,4868.0,4822.0,4826.0,15850522700.0,327400.0,471282.0,0.0,5044.0,4656.0,20211126 21:42:17,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687894,908f4986-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150128,p,20150128 00:00:00,1440,4834.0,4850.0,4780.0,4810.0,15176442600.0,315388.0,465740.0,0.0,5032.0,4648.0,20211126 21:41:31,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687895,809a8d46-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150129,p,20150129 00:00:00,1440,4814.0,4818.0,4736.0,4756.0,15838781800.0,332030.0,481950.0,0.0,5002.0,4618.0,20211126 21:41:05,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959935,6f4ffdec-4ebe-11ec-bfe1-83f3c67958e8,p-domi,p1505,20150130,p,20150130 00:00:00,1440,4722.0,4746.0,4610.0,4652.0,28800207800.0,617164.0,499368.0,0.0,4960.0,4580.0,20211126 21:40:36,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687896,c04fb75b-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150202,p,20150202 00:00:00,1440,4680.0,4708.0,4628.0,4694.0,15724960600.0,336800.0,477366.0,0.0,4852.0,4480.0,20211126 19:55:29,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707741,b26bce63-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150203,p,20150203 00:00:00,1440,4718.0,4750.0,4696.0,4736.0,13853472000.0,293516.0,472290.0,0.0,4854.0,4482.0,20211126 19:55:06,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687897,a4a7c088-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150204,p,20150204 00:00:00,1440,4740.0,4818.0,4736.0,4750.0,16386340500.0,343794.0,450958.0,0.0,4906.0,4530.0,20211126 19:54:43,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687898,96ce30ae-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150205,p,20150205 00:00:00,1440,4778.0,4826.0,4736.0,4802.0,22951008800.0,479924.0,442668.0,0.0,4956.0,4576.0,20211126 19:54:19,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687899,8931905f-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150206,p,20150206 00:00:00,1440,4888.0,4952.0,4846.0,4896.0,39742977500.0,812316.0,421582.0,0.0,4972.0,4592.0,20211126 19:53:57,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959936,7c48e12a-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150209,p,20150209 00:00:00,1440,4930.0,4934.0,4884.0,4916.0,19474234400.0,397022.0,413604.0,0.0,5086.0,4698.0,20211126 19:53:35,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687900,6e22fd83-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150210,p,20150210 00:00:00,1440,4892.0,4942.0,4886.0,4940.0,13438955400.0,273506.0,411748.0,0.0,5100.0,4708.0,20211126 19:53:11,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687901,5fde98cb-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150211,p,20150211 00:00:00,1440,4912.0,4942.0,4898.0,4936.0,12746971600.0,259104.0,401270.0,0.0,5108.0,4716.0,20211126 19:52:48,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707742,52560355-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150212,p,20150212 00:00:00,1440,4918.0,4924.0,4882.0,4886.0,15875979600.0,323994.0,368938.0,0.0,5114.0,4722.0,20211126 19:52:25,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687902,43f1a419-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150213,p,20150213 00:00:00,1440,4902.0,4988.0,4890.0,4986.0,16200099200.0,327188.0,372408.0,0.0,5096.0,4704.0,20211126 19:52:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959937,3569c2e6-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150216,p,20150216 00:00:00,1440,4990.0,5030.0,4972.0,5000.0,10235692900.0,204542.0,346924.0,0.0,5148.0,4752.0,20211126 19:51:36,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687903,26cdef38-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150217,p,20150217 00:00:00,1440,5002.0,5016.0,4990.0,4996.0,4130740200.0,82618.0,333412.0,0.0,5304.0,4704.0,20211126 19:51:11,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1707743,174e0cf9-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150225,p,20150225 00:00:00,1440,4976.0,4978.0,4816.0,4942.0,6195203000.0,125970.0,319178.0,0.0,5296.0,4700.0,20211126 19:50:46,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959938,094aa0c2-4eaf-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150226,p,20150226 00:00:00,1440,4952.0,4974.0,4936.0,4962.0,5796265100.0,116924.0,321936.0,0.0,5112.0,4720.0,20211126 19:50:22,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687904,fb10c385-4eae-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150227,p,20150227 00:00:00,1440,4974.0,5104.0,4966.0,5100.0,17699436400.0,351048.0,363518.0,0.0,5154.0,4758.0,20211126 19:49:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
959939,4d0541b3-4e1a-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150302,p,20150302 00:00:00,1440,5100.0,5174.0,5100.0,5164.0,22976439600.0,447282.0,372620.0,0.0,5240.0,4840.0,20211126 02:05:41,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
1687905,3f1b1e0d-4e1a-11ec-bfdc-83f3c67958e8,p-domi,p1505,20150303,p,20150303 00:00:00,1440,5164.0,5220.0,5070.0,5106.0,27234534700.0,529290.0,345050.0,0.0,5340.0,4932.0,20211126 02:05:17,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-DOMI
