,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1783340,e5b1ecc2-4ebf-11ec-bfe3-83f3c67958e8,pp-domi,pp1505,20150106,pp,20150106 00:00:00,1440,7500.0,7588.0,7427.0,7523.0,26228756500.0,698670.0,299502.0,0.0,7998.0,7384.0,20211126 21:51:04,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755017,cdcd8c1d-4ebf-11ec-bfe3-83f3c67958e8,pp-domi,pp1505,20150107,pp,20150107 00:00:00,1440,7485.0,7540.0,7380.0,7432.0,25426022400.0,682236.0,332888.0,0.0,7808.0,7208.0,20211126 21:50:24,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
986098,b5751459-4ebf-11ec-bfe3-83f3c67958e8,pp-domi,pp1505,20150108,pp,20150108 00:00:00,1440,7480.0,7498.0,7388.0,7389.0,19808265300.0,531934.0,366918.0,0.0,7751.0,7155.0,20211126 21:49:43,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755018,a86ef2a9-4ebf-11ec-bfe3-83f3c67958e8,pp-domi,pp1505,20150109,pp,20150109 00:00:00,1440,7390.0,7412.0,7150.0,7150.0,40062622600.0,1112138.0,420154.0,0.0,7744.0,7150.0,20211126 21:49:21,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1783341,831facd4-4ebf-11ec-bfe2-83f3c67958e8,pp-domi,pp1505,20150112,pp,20150112 00:00:00,1440,7100.0,7215.0,7076.0,7203.0,22787008200.0,636866.0,374892.0,0.0,7636.0,6772.0,20211126 21:48:18,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
986099,731651ad-4ebf-11ec-bfe2-83f3c67958e8,pp-domi,pp1505,20150113,pp,20150113 00:00:00,1440,7140.0,7268.0,7123.0,7188.0,27578980500.0,767458.0,359776.0,0.0,7441.0,6869.0,20211126 21:47:52,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755019,5530b1a5-4ebf-11ec-bfe2-83f3c67958e8,pp-domi,pp1505,20150114,pp,20150114 00:00:00,1440,7250.0,7295.0,7150.0,7199.0,26401995400.0,732474.0,360046.0,0.0,7474.0,6900.0,20211126 21:47:01,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755020,465e8946-4ebf-11ec-bfe2-83f3c67958e8,pp-domi,pp1505,20150115,pp,20150115 00:00:00,1440,7280.0,7347.0,7235.0,7314.0,23427828400.0,642340.0,350150.0,0.0,7496.0,6920.0,20211126 21:46:37,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755021,309d8eec-4ebf-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150116,pp,20150116 00:00:00,1440,7250.0,7298.0,7203.0,7260.0,20055789200.0,552704.0,366878.0,0.0,7585.0,7003.0,20211126 21:46:00,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755022,1f55bc92-4ebf-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150119,pp,20150119 00:00:00,1440,7320.0,7449.0,7320.0,7435.0,22676003300.0,614316.0,334606.0,0.0,7547.0,6967.0,20211126 21:45:31,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1783342,13407fce-4ebf-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150120,pp,20150120 00:00:00,1440,7392.0,7414.0,7252.0,7285.0,18894362800.0,516482.0,345654.0,0.0,7677.0,7087.0,20211126 21:45:11,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
986100,01213998-4ebf-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150121,pp,20150121 00:00:00,1440,7270.0,7400.0,7252.0,7357.0,16580453400.0,451430.0,349252.0,0.0,7608.0,7024.0,20211126 21:44:40,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1783343,e5857b7e-4ebe-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150122,pp,20150122 00:00:00,1440,7403.0,7429.0,7270.0,7343.0,23944448000.0,652580.0,361158.0,0.0,7638.0,7052.0,20211126 21:43:54,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
1755023,d9a830f8-4ebe-11ec-bfe1-83f3c67958e8,pp-domi,pp1505,20150123,pp,20150123 00:00:00,1440,7364.0,7364.0,7286.0,7350.0,17481819200.0,477166.0,346118.0,0.0,7631.0,7045.0,20211126 21:43:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-DOMI
