,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1010332,e5f2a410-4ebf-11ec-bfe3-83f3c67958e8,rb-domi,rb1505,20150106,rb,20150106 00:00:00,1440,2551.0,2647.0,2548.0,2619.0,194247866500.0,7434538.0,2279112.0,0.0,2658.0,2453.0,20211126 21:51:04,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1010333,ce9314f1-4ebf-11ec-bfe3-83f3c67958e8,rb-domi,rb1505,20150107,rb,20150107 00:00:00,1440,2615.0,2615.0,2568.0,2585.0,111685859960.0,4317868.0,2225372.0,0.0,2716.0,2507.0,20211126 21:50:25,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798183,b5bd1a1c-4ebf-11ec-bfe3-83f3c67958e8,rb-domi,rb1505,20150108,rb,20150108 00:00:00,1440,2585.0,2603.0,2563.0,2579.0,95402286820.0,3696668.0,2206252.0,0.0,2689.0,2482.0,20211126 21:49:43,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798184,a8e56073-4ebf-11ec-bfe3-83f3c67958e8,rb-domi,rb1505,20150109,rb,20150109 00:00:00,1440,2584.0,2588.0,2546.0,2557.0,91311306040.0,3561070.0,2156408.0,0.0,2683.0,2476.0,20211126 21:49:22,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798185,8375ea87-4ebf-11ec-bfe2-83f3c67958e8,rb-domi,rb1505,20150112,rb,20150112 00:00:00,1440,2557.0,2585.0,2501.0,2502.0,132085175440.0,5204600.0,2193666.0,0.0,2666.0,2461.0,20211126 21:48:19,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798186,739fcf42-4ebf-11ec-bfe2-83f3c67958e8,rb-domi,rb1505,20150113,rb,20150113 00:00:00,1440,2498.0,2514.0,2483.0,2511.0,83562973200.0,3337222.0,2189134.0,0.0,2638.0,2435.0,20211126 21:47:53,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798187,5572bcb2-4ebf-11ec-bfe2-83f3c67958e8,rb-domi,rb1505,20150114,rb,20150114 00:00:00,1440,2499.0,2520.0,2456.0,2487.0,125887736020.0,5060470.0,2181418.0,0.0,2603.0,2402.0,20211126 21:47:02,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798188,46989699-4ebf-11ec-bfe2-83f3c67958e8,rb-domi,rb1505,20150115,rb,20150115 00:00:00,1440,2483.0,2524.0,2472.0,2519.0,110477467960.0,4426394.0,2191982.0,0.0,2586.0,2387.0,20211126 21:46:37,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798189,30c64a32-4ebf-11ec-bfe1-83f3c67958e8,rb-domi,rb1505,20150116,rb,20150116 00:00:00,1440,2519.0,2532.0,2497.0,2510.0,97954262580.0,3898388.0,2247512.0,0.0,2594.0,2395.0,20211126 21:46:00,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1010334,1f98b349-4ebf-11ec-bfe1-83f3c67958e8,rb-domi,rb1505,20150119,rb,20150119 00:00:00,1440,2499.0,2526.0,2470.0,2516.0,146082226260.0,5840042.0,2161770.0,0.0,2612.0,2411.0,20211126 21:45:31,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798190,1385ab2a-4ebf-11ec-bfe1-83f3c67958e8,rb-domi,rb1505,20150120,rb,20150120 00:00:00,1440,2512.0,2528.0,2486.0,2488.0,95206758280.0,3804648.0,2224690.0,0.0,2601.0,2400.0,20211126 21:45:11,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
1798191,0169399f-4ebf-11ec-bfe1-83f3c67958e8,rb-domi,rb1505,20150121,rb,20150121 00:00:00,1440,2485.0,2513.0,2470.0,2472.0,101412927640.0,4067256.0,2226796.0,0.0,2602.0,2401.0,20211126 21:44:41,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-DOMI
