,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1328604,e672b895-4ebf-11ec-bfe3-83f3c67958e8,RM-domi,RM505,20150106,RM,20150106 00:00:00,1440,2220.0,2263.0,2212.0,2243.0,28633708100.0,1277816.0,862134.0,0.0,2306.0,2128.0,20211126 21:51:05,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328605,cf1dca3d-4ebf-11ec-bfe3-83f3c67958e8,RM-domi,RM505,20150107,RM,20150107 00:00:00,1440,2251.0,2269.0,2234.0,2244.0,30374372100.0,1348504.0,888732.0,0.0,2331.0,2151.0,20211126 21:50:26,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254170,b62e6bb9-4ebf-11ec-bfe3-83f3c67958e8,RM-domi,RM505,20150108,RM,20150108 00:00:00,1440,2248.0,2265.0,2238.0,2257.0,25710562000.0,1142558.0,882012.0,0.0,2343.0,2161.0,20211126 21:49:44,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328606,a95b308b-4ebf-11ec-bfe3-83f3c67958e8,RM-domi,RM505,20150109,RM,20150109 00:00:00,1440,2257.0,2267.0,2223.0,2230.0,31867667900.0,1421152.0,925856.0,0.0,2340.0,2160.0,20211126 21:49:22,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336168,83f86228-4ebf-11ec-bfe2-83f3c67958e8,RM-domi,RM505,20150112,RM,20150112 00:00:00,1440,2232.0,2243.0,2225.0,2231.0,19643835800.0,879768.0,904518.0,0.0,2332.0,2152.0,20211126 21:48:20,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336169,742efc0d-4ebf-11ec-bfe2-83f3c67958e8,RM-domi,RM505,20150113,RM,20150113 00:00:00,1440,2226.0,2236.0,2169.0,2195.0,29262814000.0,1331602.0,981434.0,0.0,2323.0,2143.0,20211126 21:47:53,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336170,56f06be5-4ebf-11ec-bfe2-83f3c67958e8,RM-domi,RM505,20150114,RM,20150114 00:00:00,1440,2187.0,2198.0,2126.0,2129.0,37159248500.0,1722766.0,1000516.0,0.0,2286.0,2110.0,20211126 21:47:05,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336171,4768b7f4-4ebf-11ec-bfe2-83f3c67958e8,RM-domi,RM505,20150115,RM,20150115 00:00:00,1440,2128.0,2162.0,2110.0,2154.0,30389740500.0,1419910.0,954094.0,0.0,2244.0,2070.0,20211126 21:46:38,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254171,3144b09c-4ebf-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150116,RM,20150116 00:00:00,1440,2153.0,2169.0,2107.0,2132.0,40444798400.0,1895974.0,1029920.0,0.0,2226.0,2054.0,20211126 21:46:01,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254172,20020a2c-4ebf-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150119,RM,20150119 00:00:00,1440,2138.0,2167.0,2061.0,2108.0,58464023600.0,2760126.0,919774.0,0.0,2219.0,2047.0,20211126 21:45:32,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336172,144116a6-4ebf-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150120,RM,20150120 00:00:00,1440,2110.0,2116.0,2081.0,2108.0,42278536100.0,2013796.0,920812.0,0.0,2203.0,2033.0,20211126 21:45:12,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336173,01d3a9cc-4ebf-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150121,RM,20150121 00:00:00,1440,2106.0,2162.0,2095.0,2141.0,57722357500.0,2710326.0,971446.0,0.0,2183.0,2015.0,20211126 21:44:41,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254173,e63fbbbe-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150122,RM,20150122 00:00:00,1440,2136.0,2168.0,2133.0,2152.0,34834098600.0,1617230.0,995964.0,0.0,2216.0,2044.0,20211126 21:43:56,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336174,da569e35-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150123,RM,20150123 00:00:00,1440,2164.0,2164.0,2115.0,2133.0,35189859400.0,1651454.0,1032376.0,0.0,2241.0,2067.0,20211126 21:43:35,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328607,bb8119a7-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150126,RM,20150126 00:00:00,1440,2125.0,2139.0,2100.0,2128.0,35414827600.0,1669960.0,1044194.0,0.0,2217.0,2045.0,20211126 21:42:44,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254174,ad5377bd-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150127,RM,20150127 00:00:00,1440,2128.0,2165.0,2121.0,2142.0,41981318200.0,1958020.0,960232.0,0.0,2206.0,2036.0,20211126 21:42:20,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328608,97d0432e-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150128,RM,20150128 00:00:00,1440,2147.0,2154.0,2117.0,2125.0,38811517800.0,1819114.0,948014.0,0.0,2230.0,2058.0,20211126 21:41:44,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336175,8233c4ab-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150129,RM,20150129 00:00:00,1440,2119.0,2129.0,2108.0,2120.0,30987763100.0,1464150.0,968860.0,0.0,2220.0,2048.0,20211126 21:41:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336176,72c68222-4ebe-11ec-bfe1-83f3c67958e8,RM-domi,RM505,20150130,RM,20150130 00:00:00,1440,2117.0,2138.0,2113.0,2131.0,32569427900.0,1531216.0,916972.0,0.0,2201.0,2031.0,20211126 21:40:42,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328609,c2171b06-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150202,RM,20150202 00:00:00,1440,2130.0,2131.0,2087.0,2099.0,43128293600.0,2048912.0,1016280.0,0.0,2213.0,2041.0,20211126 19:55:32,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328610,b43dbe87-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150203,RM,20150203 00:00:00,1440,2104.0,2146.0,2100.0,2137.0,39112600900.0,1841010.0,931860.0,0.0,2190.0,2020.0,20211126 19:55:09,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328611,a6d26713-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150204,RM,20150204 00:00:00,1440,2146.0,2196.0,2131.0,2158.0,37335890800.0,1725790.0,810250.0,0.0,2210.0,2040.0,20211126 19:54:46,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254175,98c376ab-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150205,RM,20150205 00:00:00,1440,2163.0,2171.0,2146.0,2160.0,30219747800.0,1400000.0,812122.0,0.0,2250.0,2076.0,20211126 19:54:23,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328612,8ae3c078-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150206,RM,20150206 00:00:00,1440,2164.0,2184.0,2161.0,2168.0,29395743000.0,1353480.0,813976.0,0.0,2246.0,2072.0,20211126 19:54:00,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254176,7e0ccce4-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150209,RM,20150209 00:00:00,1440,2172.0,2183.0,2152.0,2182.0,26895686500.0,1240502.0,811744.0,0.0,2259.0,2085.0,20211126 19:53:38,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336177,6fe8ebd4-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150210,RM,20150210 00:00:00,1440,2177.0,2202.0,2173.0,2187.0,29478778700.0,1347078.0,812872.0,0.0,2255.0,2081.0,20211126 19:53:14,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328613,61e654d0-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150211,RM,20150211 00:00:00,1440,2182.0,2194.0,2168.0,2188.0,25449315700.0,1166534.0,788192.0,0.0,2276.0,2100.0,20211126 19:52:51,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328614,54042ed9-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150212,RM,20150212 00:00:00,1440,2183.0,2189.0,2174.0,2186.0,15884661200.0,727658.0,729996.0,0.0,2270.0,2094.0,20211126 19:52:27,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254177,46014d29-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150213,RM,20150213 00:00:00,1440,2192.0,2249.0,2186.0,2248.0,33997110100.0,1532026.0,746810.0,0.0,2271.0,2095.0,20211126 19:52:04,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254178,37a12a7a-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150216,RM,20150216 00:00:00,1440,2244.0,2275.0,2241.0,2261.0,24950499400.0,1104356.0,694120.0,0.0,2308.0,2130.0,20211126 19:51:40,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328615,28b0dca6-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150217,RM,20150217 00:00:00,1440,2258.0,2293.0,2250.0,2279.0,14313655000.0,631366.0,659016.0,0.0,2395.0,2123.0,20211126 19:51:15,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254179,18fe8fa9-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150225,RM,20150225 00:00:00,1440,2305.0,2320.0,2285.0,2298.0,12992883100.0,564534.0,646864.0,0.0,2404.0,2130.0,20211126 19:50:49,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328616,0b501a76-4eaf-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150226,RM,20150226 00:00:00,1440,2295.0,2331.0,2293.0,2323.0,25037711600.0,1082050.0,706064.0,0.0,2395.0,2209.0,20211126 19:50:25,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336178,fd0156c0-4eae-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150227,RM,20150227 00:00:00,1440,2328.0,2382.0,2328.0,2376.0,41053728800.0,1743496.0,693968.0,0.0,2407.0,2221.0,20211126 19:50:02,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254180,4ef56859-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150302,RM,20150302 00:00:00,1440,2375.0,2418.0,2363.0,2405.0,39449072900.0,1648948.0,661716.0,0.0,2450.0,2260.0,20211126 02:05:44,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328617,40e9e70f-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150303,RM,20150303 00:00:00,1440,2401.0,2424.0,2344.0,2366.0,40159803900.0,1684232.0,596034.0,0.0,2488.0,2296.0,20211126 02:05:20,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328618,331c1c28-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150304,RM,20150304 00:00:00,1440,2366.0,2379.0,2341.0,2368.0,26860852300.0,1137734.0,593444.0,0.0,2480.0,2288.0,20211126 02:04:58,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254181,25860625-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150305,RM,20150305 00:00:00,1440,2357.0,2363.0,2331.0,2342.0,22950769300.0,979384.0,522036.0,0.0,2456.0,2266.0,20211126 02:04:34,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336179,18880d0c-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150306,RM,20150306 00:00:00,1440,2338.0,2369.0,2312.0,2317.0,25755285800.0,1099132.0,484256.0,0.0,2437.0,2249.0,20211126 02:04:12,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328619,0bb7e04a-4e1a-11ec-bfdc-83f3c67958e8,RM-domi,RM505,20150309,RM,20150309 00:00:00,1440,2322.0,2349.0,2295.0,2345.0,25632475400.0,1102094.0,466228.0,0.0,2437.0,2249.0,20211126 02:03:51,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328620,ff40988e-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150310,RM,20150310 00:00:00,1440,2232.0,2255.0,2232.0,2238.0,29790600700.0,1326972.0,898814.0,0.0,2307.0,2129.0,20211126 02:03:30,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254182,f2cbbc5d-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150311,RM,20150311 00:00:00,1440,2236.0,2325.0,2214.0,2296.0,85109404400.0,3731826.0,1153664.0,0.0,2335.0,2155.0,20211126 02:03:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254183,e6a54918-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150312,RM,20150312 00:00:00,1440,2295.0,2334.0,2292.0,2317.0,77614821500.0,3358374.0,1308258.0,0.0,2373.0,2189.0,20211126 02:02:49,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336180,da8ef7de-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150313,RM,20150313 00:00:00,1440,2311.0,2332.0,2256.0,2261.0,98910684100.0,4320886.0,1322408.0,0.0,2404.0,2218.0,20211126 02:02:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336181,cf1874f8-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150316,RM,20150316 00:00:00,1440,2255.0,2261.0,2216.0,2238.0,61225907300.0,2730750.0,1289148.0,0.0,2381.0,2197.0,20211126 02:02:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254184,c33ce2c7-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150317,RM,20150317 00:00:00,1440,2246.0,2267.0,2226.0,2242.0,56636611900.0,2519030.0,1352232.0,0.0,2332.0,2152.0,20211126 02:01:50,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336182,b7dc6a01-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150318,RM,20150318 00:00:00,1440,2234.0,2241.0,2208.0,2210.0,46014318300.0,2066958.0,1365306.0,0.0,2338.0,2158.0,20211126 02:01:31,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336183,acab7c8c-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150319,RM,20150319 00:00:00,1440,2215.0,2248.0,2201.0,2229.0,52059599500.0,2336800.0,1384906.0,0.0,2316.0,2136.0,20211126 02:01:11,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336184,a17426f3-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150320,RM,20150320 00:00:00,1440,2221.0,2240.0,2206.0,2234.0,47476301900.0,2136052.0,1404120.0,0.0,2318.0,2138.0,20211126 02:00:53,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336185,966b84e8-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150323,RM,20150323 00:00:00,1440,2235.0,2287.0,2232.0,2273.0,68510583700.0,3026586.0,1483566.0,0.0,2312.0,2134.0,20211126 02:00:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336186,8b64f385-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150324,RM,20150324 00:00:00,1440,2277.0,2298.0,2253.0,2288.0,77878326600.0,3415748.0,1573708.0,0.0,2355.0,2173.0,20211126 02:00:16,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336187,80c052ef-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150325,RM,20150325 00:00:00,1440,2288.0,2295.0,2264.0,2268.0,74397438300.0,3264014.0,1563924.0,0.0,2372.0,2188.0,20211126 01:59:58,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254185,73a95e82-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150326,RM,20150326 00:00:00,1440,2271.0,2285.0,2241.0,2243.0,56214603600.0,2486134.0,1548188.0,0.0,2371.0,2187.0,20211126 01:59:36,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336188,67fc263d-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150327,RM,20150327 00:00:00,1440,2239.0,2249.0,2221.0,2248.0,46579764800.0,2083550.0,1565656.0,0.0,2352.0,2170.0,20211126 01:59:17,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328621,5cb894c8-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150330,RM,20150330 00:00:00,1440,2241.0,2258.0,2228.0,2231.0,54080351100.0,2412568.0,1624372.0,0.0,2326.0,2146.0,20211126 01:58:58,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328622,511b339e-4e19-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150331,RM,20150331 00:00:00,1440,2225.0,2242.0,2212.0,2228.0,57862474900.0,2594546.0,1616478.0,0.0,2332.0,2152.0,20211126 01:58:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254186,663c87fc-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150401,RM,20150401 00:00:00,1440,2226.0,2301.0,2221.0,2273.0,86969860800.0,3829510.0,1691244.0,0.0,2320.0,2140.0,20211126 00:33:20,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336189,577ffaae-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150402,RM,20150402 00:00:00,1440,2270.0,2295.0,2252.0,2257.0,56647051900.0,2494722.0,1682330.0,0.0,2362.0,2180.0,20211126 00:32:55,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254187,4917d8c2-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150403,RM,20150403 00:00:00,1440,2250.0,2256.0,2230.0,2238.0,46984144000.0,2095596.0,1611646.0,0.0,2362.0,2180.0,20211126 00:32:31,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254188,3b9d4123-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150407,RM,20150407 00:00:00,1440,2223.0,2252.0,2223.0,2237.0,33946233400.0,1516544.0,1672258.0,0.0,2332.0,2152.0,20211126 00:32:08,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254189,2e212426-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150408,RM,20150408 00:00:00,1440,2232.0,2242.0,2202.0,2234.0,48934115100.0,2195730.0,1751128.0,0.0,2328.0,2148.0,20211126 00:31:45,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254190,20784ee0-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150409,RM,20150409 00:00:00,1440,2232.0,2237.0,2165.0,2165.0,65880890100.0,2997358.0,1759304.0,0.0,2319.0,2139.0,20211126 00:31:22,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336190,128ef8e9-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150410,RM,20150410 00:00:00,1440,2161.0,2172.0,2130.0,2132.0,60269975600.0,2799228.0,1674206.0,0.0,2286.0,2110.0,20211126 00:30:59,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336191,043c1cb2-4e0d-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150413,RM,20150413 00:00:00,1440,2135.0,2156.0,2117.0,2149.0,53827796600.0,2516256.0,1650876.0,0.0,2240.0,2066.0,20211126 00:30:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254191,f5de642b-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150414,RM,20150414 00:00:00,1440,2150.0,2162.0,2139.0,2162.0,41853465300.0,1946128.0,1628284.0,0.0,2225.0,2053.0,20211126 00:30:11,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254192,e7984bf0-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150415,RM,20150415 00:00:00,1440,2170.0,2185.0,2159.0,2166.0,44821295300.0,2062010.0,1615712.0,0.0,2238.0,2064.0,20211126 00:29:47,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254193,d92efb6c-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150416,RM,20150416 00:00:00,1440,2163.0,2185.0,2147.0,2160.0,62388209100.0,2877446.0,1582972.0,0.0,2261.0,2087.0,20211126 00:29:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336192,cb1d8789-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150417,RM,20150417 00:00:00,1440,2163.0,2178.0,2160.0,2169.0,37712075000.0,1738084.0,1584978.0,0.0,2255.0,2081.0,20211126 00:28:59,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336193,bd2519a5-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150420,RM,20150420 00:00:00,1440,2171.0,2195.0,2155.0,2182.0,49778781100.0,2287588.0,1542390.0,0.0,2257.0,2083.0,20211126 00:28:36,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1328623,af7a6868-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150421,RM,20150421 00:00:00,1440,2182.0,2199.0,2173.0,2191.0,39611746000.0,1811884.0,1510916.0,0.0,2264.0,2088.0,20211126 00:28:13,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
254194,a1902ae3-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150422,RM,20150422 00:00:00,1440,2188.0,2196.0,2166.0,2174.0,35484732400.0,1628064.0,1549612.0,0.0,2274.0,2098.0,20211126 00:27:50,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
1336194,93eba7d6-4e0c-11ec-bfdc-83f3c67958e8,RM-domi,RM509,20150423,RM,20150423 00:00:00,1440,2170.0,2193.0,2167.0,2182.0,33787882600.0,1548912.0,1560718.0,0.0,2268.0,2092.0,20211126 00:27:27,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-DOMI
