,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1849693,e704dad3-4ebf-11ec-bfe3-83f3c67958e8,ru-domi,ru1505,20150106,ru,20150106 00:00:00,1440,13245.0,13770.0,13245.0,13625.0,89629616100.0,658940.0,188338.0,0.0,14165.0,12560.0,20211126 21:51:06,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849694,cfc427fd-4ebf-11ec-bfe3-83f3c67958e8,ru-domi,ru1505,20150107,ru,20150107 00:00:00,1440,13545.0,13695.0,13270.0,13350.0,86994932300.0,647204.0,181178.0,0.0,14415.0,12780.0,20211126 21:50:27,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012198,b6c171b8-4ebf-11ec-bfe3-83f3c67958e8,ru-domi,ru1505,20150108,ru,20150108 00:00:00,1440,13375.0,13400.0,13065.0,13200.0,78410608300.0,592762.0,185218.0,0.0,14245.0,12630.0,20211126 21:49:45,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849695,a9f493d3-4ebf-11ec-bfe3-83f3c67958e8,ru-domi,ru1505,20150109,ru,20150109 00:00:00,1440,13245.0,13475.0,12960.0,13250.0,91793981900.0,695478.0,181638.0,0.0,14015.0,12430.0,20211126 21:49:23,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012199,848b90a8-4ebf-11ec-bfe2-83f3c67958e8,ru-domi,ru1505,20150112,ru,20150112 00:00:00,1440,13255.0,13485.0,13235.0,13285.0,75109555600.0,563020.0,182754.0,0.0,13985.0,12400.0,20211126 21:48:21,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012200,74b2bac8-4ebf-11ec-bfe2-83f3c67958e8,ru-domi,ru1505,20150113,ru,20150113 00:00:00,1440,13220.0,13225.0,12900.0,12920.0,72943403400.0,559164.0,183636.0,0.0,14140.0,12535.0,20211126 21:47:54,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1812111,57f5a40c-4ebf-11ec-bfe2-83f3c67958e8,ru-domi,ru1505,20150114,ru,20150114 00:00:00,1440,12820.0,12965.0,12350.0,12425.0,100122765200.0,793010.0,191250.0,0.0,13825.0,12260.0,20211126 21:47:06,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1812112,47c05ec8-4ebf-11ec-bfe2-83f3c67958e8,ru-domi,ru1505,20150115,ru,20150115 00:00:00,1440,12485.0,12730.0,12415.0,12625.0,65827693200.0,523152.0,193388.0,0.0,13380.0,11865.0,20211126 21:46:39,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012201,31c26525-4ebf-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150116,ru,20150116 00:00:00,1440,12655.0,12915.0,12510.0,12650.0,74507219500.0,587562.0,187658.0,0.0,13330.0,11825.0,20211126 21:46:02,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849696,208e24bf-4ebf-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150119,ru,20150119 00:00:00,1440,12600.0,12820.0,12535.0,12750.0,69066545000.0,543434.0,183454.0,0.0,13440.0,11915.0,20211126 21:45:33,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012202,14c5853f-4ebf-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150120,ru,20150120 00:00:00,1440,12630.0,12870.0,12620.0,12675.0,56171843800.0,440242.0,187296.0,0.0,13465.0,11940.0,20211126 21:45:13,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849697,025f0c29-4ebf-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150121,ru,20150121 00:00:00,1440,12715.0,13085.0,12465.0,12985.0,86964999900.0,679548.0,194262.0,0.0,13520.0,11985.0,20211126 21:44:42,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1812113,e6ebb76c-4ebe-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150122,ru,20150122 00:00:00,1440,12980.0,13425.0,12945.0,13215.0,90399361300.0,683898.0,190046.0,0.0,13560.0,12025.0,20211126 21:43:56,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849698,dae357a4-4ebe-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150123,ru,20150123 00:00:00,1440,13215.0,13290.0,13020.0,13190.0,69572617000.0,529154.0,188226.0,0.0,14005.0,12420.0,20211126 21:43:36,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1849699,bc14328a-4ebe-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150126,ru,20150126 00:00:00,1440,13220.0,13325.0,12815.0,13070.0,86978844200.0,667780.0,180394.0,0.0,13930.0,12355.0,20211126 21:42:45,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
1012203,adac2801-4ebe-11ec-bfe1-83f3c67958e8,ru-domi,ru1505,20150127,ru,20150127 00:00:00,1440,13115.0,13445.0,13115.0,13320.0,82287822100.0,618306.0,191416.0,0.0,13805.0,12240.0,20211126 21:42:21,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-DOMI
