,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1410146,e7837898-4ebf-11ec-bfe3-83f3c67958e8,SF-domi,SF505,20150106,SF,20150106 00:00:00,1440,5320.0,5386.0,5320.0,5344.0,480700.0,18.0,136.0,0.0,5548.0,5120.0,20211126 21:51:07,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413753,d03365c7-4ebf-11ec-bfe3-83f3c67958e8,SF-domi,SF505,20150107,SF,20150107 00:00:00,1440,5346.0,5388.0,5342.0,5342.0,696800.0,26.0,130.0,0.0,5556.0,5128.0,20211126 21:50:28,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
286405,b754934a-4ebf-11ec-bfe3-83f3c67958e8,SF-domi,SF505,20150108,SF,20150108 00:00:00,1440,5368.0,5368.0,5338.0,5350.0,427900.0,16.0,128.0,0.0,5576.0,5144.0,20211126 21:49:46,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410147,aa146e43-4ebf-11ec-bfe3-83f3c67958e8,SF-domi,SF505,20150109,SF,20150109 00:00:00,1440,5322.0,5384.0,5322.0,5342.0,4285500.0,160.0,128.0,0.0,5562.0,5134.0,20211126 21:49:24,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413754,84a8246c-4ebf-11ec-bfe2-83f3c67958e8,SF-domi,SF505,20150112,SF,20150112 00:00:00,1440,5332.0,5398.0,5300.0,5386.0,6770700.0,252.0,154.0,0.0,5574.0,5142.0,20211126 21:48:21,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
286406,74dbede5-4ebf-11ec-bfe2-83f3c67958e8,SF-domi,SF505,20150113,SF,20150113 00:00:00,1440,5380.0,5442.0,5378.0,5400.0,3245900.0,120.0,154.0,0.0,5590.0,5158.0,20211126 21:47:55,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
286407,5823e4f1-4ebf-11ec-bfe2-83f3c67958e8,SF-domi,SF505,20150114,SF,20150114 00:00:00,1440,5392.0,5422.0,5388.0,5400.0,1511200.0,56.0,150.0,0.0,5628.0,5192.0,20211126 21:47:07,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413755,4829837b-4ebf-11ec-bfe2-83f3c67958e8,SF-domi,SF505,20150115,SF,20150115 00:00:00,1440,5400.0,5410.0,5364.0,5388.0,3073200.0,114.0,152.0,0.0,5614.0,5182.0,20211126 21:46:40,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410148,3218087f-4ebf-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150116,SF,20150116 00:00:00,1440,5386.0,5394.0,5352.0,5352.0,1452600.0,54.0,138.0,0.0,5608.0,5176.0,20211126 21:46:03,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410149,20bf532e-4ebf-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150119,SF,20150119 00:00:00,1440,5376.0,5388.0,5342.0,5342.0,2418000.0,90.0,172.0,0.0,5596.0,5164.0,20211126 21:45:34,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
286408,14f99d1c-4ebf-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150120,SF,20150120 00:00:00,1440,5374.0,5388.0,5362.0,5362.0,1557300.0,58.0,162.0,0.0,5590.0,5158.0,20211126 21:45:14,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413756,02960306-4ebf-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150121,SF,20150121 00:00:00,1440,5350.0,5370.0,5350.0,5350.0,535800.0,20.0,158.0,0.0,5586.0,5154.0,20211126 21:44:43,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413757,e748c44c-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150122,SF,20150122 00:00:00,1440,5370.0,5396.0,5342.0,5366.0,3804700.0,142.0,148.0,0.0,5574.0,5142.0,20211126 21:43:57,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410150,db0fb835-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150123,SF,20150123 00:00:00,1440,5350.0,5366.0,5340.0,5364.0,428800.0,16.0,150.0,0.0,5576.0,5144.0,20211126 21:43:37,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
286409,bd1fb351-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150126,SF,20150126 00:00:00,1440,5340.0,5364.0,5340.0,5342.0,374300.0,14.0,150.0,0.0,5576.0,5144.0,20211126 21:42:46,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413758,ae0c572e-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150127,SF,20150127 00:00:00,1440,5378.0,5378.0,5212.0,5220.0,1857600.0,70.0,154.0,0.0,5562.0,5134.0,20211126 21:42:21,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410151,a1b1e974-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150128,SF,20150128 00:00:00,1440,5194.0,5200.0,5100.0,5162.0,7169900.0,280.0,246.0,0.0,5522.0,5094.0,20211126 21:42:00,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413759,8336db4f-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150129,SF,20150129 00:00:00,1440,5124.0,5136.0,5004.0,5080.0,12151100.0,478.0,272.0,0.0,5328.0,4916.0,20211126 21:41:09,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1410152,73dd3c86-4ebe-11ec-bfe1-83f3c67958e8,SF-domi,SF505,20150130,SF,20150130 00:00:00,1440,5044.0,5144.0,5044.0,5116.0,2655700.0,104.0,264.0,0.0,5288.0,4880.0,20211126 21:40:44,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
1413760,c2fe552b-4eaf-11ec-bfdc-83f3c67958e8,SF-domi,SF505,20150202,SF,20150202 00:00:00,1440,5240.0,5240.0,5122.0,5130.0,1133200.0,44.0,268.0,0.0,5314.0,4902.0,20211126 19:55:34,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-DOMI
