,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1442039,e7ce6922-4ebf-11ec-bfe3-83f3c67958e8,SM-domi,SM505,20150106,SM,20150106 00:00:00,1440,5922.0,5922.0,5922.0,5922.0,0.0,0.0,256.0,0.0,6144.0,5668.0,20211126 21:51:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1442040,d08ae45d-4ebf-11ec-bfe3-83f3c67958e8,SM-domi,SM505,20150107,SM,20150107 00:00:00,1440,5922.0,5922.0,5922.0,5922.0,0.0,0.0,256.0,0.0,6160.0,5684.0,20211126 21:50:28,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
329045,b754970c-4ebf-11ec-bfe3-83f3c67958e8,SM-domi,SM505,20150108,SM,20150108 00:00:00,1440,5950.0,5950.0,5950.0,5950.0,59500.0,2.0,256.0,0.0,6160.0,5684.0,20211126 21:49:47,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461754,aa64c920-4ebf-11ec-bfe3-83f3c67958e8,SM-domi,SM505,20150109,SM,20150109 00:00:00,1440,5950.0,5950.0,5950.0,5950.0,0.0,0.0,256.0,0.0,6188.0,5712.0,20211126 21:49:25,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461755,8502ad73-4ebf-11ec-bfe2-83f3c67958e8,SM-domi,SM505,20150112,SM,20150112 00:00:00,1440,5950.0,5950.0,5950.0,5950.0,0.0,0.0,256.0,0.0,6188.0,5712.0,20211126 21:48:22,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461756,753b23b8-4ebf-11ec-bfe2-83f3c67958e8,SM-domi,SM505,20150113,SM,20150113 00:00:00,1440,5948.0,5948.0,5948.0,5948.0,119000.0,4.0,260.0,0.0,6188.0,5712.0,20211126 21:47:55,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1442041,587224d9-4ebf-11ec-bfe2-83f3c67958e8,SM-domi,SM505,20150114,SM,20150114 00:00:00,1440,5946.0,5946.0,5930.0,5930.0,237500.0,8.0,260.0,0.0,6186.0,5710.0,20211126 21:47:07,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
329046,489ba5b8-4ebf-11ec-bfe2-83f3c67958e8,SM-domi,SM505,20150115,SM,20150115 00:00:00,1440,5938.0,5938.0,5938.0,5938.0,237500.0,8.0,252.0,0.0,6176.0,5700.0,20211126 21:46:40,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461757,326ef3a3-4ebf-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150116,SM,20150116 00:00:00,1440,5948.0,5948.0,5920.0,5920.0,237300.0,8.0,252.0,0.0,6176.0,5700.0,20211126 21:46:03,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461758,20f8b720-4ebf-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150119,SM,20150119 00:00:00,1440,5834.0,5854.0,5808.0,5826.0,700300.0,24.0,260.0,0.0,6172.0,5696.0,20211126 21:45:34,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461759,154d73b9-4ebf-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150120,SM,20150120 00:00:00,1440,5790.0,5922.0,5790.0,5802.0,175100.0,6.0,260.0,0.0,6070.0,5602.0,20211126 21:45:14,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461760,02f8f90f-4ebf-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150121,SM,20150121 00:00:00,1440,5762.0,5774.0,5762.0,5774.0,115400.0,4.0,260.0,0.0,6072.0,5604.0,20211126 21:44:43,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
329047,e8fa42dc-4ebe-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150122,SM,20150122 00:00:00,1440,5768.0,5768.0,5768.0,5768.0,0.0,0.0,260.0,0.0,6000.0,5536.0,20211126 21:44:00,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1442042,db8638c7-4ebe-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150123,SM,20150123 00:00:00,1440,5754.0,5754.0,5754.0,5754.0,57500.0,2.0,258.0,0.0,6000.0,5536.0,20211126 21:43:37,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
1461761,bd90c26a-4ebe-11ec-bfe1-83f3c67958e8,SM-domi,SM505,20150126,SM,20150126 00:00:00,1440,5754.0,5754.0,5754.0,5754.0,0.0,0.0,258.0,0.0,5986.0,5522.0,20211126 21:42:47,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-DOMI
