,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1490176,e865d37d-4ebf-11ec-bfe3-83f3c67958e8,SR-domi,SR505,20150106,SR,20150106 00:00:00,1440,4531.0,4616.0,4531.0,4586.0,29004770300.0,632142.0,669876.0,0.0,4734.0,4368.0,20211126 21:51:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490177,d0d494a9-4ebf-11ec-bfe3-83f3c67958e8,SR-domi,SR505,20150107,SR,20150107 00:00:00,1440,4587.0,4694.0,4586.0,4660.0,55053029000.0,1183202.0,661768.0,0.0,4772.0,4404.0,20211126 21:50:29,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490178,b8691f29-4ebf-11ec-bfe3-83f3c67958e8,SR-domi,SR505,20150108,SR,20150108 00:00:00,1440,4660.0,4686.0,4656.0,4673.0,39730045900.0,850562.0,654472.0,0.0,4840.0,4466.0,20211126 21:49:48,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1486610,aac84a06-4ebf-11ec-bfe3-83f3c67958e8,SR-domi,SR505,20150109,SR,20150109 00:00:00,1440,4659.0,4709.0,4656.0,4676.0,42162116400.0,900240.0,637818.0,0.0,4858.0,4484.0,20211126 21:49:25,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490179,86ca0da7-4ebf-11ec-bfe2-83f3c67958e8,SR-domi,SR505,20150112,SR,20150112 00:00:00,1440,4676.0,4772.0,4667.0,4756.0,45473186300.0,960484.0,681014.0,0.0,4871.0,4495.0,20211126 21:48:24,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1486611,75bea140-4ebf-11ec-bfe2-83f3c67958e8,SR-domi,SR505,20150113,SR,20150113 00:00:00,1440,4750.0,4756.0,4706.0,4725.0,32204341400.0,681012.0,655798.0,0.0,4924.0,4544.0,20211126 21:47:56,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
369113,58a8bada-4ebf-11ec-bfe2-83f3c67958e8,SR-domi,SR505,20150114,SR,20150114 00:00:00,1440,4729.0,4762.0,4661.0,4710.0,50968908400.0,1078952.0,675512.0,0.0,4919.0,4539.0,20211126 21:47:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
369114,48e2cdd2-4ebf-11ec-bfe2-83f3c67958e8,SR-domi,SR505,20150115,SR,20150115 00:00:00,1440,4740.0,4745.0,4685.0,4702.0,36143121700.0,766794.0,648544.0,0.0,4913.0,4535.0,20211126 21:46:41,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490180,32a5cf31-4ebf-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150116,SR,20150116 00:00:00,1440,4732.0,4758.0,4701.0,4718.0,47531060400.0,1004412.0,629182.0,0.0,4903.0,4525.0,20211126 21:46:04,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1486612,21a5282a-4ebf-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150119,SR,20150119 00:00:00,1440,4708.0,4833.0,4698.0,4809.0,72407541300.0,1516952.0,619250.0,0.0,4922.0,4542.0,20211126 21:45:35,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490181,159457cc-4ebf-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150120,SR,20150120 00:00:00,1440,4806.0,4824.0,4790.0,4806.0,31310258600.0,651474.0,621490.0,0.0,4964.0,4582.0,20211126 21:45:15,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490182,040afe26-4ebf-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150121,SR,20150121 00:00:00,1440,4822.0,4999.0,4811.0,4958.0,92519040800.0,1879408.0,639124.0,0.0,4999.0,4613.0,20211126 21:44:45,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1486613,eafc59e2-4ebe-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150122,SR,20150122 00:00:00,1440,4966.0,5005.0,4944.0,4986.0,54607660000.0,1098298.0,651408.0,0.0,5120.0,4726.0,20211126 21:44:03,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490183,dc22fc6f-4ebe-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150123,SR,20150123 00:00:00,1440,4979.0,5042.0,4960.0,5039.0,97712375900.0,1952982.0,747222.0,0.0,5171.0,4773.0,20211126 21:43:38,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490184,bf2b0bf0-4ebe-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150126,SR,20150126 00:00:00,1440,5026.0,5049.0,4955.0,5005.0,80318302900.0,1608128.0,720136.0,0.0,5204.0,4802.0,20211126 21:42:50,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490185,aea982aa-4ebe-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150127,SR,20150127 00:00:00,1440,5017.0,5135.0,5002.0,5082.0,96069501700.0,1893456.0,728532.0,0.0,5195.0,4795.0,20211126 21:42:22,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
1490186,a2672f82-4ebe-11ec-bfe1-83f3c67958e8,SR-domi,SR505,20150128,SR,20150128 00:00:00,1440,5059.0,5065.0,4950.0,4980.0,92066748400.0,1840252.0,656768.0,0.0,5277.0,4871.0,20211126 21:42:02,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-DOMI
