,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
409102,e8ae84e8-4ebf-11ec-bfe3-83f3c67958e8,TA-domi,TA505,20150106,TA,20150106 00:00:00,1440,4664.0,4738.0,4660.0,4700.0,39010536400.0,1661398.0,1134566.0,0.0,4910.0,4530.0,20211126 21:51:09,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
409103,d15d60f3-4ebf-11ec-bfe3-83f3c67958e8,TA-domi,TA505,20150107,TA,20150107 00:00:00,1440,4692.0,4726.0,4606.0,4624.0,63339277500.0,2719088.0,1377964.0,0.0,4884.0,4508.0,20211126 21:50:30,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1518469,b8fd11c0-4ebf-11ec-bfe3-83f3c67958e8,TA-domi,TA505,20150108,TA,20150108 00:00:00,1440,4658.0,4696.0,4636.0,4650.0,41041775700.0,1761174.0,1388412.0,0.0,4848.0,4472.0,20211126 21:49:49,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1518470,ab49230c-4ebf-11ec-bfe3-83f3c67958e8,TA-domi,TA505,20150109,TA,20150109 00:00:00,1440,4668.0,4688.0,4586.0,4632.0,55177178700.0,2373596.0,1343052.0,0.0,4850.0,4474.0,20211126 21:49:26,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1515638,882d2de9-4ebf-11ec-bfe2-83f3c67958e8,TA-domi,TA505,20150112,TA,20150112 00:00:00,1440,4618.0,4652.0,4606.0,4620.0,26231451300.0,1133994.0,1342438.0,0.0,4836.0,4464.0,20211126 21:48:27,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1518471,765c6f21-4ebf-11ec-bfe2-83f3c67958e8,TA-domi,TA505,20150113,TA,20150113 00:00:00,1440,4600.0,4608.0,4496.0,4508.0,46676665000.0,2054454.0,1474574.0,0.0,4812.0,4440.0,20211126 21:47:57,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
409104,591e2134-4ebf-11ec-bfe2-83f3c67958e8,TA-domi,TA505,20150114,TA,20150114 00:00:00,1440,4490.0,4546.0,4480.0,4500.0,41254884400.0,1828668.0,1495006.0,0.0,4726.0,4362.0,20211126 21:47:08,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1515639,495e3065-4ebf-11ec-bfe2-83f3c67958e8,TA-domi,TA505,20150115,TA,20150115 00:00:00,1440,4514.0,4636.0,4492.0,4596.0,55472470400.0,2427596.0,1421846.0,0.0,4694.0,4330.0,20211126 21:46:41,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
409105,3316284e-4ebf-11ec-bfe1-83f3c67958e8,TA-domi,TA505,20150116,TA,20150116 00:00:00,1440,4624.0,4708.0,4556.0,4590.0,56892653900.0,2461068.0,1359832.0,0.0,4754.0,4386.0,20211126 21:46:05,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1515640,21c3a347-4ebf-11ec-bfe1-83f3c67958e8,TA-domi,TA505,20150119,TA,20150119 00:00:00,1440,4590.0,4678.0,4590.0,4660.0,35805996000.0,1543870.0,1303760.0,0.0,4810.0,4438.0,20211126 21:45:35,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
1518472,1604d09e-4ebf-11ec-bfe1-83f3c67958e8,TA-domi,TA505,20150120,TA,20150120 00:00:00,1440,4650.0,4668.0,4612.0,4634.0,26265426500.0,1130500.0,1284386.0,0.0,4824.0,4452.0,20211126 21:45:15,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
409106,04298ce7-4ebf-11ec-bfe1-83f3c67958e8,TA-domi,TA505,20150121,TA,20150121 00:00:00,1440,4652.0,4738.0,4624.0,4704.0,44906389200.0,1919422.0,1270742.0,0.0,4834.0,4462.0,20211126 21:44:45,0,0.0,20150515.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-DOMI
