,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1044484,e9442834-4ebf-11ec-bfe3-83f3c67958e8,v-domi,v1505,20150106,v,20150106 00:00:00,1440,5350.0,5405.0,5345.0,5400.0,139117200.0,5172.0,35902.0,0.0,5615.0,5185.0,20211126 21:51:10,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1866242,d431a0d9-4ebf-11ec-bfe3-83f3c67958e8,v-domi,v1505,20150107,v,20150107 00:00:00,1440,5380.0,5395.0,5330.0,5335.0,193729900.0,7238.0,36110.0,0.0,5590.0,5160.0,20211126 21:50:34,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1044485,b95ca209-4ebf-11ec-bfe3-83f3c67958e8,v-domi,v1505,20150108,v,20150108 00:00:00,1440,5350.0,5375.0,5310.0,5320.0,153938400.0,5770.0,37626.0,0.0,5560.0,5140.0,20211126 21:49:50,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1869071,abd5bdfa-4ebf-11ec-bfe3-83f3c67958e8,v-domi,v1505,20150109,v,20150109 00:00:00,1440,5305.0,5325.0,5160.0,5185.0,605404100.0,23146.0,43228.0,0.0,5545.0,5125.0,20211126 21:49:27,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1044486,88e1058d-4ebf-11ec-bfe2-83f3c67958e8,v-domi,v1505,20150112,v,20150112 00:00:00,1440,5170.0,5200.0,5125.0,5135.0,254949100.0,9862.0,45420.0,0.0,5435.0,5025.0,20211126 21:48:28,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1866243,76d3f4ae-4ebf-11ec-bfe2-83f3c67958e8,v-domi,v1505,20150113,v,20150113 00:00:00,1440,5110.0,5120.0,5030.0,5070.0,451868700.0,17830.0,47594.0,0.0,5375.0,4965.0,20211126 21:47:58,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1866244,59b16043-4ebf-11ec-bfe2-83f3c67958e8,v-domi,v1505,20150114,v,20150114 00:00:00,1440,5090.0,5120.0,5025.0,5050.0,552439000.0,21798.0,50306.0,0.0,5265.0,4865.0,20211126 21:47:09,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1866245,4a2e767e-4ebf-11ec-bfe2-83f3c67958e8,v-domi,v1505,20150115,v,20150115 00:00:00,1440,5100.0,5110.0,5030.0,5035.0,518818600.0,20474.0,53924.0,0.0,5265.0,4865.0,20211126 21:46:43,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1869072,34000be9-4ebf-11ec-bfe1-83f3c67958e8,v-domi,v1505,20150116,v,20150116 00:00:00,1440,4995.0,5070.0,4915.0,5020.0,768776300.0,30766.0,52160.0,0.0,5265.0,4865.0,20211126 21:46:06,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
1866246,22687671-4ebf-11ec-bfe1-83f3c67958e8,v-domi,v1505,20150119,v,20150119 00:00:00,1440,5065.0,5090.0,5005.0,5020.0,259130500.0,10288.0,50848.0,0.0,5190.0,4800.0,20211126 21:45:36,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-DOMI
