,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1883066,ea579a99-4ebf-11ec-bfe3-83f3c67958e8,y-domi,y1505,20150106,y,20150106 00:00:00,1440,5622.0,5716.0,5622.0,5702.0,18068374300.0,317880.0,664274.0,0.0,5876.0,5424.0,20211126 21:51:11,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1883067,dd51fc92-4ebf-11ec-bfe3-83f3c67958e8,y-domi,y1505,20150107,y,20150107 00:00:00,1440,5696.0,5736.0,5670.0,5692.0,15588931400.0,273406.0,666324.0,0.0,5910.0,5458.0,20211126 21:50:50,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095026,ba2c848a-4ebf-11ec-bfe3-83f3c67958e8,y-domi,y1505,20150108,y,20150108 00:00:00,1440,5736.0,5772.0,5712.0,5736.0,24949548300.0,434430.0,677466.0,0.0,5928.0,5472.0,20211126 21:49:51,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888523,acbad72a-4ebf-11ec-bfe3-83f3c67958e8,y-domi,y1505,20150109,y,20150109 00:00:00,1440,5752.0,5778.0,5716.0,5740.0,22174058400.0,385642.0,677210.0,0.0,5970.0,5514.0,20211126 21:49:28,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1883068,89dbf1f5-4ebf-11ec-bfe2-83f3c67958e8,y-domi,y1505,20150112,y,20150112 00:00:00,1440,5740.0,5766.0,5728.0,5742.0,13902191700.0,241866.0,671472.0,0.0,5976.0,5520.0,20211126 21:48:30,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888524,77ec3c78-4ebf-11ec-bfe2-83f3c67958e8,y-domi,y1505,20150113,y,20150113 00:00:00,1440,5736.0,5738.0,5636.0,5646.0,16401042400.0,288724.0,667594.0,0.0,5974.0,5518.0,20211126 21:47:59,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1883069,5ac3cd59-4ebf-11ec-bfe2-83f3c67958e8,y-domi,y1505,20150114,y,20150114 00:00:00,1440,5652.0,5676.0,5596.0,5614.0,21638793400.0,384290.0,682980.0,0.0,5906.0,5454.0,20211126 21:47:11,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095027,4b26bdad-4ebf-11ec-bfe2-83f3c67958e8,y-domi,y1505,20150115,y,20150115 00:00:00,1440,5614.0,5650.0,5576.0,5636.0,21961867100.0,390866.0,708976.0,0.0,5854.0,5406.0,20211126 21:46:44,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095028,34f18e3e-4ebf-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150116,y,20150116 00:00:00,1440,5636.0,5682.0,5596.0,5612.0,22962097200.0,408148.0,710654.0,0.0,5842.0,5394.0,20211126 21:46:07,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888525,234a9c4a-4ebf-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150119,y,20150119 00:00:00,1440,5610.0,5692.0,5434.0,5584.0,51675873200.0,921850.0,679392.0,0.0,5848.0,5400.0,20211126 21:45:38,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888526,17593dde-4ebf-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150120,y,20150120 00:00:00,1440,5580.0,5614.0,5554.0,5604.0,19141999500.0,342626.0,691060.0,0.0,5828.0,5380.0,20211126 21:45:18,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095029,09647022-4ebf-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150121,y,20150121 00:00:00,1440,5608.0,5654.0,5582.0,5630.0,29023560200.0,516624.0,702504.0,0.0,5808.0,5364.0,20211126 21:44:55,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1883070,ecaf192d-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150122,y,20150122 00:00:00,1440,5616.0,5640.0,5586.0,5592.0,24369761100.0,433788.0,735694.0,0.0,5840.0,5392.0,20211126 21:44:06,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095030,ddd33198-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150123,y,20150123 00:00:00,1440,5608.0,5612.0,5540.0,5556.0,27764916900.0,498812.0,725658.0,0.0,5840.0,5392.0,20211126 21:43:41,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095031,c19fff6d-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150126,y,20150126 00:00:00,1440,5560.0,5562.0,5506.0,5510.0,17455345400.0,315804.0,714920.0,0.0,5788.0,5344.0,20211126 21:42:54,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888527,b0c0b1e6-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150127,y,20150127 00:00:00,1440,5522.0,5540.0,5478.0,5484.0,20149046200.0,365636.0,702280.0,0.0,5746.0,5306.0,20211126 21:42:26,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095032,a457817a-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150128,y,20150128 00:00:00,1440,5508.0,5520.0,5452.0,5482.0,20849857200.0,380232.0,673868.0,0.0,5730.0,5290.0,20211126 21:42:04,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888528,866358ca-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150129,y,20150129 00:00:00,1440,5480.0,5480.0,5396.0,5426.0,23370834000.0,429904.0,649072.0,0.0,5700.0,5264.0,20211126 21:41:14,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095033,77fab7d4-4ebe-11ec-bfe1-83f3c67958e8,y-domi,y1505,20150130,y,20150130 00:00:00,1440,5390.0,5418.0,5308.0,5348.0,32077158400.0,598826.0,664592.0,0.0,5652.0,5220.0,20211126 21:40:50,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1095034,c63b65cc-4eaf-11ec-bfdc-83f3c67958e8,y-domi,y1505,20150202,y,20150202 00:00:00,1440,5372.0,5438.0,5322.0,5392.0,25702206400.0,477786.0,680444.0,0.0,5570.0,5142.0,20211126 19:55:39,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1888529,b8320fe9-4eaf-11ec-bfdc-83f3c67958e8,y-domi,y1505,20150203,y,20150203 00:00:00,1440,5436.0,5456.0,5410.0,5442.0,21155385800.0,389682.0,690164.0,0.0,5592.0,5164.0,20211126 19:55:16,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
1883071,aaa32d0c-4eaf-11ec-bfdc-83f3c67958e8,y-domi,y1505,20150204,y,20150204 00:00:00,1440,5466.0,5524.0,5426.0,5436.0,24549795400.0,448740.0,657336.0,0.0,5644.0,5212.0,20211126 19:54:53,0,0.0,20150515.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-DOMI
