,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1612759,64e280a9-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150609,ZC,20150609 00:00:00,1440,438,438,438,438,87600,2,614,0,455.6,420.4,20211125 21:27:10,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612760,564ed606-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150610,ZC,20150610 00:00:00,1440,439,439,437,439,1403100,32,620,0,455.6,420.4,20211125 21:26:46,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612761,48021ad7-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150611,ZC,20150611 00:00:00,1440,440,440,437.2,437.4,350700,8,626,0,456,420.8,20211125 21:26:22,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612762,38d9ed6b-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150612,ZC,20150612 00:00:00,1440,437,437,428,428,7092600,164,694,0,456,420.8,20211125 21:25:56,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491937,2adb6ae2-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150615,ZC,20150615 00:00:00,1440,430,430.6,428.8,428.8,2320700,54,692,0,449.8,415,20211125 21:25:33,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612763,1bbee4c1-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150616,ZC,20150616 00:00:00,1440,425,428,425,426.8,7597700,178,716,0,447,412.6,20211125 21:25:08,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622443,0de45d06-4df3-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150617,ZC,20150617 00:00:00,1440,425,426,421.6,422.6,2969200,70,746,0,444,409.6,20211125 21:24:44,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612764,fef4ba63-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150618,ZC,20150618 00:00:00,1440,422,422.4,420.4,421.8,1265900,30,746,0,441.2,407.2,20211125 21:24:19,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612765,f11e1299-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150619,ZC,20150619 00:00:00,1440,418,422.6,414.4,420.8,2607400,62,762,0,439,405,20211125 21:23:56,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622444,e3373c36-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150623,ZC,20150623 00:00:00,1440,420.6,420.6,420.6,420.6,0,0,762,0,437.6,403.6,20211125 21:23:33,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622445,d6022a6d-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150624,ZC,20150624 00:00:00,1440,428,428,421.2,421.2,1774800,42,786,0,437.6,403.6,20211125 21:23:10,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491938,c4b74ada-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150625,ZC,20150625 00:00:00,1440,423,423,419.2,420,2606200,62,804,0,439.6,405.6,20211125 21:22:42,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612766,b62bce75-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150626,ZC,20150626 00:00:00,1440,419.6,420.4,419,420,8143900,194,718,0,437.4,403.4,20211125 21:22:17,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622446,a899900e-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150629,ZC,20150629 00:00:00,1440,419.4,420,411.8,420,2090000,50,698,0,436.6,403,20211125 21:21:55,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491939,9ae264d5-4df2-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150630,ZC,20150630 00:00:00,1440,416.2,418.2,413.2,416.6,5402600,130,700,0,434.8,401.2,20211125 21:21:32,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622447,8c3d8632-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150701,ZC,20150701 00:00:00,1440,414,417.4,414,415,2491400,60,726,0,432.4,398.8,20211125 19:55:13,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622448,7c3d1c2a-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150702,ZC,20150702 00:00:00,1440,414,415.2,412.2,415.2,2732200,66,720,0,432,398.4,20211125 19:54:46,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612767,6d5318af-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150703,ZC,20150703 00:00:00,1440,415,417.2,413.6,414.2,3573100,86,732,0,430.6,397.4,20211125 19:54:21,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491940,5e786c3c-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150706,ZC,20150706 00:00:00,1440,413.2,413.4,404.2,409.2,17745300,432,702,0,432.2,398.6,20211125 19:53:56,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612768,5016270b-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150707,ZC,20150707 00:00:00,1440,409.2,409.2,400,406.8,12863000,316,606,0,427.4,394.2,20211125 19:53:32,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612769,423b3125-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150708,ZC,20150708 00:00:00,1440,402.6,402.6,390.6,390.6,6879500,174,524,0,423.4,390.6,20211125 19:53:09,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622449,3415bf8f-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150709,ZC,20150709 00:00:00,1440,370.2,401,370.2,395,5259400,136,488,0,423.2,367.6,20211125 19:52:45,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622450,26c4ccb8-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150710,ZC,20150710 00:00:00,1440,396.4,397,392.6,393.4,3001700,76,506,0,402.4,371.2,20211125 19:52:23,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622451,1a17aa44-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150713,ZC,20150713 00:00:00,1440,395,396.8,381.8,390,2437100,62,514,0,410.8,379.2,20211125 19:52:01,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491941,0ce3ad16-4de6-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150714,ZC,20150714 00:00:00,1440,392.6,392.6,390.8,391.2,704400,18,520,0,408.8,377.2,20211125 19:51:39,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612770,ff46fb4b-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150715,ZC,20150715 00:00:00,1440,393.6,393.6,389.8,390.2,1253300,32,530,0,407.2,375.6,20211125 19:51:16,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622452,f1ae2bfa-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150716,ZC,20150716 00:00:00,1440,390.2,392.2,390,390.8,1563600,40,538,0,407.4,375.8,20211125 19:50:54,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491942,e443a329-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150717,ZC,20150717 00:00:00,1440,390,392.8,390,392.4,1961900,50,570,0,406.8,375.2,20211125 19:50:31,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491943,d6affbdd-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150720,ZC,20150720 00:00:00,1440,389.2,392.6,389.2,391.2,5552100,142,576,0,408.2,376.6,20211125 19:50:08,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612771,c8f2d65f-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150721,ZC,20150721 00:00:00,1440,392.8,392.8,389,391,3521800,90,608,0,406.8,375.2,20211125 19:49:45,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491944,ba6f5e42-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150722,ZC,20150722 00:00:00,1440,390,390.6,382.2,382.6,5850400,152,656,0,407.2,375.6,20211125 19:49:21,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612772,acf0e05c-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150723,ZC,20150723 00:00:00,1440,379.2,384.6,379,380.6,3208200,84,694,0,400.4,369.6,20211125 19:48:58,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622453,9f18ddee-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150724,ZC,20150724 00:00:00,1440,382,382.4,380,381,9610300,252,690,0,397.4,366.6,20211125 19:48:35,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612773,91d332af-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150727,ZC,20150727 00:00:00,1440,382.2,383,379.8,381.4,7029400,184,716,0,396.8,366,20211125 19:48:13,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491945,82e12dbe-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150728,ZC,20150728 00:00:00,1440,381.2,382.4,375.8,377.8,6007000,158,722,0,397.4,366.6,20211125 19:47:48,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612774,74df7905-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150729,ZC,20150729 00:00:00,1440,379.8,380.8,376,377.4,12307800,326,912,0,395.6,364.8,20211125 19:47:24,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612775,66b0c8c0-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150730,ZC,20150730 00:00:00,1440,377.6,379.6,375.2,375.2,9669400,256,1068,0,392.8,362.4,20211125 19:47:00,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491946,594a98db-4de5-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150731,ZC,20150731 00:00:00,1440,376,378.2,375.4,377,2638200,70,1084,0,393,362.6,20211125 19:46:38,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622454,7a36397d-4d54-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150803,ZC,20150803 00:00:00,1440,378.4,378.6,373.8,376.2,5264200,140,1114,0,392,361.6,20211125 02:29:36,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1622455,6b4feb7a-4d54-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150804,ZC,20150804 00:00:00,1440,375.4,377.6,375.2,376.2,3007900,80,1130,0,391.2,360.8,20211125 02:29:11,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
491947,5ca2c294-4d54-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150805,ZC,20150805 00:00:00,1440,376.6,377.2,376.2,376.6,15588100,414,1076,0,391.2,360.8,20211125 02:28:47,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
1612776,4ed37a3d-4d54-11ec-bfdc-83f3c67958e8,ZC-domi,ZC605,20150806,ZC,20150806 00:00:00,1440,376.6,376.6,370.6,374.8,3899200,104,1086,0,391.8,361.4,20211125 02:28:23,0,0,20160509,0,0,0,1,CZCE,0,0,0,0,ZC-DOMI
