,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1886324,b86aca9b-684f-11ec-822b-83f3c67958e8,zn-domi,zn1503,20150105,zn,20150105 00:00:00,1440,16710.0,16870.0,16625.0,16720.0,15902260850.0,189904.0,160518.0,0.0,17485.0,15820.0,20211229 10:33:34,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1096647,ea90f850-4ebf-11ec-bfe3-83f3c67958e8,zn-domi,zn1503,20150106,zn,20150106 00:00:00,1440,16525.0,16800.0,16500.0,16740.0,19978832600.0,239488.0,163974.0,0.0,17580.0,15905.0,20211126 21:51:12,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1096648,ddc268df-4ebf-11ec-bfe3-83f3c67958e8,zn-domi,zn1503,20150107,zn,20150107 00:00:00,1440,16790.0,16790.0,16590.0,16630.0,14583246600.0,174974.0,161740.0,0.0,17510.0,15845.0,20211126 21:50:50,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1886325,baad0fc3-4ebf-11ec-bfe3-83f3c67958e8,zn-domi,zn1503,20150108,zn,20150108 00:00:00,1440,16560.0,16610.0,16420.0,16465.0,14882211400.0,180220.0,160806.0,0.0,17495.0,15830.0,20211126 21:49:52,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1893695,ad1bbbae-4ebf-11ec-bfe3-83f3c67958e8,zn-domi,zn1503,20150109,zn,20150109 00:00:00,1440,16595.0,16600.0,16410.0,16455.0,16754306900.0,203098.0,158354.0,0.0,17340.0,15685.0,20211126 21:49:29,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1893696,8a3c6d15-4ebf-11ec-bfe2-83f3c67958e8,zn-domi,zn1503,20150112,zn,20150112 00:00:00,1440,16455.0,16590.0,16375.0,16410.0,15032896700.0,182332.0,158684.0,0.0,17315.0,15670.0,20211126 21:48:30,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1893697,7821442f-4ebf-11ec-bfe2-83f3c67958e8,zn-domi,zn1503,20150113,zn,20150113 00:00:00,1440,16310.0,16395.0,16250.0,16255.0,12518741450.0,153358.0,160330.0,0.0,17305.0,15660.0,20211126 21:48:00,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1893698,5b5ad06b-4ebf-11ec-bfe2-83f3c67958e8,zn-domi,zn1503,20150114,zn,20150114 00:00:00,1440,16080.0,16165.0,15550.0,15630.0,45413726650.0,573954.0,186858.0,0.0,17140.0,15505.0,20211126 21:47:12,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1096649,4b5ca412-4ebf-11ec-bfe2-83f3c67958e8,zn-domi,zn1503,20150115,zn,20150115 00:00:00,1440,15760.0,15960.0,15680.0,15870.0,39691277000.0,501186.0,177374.0,0.0,16610.0,15025.0,20211126 21:46:45,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
1886326,37cee160-4ebf-11ec-bfe1-83f3c67958e8,zn-domi,zn1503,20150116,zn,20150116 00:00:00,1440,15915.0,15990.0,15740.0,15810.0,20614083900.0,260234.0,168820.0,0.0,16625.0,15040.0,20211126 21:46:12,0,0.0,20150316.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-DOMI
