,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1646221,95b0ebae-684f-11ec-822b-83f3c67958e8,a-sec,a1509,20150105,a,20150105 00:00:00,1440,4410.0,4435.0,4385.0,4433.0,483218600.0,10920.0,67760.0,0.0,4619.0,4265.0,20211229 10:32:36,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
493776,de3fa8ea-4ebf-11ec-bfe3-83f3c67958e8,a-sec,a1509,20150106,a,20150106 00:00:00,1440,4437.0,4475.0,4427.0,4443.0,893547600.0,20078.0,66150.0,0.0,4602.0,4248.0,20211126 21:50:51,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646222,bb2840c9-4ebf-11ec-bfe3-83f3c67958e8,a-sec,a1509,20150107,a,20150107 00:00:00,1440,4454.0,4465.0,4424.0,4441.0,467424800.0,10520.0,65282.0,0.0,4628.0,4272.0,20211126 21:49:52,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649552,ad9672c0-4ebf-11ec-bfe3-83f3c67958e8,a-sec,a1509,20150108,a,20150108 00:00:00,1440,4444.0,4450.0,4428.0,4437.0,548978100.0,12362.0,64012.0,0.0,4620.0,4266.0,20211126 21:49:29,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649553,8ad33d26-4ebf-11ec-bfe2-83f3c67958e8,a-sec,a1509,20150109,a,20150109 00:00:00,1440,4435.0,4457.0,4426.0,4439.0,683040000.0,15374.0,64318.0,0.0,4617.0,4263.0,20211126 21:48:31,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646223,78986035-4ebf-11ec-bfe2-83f3c67958e8,a-sec,a1509,20150112,a,20150112 00:00:00,1440,4440.0,4460.0,4433.0,4438.0,432816900.0,9726.0,63566.0,0.0,4619.0,4265.0,20211126 21:48:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
493777,5bb254ac-4ebf-11ec-bfe2-83f3c67958e8,a-sec,a1509,20150113,a,20150113 00:00:00,1440,4440.0,4440.0,4393.0,4410.0,340460400.0,7722.0,64870.0,0.0,4628.0,4272.0,20211126 21:47:12,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646224,4bd9eb01-4ebf-11ec-bfe2-83f3c67958e8,a-sec,a1509,20150114,a,20150114 00:00:00,1440,4385.0,4416.0,4381.0,4391.0,509475200.0,11582.0,65246.0,0.0,4584.0,4232.0,20211126 21:46:46,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646225,3d2fd79b-4ebf-11ec-bfe2-83f3c67958e8,a-sec,a1509,20150115,a,20150115 00:00:00,1440,4420.0,4424.0,4384.0,4417.0,529392300.0,12020.0,65168.0,0.0,4573.0,4223.0,20211126 21:46:21,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
493778,24294c78-4ebf-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150116,a,20150116 00:00:00,1440,4418.0,4443.0,4396.0,4421.0,612502000.0,13870.0,64896.0,0.0,4580.0,4228.0,20211126 21:45:40,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
493779,180dbcc9-4ebf-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150119,a,20150119 00:00:00,1440,4420.0,4440.0,4401.0,4418.0,579889000.0,13120.0,66330.0,0.0,4592.0,4240.0,20211126 21:45:19,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646226,0baa055b-4ebf-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150120,a,20150120 00:00:00,1440,4420.0,4515.0,4390.0,4391.0,563193200.0,12764.0,68568.0,0.0,4595.0,4243.0,20211126 21:44:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649554,ed4a7852-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150121,a,20150121 00:00:00,1440,4391.0,4414.0,4350.0,4380.0,844883600.0,19256.0,67976.0,0.0,4588.0,4236.0,20211126 21:44:07,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646227,de774fa7-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150122,a,20150122 00:00:00,1440,4380.0,4393.0,4361.0,4367.0,525396800.0,12010.0,67638.0,0.0,4562.0,4212.0,20211126 21:43:42,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646228,c6289999-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150123,a,20150123 00:00:00,1440,4382.0,4382.0,4345.0,4349.0,485903500.0,11154.0,67986.0,0.0,4548.0,4200.0,20211126 21:43:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649555,b175f3d8-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150126,a,20150126 00:00:00,1440,4344.0,4370.0,4317.0,4325.0,682974300.0,15736.0,68610.0,0.0,4530.0,4182.0,20211126 21:42:27,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649556,a4f4d3dc-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150127,a,20150127 00:00:00,1440,4325.0,4380.0,4323.0,4364.0,696163100.0,15976.0,65274.0,0.0,4513.0,4167.0,20211126 21:42:06,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
493780,872639bb-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150128,a,20150128 00:00:00,1440,4359.0,4375.0,4343.0,4354.0,417616500.0,9574.0,65226.0,0.0,4531.0,4183.0,20211126 21:41:16,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646229,791c8886-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150129,a,20150129 00:00:00,1440,4345.0,4364.0,4308.0,4331.0,1339423200.0,30966.0,67838.0,0.0,4535.0,4187.0,20211126 21:40:52,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1649557,5d936270-4ebe-11ec-bfe1-83f3c67958e8,a-sec,a1509,20150130,a,20150130 00:00:00,1440,4326.0,4343.0,4318.0,4318.0,605837700.0,13986.0,65722.0,0.0,4498.0,4152.0,20211126 21:40:06,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
1646230,b8f5b351-4eaf-11ec-bfdc-83f3c67958e8,a-sec,a1509,20150202,a,20150202 00:00:00,1440,4330.0,4359.0,4321.0,4355.0,872888700.0,20110.0,66306.0,0.0,4504.0,4158.0,20211126 19:55:17,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,A-SEC
