,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1671875,95d8750d-684f-11ec-822b-83f3c67958e8,ag-sec,ag1505,20150105,ag,20150105 00:00:00,1440,3483.0,3507.0,3474.0,3498.0,85495980.0,1632.0,2086.0,0.0,3717.0,3296.0,20211229 10:32:36,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671876,e1d1137c-51b0-11ec-872b-2c56dc94c9c5,ag-sec,ag1505,20150106,ag,20150106 00:00:00,1440,3472.0,3550.0,3458.0,3544.0,267574980.0,5090.0,2014.0,0.0,3701.0,3282.0,20211130 15:41:08,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671877,dfda87dc-51b0-11ec-a242-2c56dc94c9c5,ag-sec,ag1505,20150107,ag,20150107 00:00:00,1440,3539.0,3580.0,3520.0,3545.0,166258440.0,3126.0,1898.0,0.0,3714.0,3293.0,20211130 15:41:05,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532118,dd833453-51b0-11ec-96e6-2c56dc94c9c5,ag-sec,ag1505,20150108,ag,20150108 00:00:00,1440,3355.0,3649.0,3355.0,3538.0,186489900.0,3506.0,1936.0,0.0,3757.0,3332.0,20211130 15:41:01,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671878,db486f6c-51b0-11ec-a647-2c56dc94c9c5,ag-sec,ag1505,20150109,ag,20150109 00:00:00,1440,3555.0,3576.0,3539.0,3549.0,99295800.0,1862.0,1724.0,0.0,3758.0,3333.0,20211130 15:40:57,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671879,d9360419-51b0-11ec-b150-2c56dc94c9c5,ag-sec,ag1505,20150112,ag,20150112 00:00:00,1440,3551.0,3598.0,3516.0,3588.0,214451730.0,4010.0,1634.0,0.0,3768.0,3341.0,20211130 15:40:54,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532119,d7085426-51b0-11ec-8cf6-2c56dc94c9c5,ag-sec,ag1505,20150113,ag,20150113 00:00:00,1440,3566.0,3631.0,3564.0,3608.0,146598270.0,2716.0,1640.0,0.0,3778.0,3351.0,20211130 15:40:50,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532120,d4aeff88-51b0-11ec-aa27-2c56dc94c9c5,ag-sec,ag1505,20150114,ag,20150114 00:00:00,1440,3630.0,3653.0,3564.0,3601.0,238991100.0,4396.0,1674.0,0.0,3813.0,3382.0,20211130 15:40:46,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671880,d28a89ec-51b0-11ec-b0e0-2c56dc94c9c5,ag-sec,ag1505,20150115,ag,20150115 00:00:00,1440,3588.0,3631.0,3552.0,3562.0,259346580.0,4808.0,1612.0,0.0,3841.0,3406.0,20211130 15:40:43,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532121,d06871e4-51b0-11ec-ba5b-2c56dc94c9c5,ag-sec,ag1505,20150116,ag,20150116 00:00:00,1440,3605.0,3648.0,3605.0,3632.0,165859380.0,3048.0,1608.0,0.0,3811.0,3380.0,20211130 15:40:39,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1674864,ce5b52d9-51b0-11ec-a178-2c56dc94c9c5,ag-sec,ag1505,20150119,ag,20150119 00:00:00,1440,3590.0,3769.0,3590.0,3754.0,431394270.0,7744.0,1674.0,0.0,3844.0,3409.0,20211130 15:40:35,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1674865,cc2dbfe0-51b0-11ec-a3e7-2c56dc94c9c5,ag-sec,ag1505,20150120,ag,20150120 00:00:00,1440,3753.0,3785.0,3740.0,3762.0,215902680.0,3828.0,1732.0,0.0,3935.0,3490.0,20211130 15:40:32,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1674866,c9f96cda-51b0-11ec-b5d2-2c56dc94c9c5,ag-sec,ag1505,20150121,ag,20150121 00:00:00,1440,3810.0,3907.0,3781.0,3879.0,258638580.0,4504.0,1424.0,0.0,3985.0,3534.0,20211130 15:40:28,0,0.0,20150515.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532122,c7d8d490-51b0-11ec-8a42-2c56dc94c9c5,ag-sec,ag1512,20150122,ag,20150122 00:00:00,1440,3920.0,3969.0,3838.0,3854.0,755642640.0,12958.0,14326.0,0.0,4092.0,3629.0,20211130 15:40:25,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671881,c5b41b1a-51b0-11ec-9755-2c56dc94c9c5,ag-sec,ag1512,20150123,ag,20150123 00:00:00,1440,3873.0,3918.0,3854.0,3896.0,268418880.0,4594.0,15712.0,0.0,4120.0,3653.0,20211130 15:40:21,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1674867,c39d47b3-51b0-11ec-8888-2c56dc94c9c5,ag-sec,ag1512,20150126,ag,20150126 00:00:00,1440,3898.0,3932.0,3856.0,3897.0,97235760.0,1660.0,15910.0,0.0,4128.0,3661.0,20211130 15:40:17,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671882,c1665f5b-51b0-11ec-9ef0-2c56dc94c9c5,ag-sec,ag1512,20150127,ag,20150127 00:00:00,1440,3883.0,3890.0,3811.0,3859.0,154556070.0,2684.0,16360.0,0.0,4139.0,3670.0,20211130 15:40:14,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671883,bf3c723e-51b0-11ec-90a6-2c56dc94c9c5,ag-sec,ag1512,20150128,ag,20150128 00:00:00,1440,3875.0,3875.0,3838.0,3858.0,100993860.0,1748.0,16844.0,0.0,4068.0,3607.0,20211130 15:40:10,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1674868,bd066d76-51b0-11ec-9059-2c56dc94c9c5,ag-sec,ag1512,20150129,ag,20150129 00:00:00,1440,3860.0,3865.0,3792.0,3800.0,496110150.0,8664.0,16808.0,0.0,4082.0,3619.0,20211130 15:40:06,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671884,bac59d3f-51b0-11ec-814e-2c56dc94c9c5,ag-sec,ag1512,20150130,ag,20150130 00:00:00,1440,3765.0,3765.0,3606.0,3613.0,509906100.0,9316.0,16968.0,0.0,4046.0,3587.0,20211130 15:40:03,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
1671885,b898f250-51b0-11ec-b2ac-2c56dc94c9c5,ag-sec,ag1512,20150202,ag,20150202 00:00:00,1440,3620.0,3710.0,3596.0,3668.0,280424790.0,5120.0,17024.0,0.0,3866.0,3429.0,20211130 15:39:59,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
532123,b62ef533-51b0-11ec-9a47-2c56dc94c9c5,ag-sec,ag1512,20150203,ag,20150203 00:00:00,1440,3661.0,3718.0,3645.0,3711.0,207698820.0,3764.0,17334.0,0.0,3870.0,3431.0,20211130 15:39:55,0,0.0,20151215.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AG-SEC
