,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1711746,960f60bc-684f-11ec-822b-83f3c67958e8,al-sec,al1502,20150105,al,20150105 00:00:00,1440,12800.0,12915.0,12800.0,12820.0,1360530500.0,21150.0,74594.0,0.0,13525.0,12480.0,20211229 10:32:37,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570818,de793033-4ebf-11ec-bfe3-83f3c67958e8,al-sec,al1502,20150106,al,20150106 00:00:00,1440,12785.0,12835.0,12705.0,12795.0,1435688350.0,22450.0,69198.0,0.0,13375.0,12350.0,20211126 21:50:52,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570819,bb98749d-4ebf-11ec-bfe3-83f3c67958e8,al-sec,al1502,20150107,al,20150107 00:00:00,1440,12775.0,12805.0,12695.0,12700.0,826703100.0,12984.0,66630.0,0.0,13300.0,12275.0,20211126 21:49:53,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
1729934,ade862e9-4ebf-11ec-bfe3-83f3c67958e8,al-sec,al1504,20150108,al,20150108 00:00:00,1440,12880.0,12905.0,12820.0,12865.0,906173400.0,14084.0,75198.0,0.0,13365.0,12340.0,20211126 21:49:30,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570820,8b1db0f0-4ebf-11ec-bfe2-83f3c67958e8,al-sec,al1504,20150109,al,20150109 00:00:00,1440,12885.0,12950.0,12840.0,12920.0,1234056150.0,19124.0,78452.0,0.0,13375.0,12350.0,20211126 21:48:32,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570821,79073e2b-4ebf-11ec-bfe2-83f3c67958e8,al-sec,al1504,20150112,al,20150112 00:00:00,1440,12875.0,12910.0,12815.0,12820.0,943084950.0,14668.0,81676.0,0.0,13420.0,12385.0,20211126 21:48:01,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
1729935,5c1acd04-4ebf-11ec-bfe2-83f3c67958e8,al-sec,al1504,20150113,al,20150113 00:00:00,1440,12805.0,12810.0,12730.0,12795.0,1262729650.0,19772.0,84996.0,0.0,13365.0,12340.0,20211126 21:47:13,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570822,4c39f177-4ebf-11ec-bfe2-83f3c67958e8,al-sec,al1504,20150114,al,20150114 00:00:00,1440,12720.0,12805.0,12520.0,12680.0,2452097300.0,38696.0,90928.0,0.0,13280.0,12255.0,20211126 21:46:46,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
1711747,3fb2581f-4ebf-11ec-bfe2-83f3c67958e8,al-sec,al1504,20150115,al,20150115 00:00:00,1440,12745.0,13150.0,12745.0,12905.0,2275165450.0,35458.0,92022.0,0.0,13175.0,12160.0,20211126 21:46:25,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
570823,2537f934-4ebf-11ec-bfe1-83f3c67958e8,al-sec,al1504,20150116,al,20150116 00:00:00,1440,12920.0,12995.0,12830.0,12870.0,1261379000.0,19586.0,95748.0,0.0,13340.0,12315.0,20211126 21:45:41,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,AL-SEC
