,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
372504,e253b812-51b0-11ec-92fb-2c56dc94c9c5,au-sec,au1502,20150106,au,20150106 00:00:00,1440,240.25,242.75,240.25,242.75,32855500,136,156,0,251.5,227.55,20211130 15:41:09,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
572771,e06626eb-51b0-11ec-ac78-2c56dc94c9c5,au-sec,au1502,20150107,au,20150107 00:00:00,1440,243.15,244.65,241.55,243.6,63189100,260,150,0,253.6,229.45,20211130 15:41:06,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
524091,de1e255b-51b0-11ec-b483-2c56dc94c9c5,au-sec,au1502,20150108,au,20150108 00:00:00,1440,242.75,243.95,242.25,242.8,21399700,88,132,0,255.15,230.85,20211130 15:41:02,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
524092,dbc6307c-51b0-11ec-a793-2c56dc94c9c5,au-sec,au1502,20150109,au,20150109 00:00:00,1440,242.75,244,242.75,243.5,18501300,76,128,0,255.3,230.95,20211130 15:40:58,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
524093,d9add74c-51b0-11ec-b9b5-2c56dc94c9c5,au-sec,au1502,20150112,au,20150112 00:00:00,1440,243.25,246.8,243.25,246.65,10787500,44,108,0,255.55,231.2,20211130 15:40:54,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
372505,d788fead-51b0-11ec-bb6b-2c56dc94c9c5,au-sec,au1502,20150113,au,20150113 00:00:00,1440,244.25,247.9,244.25,247.25,13799700,56,112,0,257.4,232.85,20211130 15:40:51,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
372506,d53c5e41-51b0-11ec-895a-2c56dc94c9c5,au-sec,au1502,20150114,au,20150114 00:00:00,1440,248.5,248.5,245.1,246,21725200,88,128,0,258.7,234.05,20211130 15:40:47,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
372507,d30917e5-51b0-11ec-8f10-2c56dc94c9c5,au-sec,au1502,20150115,au,20150115 00:00:00,1440,246.05,248.1,245.45,245.8,7888500,32,130,0,259.15,234.5,20211130 15:40:43,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
572772,d0ebc2f2-51b0-11ec-ab1a-2c56dc94c9c5,au-sec,au1502,20150116,au,20150116 00:00:00,1440,250.25,258,250.1,251.9,66499800,264,134,0,258.8,234.15,20211130 15:40:40,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
572773,ced2a5c0-51b0-11ec-b6d5-2c56dc94c9c5,au-sec,au1502,20150119,au,20150119 00:00:00,1440,252.35,256.5,252.35,256,20430900,80,142,0,264.4,239.25,20211130 15:40:36,0,0,20150210,0,0,0,1,SHFE,0,0,0,0,AU-SEC
