,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1024926,df730a61-4ebf-11ec-bfe3-83f3c67958e8,bu-sec,bu1606,20150106,bu,20150106 00:00:00,1440,3422,3422,3422,3422,0,0,0,0,3544,3206,20211126 21:50:53,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652209,bc8d8578-4ebf-11ec-bfe3-83f3c67958e8,bu-sec,bu1606,20150107,bu,20150107 00:00:00,1440,3384,3384,3384,3384,0,0,0,0,3592,3250,20211126 21:49:55,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037691,af0d9b76-4ebf-11ec-bfe3-83f3c67958e8,bu-sec,bu1606,20150108,bu,20150108 00:00:00,1440,3342,3342,3342,3342,0,0,0,0,3552,3214,20211126 21:49:32,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652210,95930063-4ebf-11ec-bfe2-83f3c67958e8,bu-sec,bu1606,20150109,bu,20150109 00:00:00,1440,3318,3318,3318,3318,0,0,0,0,3508,3174,20211126 21:48:50,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037692,7be6f7b8-4ebf-11ec-bfe2-83f3c67958e8,bu-sec,bu1606,20150112,bu,20150112 00:00:00,1440,3158,3158,3158,3158,0,0,0,0,3482,3152,20211126 21:48:06,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024927,5d2792bf-4ebf-11ec-bfe2-83f3c67958e8,bu-sec,bu1606,20150113,bu,20150113 00:00:00,1440,3152,3152,3152,3152,0,0,0,0,3314,3000,20211126 21:47:15,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652211,4d12bb09-4ebf-11ec-bfe2-83f3c67958e8,bu-sec,bu1606,20150114,bu,20150114 00:00:00,1440,2994,2994,2994,2994,0,0,0,0,3308,2994,20211126 21:46:48,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037693,40af2efd-4ebf-11ec-bfe2-83f3c67958e8,bu-sec,bu1606,20150115,bu,20150115 00:00:00,1440,3008,3008,3008,3008,0,0,0,0,3142,2844,20211126 21:46:27,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037694,271ff963-4ebf-11ec-bfe1-83f3c67958e8,bu-sec,bu1606,20150116,bu,20150116 00:00:00,1440,3020,3020,3020,3020,0,0,0,0,3158,2856,20211126 21:45:44,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024928,1941048a-4ebf-11ec-bfe1-83f3c67958e8,bu-sec,bu1606,20150119,bu,20150119 00:00:00,1440,2964,2964,2964,2964,0,0,0,0,3170,2868,20211126 21:45:21,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024929,0d0c573c-4ebf-11ec-bfe1-83f3c67958e8,bu-sec,bu1606,20150120,bu,20150120 00:00:00,1440,2928,2928,2928,2928,0,0,0,0,3112,2814,20211126 21:45:00,0,0,20160615,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024930,eeb62b0f-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150121,bu,20150121 00:00:00,1440,3134,3134,3134,3134,0,0,2,0,3414,2908,20211126 21:44:09,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037695,dfbc2eb5-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150122,bu,20150122 00:00:00,1440,3290,3290,3162,3162,193840,6,4,0,3290,2976,20211126 21:43:44,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652212,cb2d511c-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150123,bu,20150123 00:00:00,1440,3102,3238,3102,3238,126800,4,4,0,3390,3068,20211126 21:43:10,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1037696,b2fb030a-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150126,bu,20150126 00:00:00,1440,3320,3320,3030,3030,127000,4,2,0,3328,3010,20211126 21:42:29,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652213,a679bdf8-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150127,bu,20150127 00:00:00,1440,3174,3174,3174,3174,0,0,2,0,3332,3014,20211126 21:42:08,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
652214,887aef87-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150128,bu,20150128 00:00:00,1440,3204,3204,3204,3204,0,0,2,0,3332,3014,20211126 21:41:18,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024931,7a491fe7-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150129,bu,20150129 00:00:00,1440,3204,3204,3204,3204,0,0,2,0,3364,3042,20211126 21:40:54,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
1024932,641c2c14-4ebe-11ec-bfe1-83f3c67958e8,bu-sec,bu1612,20150130,bu,20150130 00:00:00,1440,3204,3204,3204,3204,0,0,2,0,3364,3042,20211126 21:40:17,0,0,20161215,0,0,0,1,SHFE,0,0,0,0,BU-SEC
