,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
496793,e01906f5-4ebf-11ec-bfe3-83f3c67958e8,CF-sec,CF509,20150106,CF,20150106 00:00:00,1440,13365.0,13480.0,13355.0,13445.0,1014689600.0,15120.0,78184.0,0.0,13885.0,12815.0,20211126 21:50:54,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41548,bcfaa7c3-4ebf-11ec-bfe3-83f3c67958e8,CF-sec,CF509,20150107,CF,20150107 00:00:00,1440,13440.0,13540.0,13370.0,13410.0,1718716500.0,25560.0,78838.0,0.0,13960.0,12880.0,20211126 21:49:55,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496794,af94b192-4ebf-11ec-bfe3-83f3c67958e8,CF-sec,CF509,20150108,CF,20150108 00:00:00,1440,13410.0,13515.0,13370.0,13490.0,1101188400.0,16354.0,81140.0,0.0,13990.0,12910.0,20211126 21:49:33,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560854,96e1b7f7-4ebf-11ec-bfe2-83f3c67958e8,CF-sec,CF509,20150109,CF,20150109 00:00:00,1440,13500.0,13525.0,13425.0,13450.0,663481500.0,9854.0,81330.0,0.0,14005.0,12925.0,20211126 21:48:52,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496795,7d4a9bea-4ebf-11ec-bfe2-83f3c67958e8,CF-sec,CF509,20150112,CF,20150112 00:00:00,1440,13470.0,13495.0,13405.0,13440.0,714869700.0,10630.0,80186.0,0.0,14005.0,12925.0,20211126 21:48:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560855,62c47c6a-4ebf-11ec-bfe2-83f3c67958e8,CF-sec,CF509,20150113,CF,20150113 00:00:00,1440,13410.0,13435.0,13280.0,13280.0,1435837800.0,21526.0,80120.0,0.0,13990.0,12910.0,20211126 21:47:24,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560856,4d869df8-4ebf-11ec-bfe2-83f3c67958e8,CF-sec,CF509,20150114,CF,20150114 00:00:00,1440,13280.0,13350.0,13235.0,13280.0,1257785400.0,18918.0,80596.0,0.0,13875.0,12805.0,20211126 21:46:48,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560857,412d9462-4ebf-11ec-bfe2-83f3c67958e8,CF-sec,CF509,20150115,CF,20150115 00:00:00,1440,13270.0,13360.0,13255.0,13345.0,1355287100.0,20370.0,79410.0,0.0,13830.0,12760.0,20211126 21:46:28,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41549,27c6e4d5-4ebf-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150116,CF,20150116 00:00:00,1440,13350.0,13625.0,13350.0,13490.0,1662950600.0,24640.0,77174.0,0.0,13840.0,12770.0,20211126 21:45:46,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41550,19b258ab-4ebf-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150119,CF,20150119 00:00:00,1440,13490.0,13545.0,13440.0,13505.0,1133582200.0,16800.0,76032.0,0.0,14040.0,12960.0,20211126 21:45:21,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496796,0da8a96d-4ebf-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150120,CF,20150120 00:00:00,1440,13495.0,13555.0,13455.0,13480.0,698066400.0,10348.0,77092.0,0.0,14035.0,12955.0,20211126 21:45:01,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560858,ef2f3cf4-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150121,CF,20150121 00:00:00,1440,13470.0,13500.0,13320.0,13405.0,1702639500.0,25412.0,77792.0,0.0,14030.0,12950.0,20211126 21:44:10,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496797,e059da4e-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150122,CF,20150122 00:00:00,1440,13420.0,13480.0,13380.0,13390.0,1094061600.0,16300.0,75756.0,0.0,13940.0,12860.0,20211126 21:43:45,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496798,cbbb9aa4-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150123,CF,20150123 00:00:00,1440,13395.0,13445.0,13300.0,13410.0,1210541000.0,18122.0,77738.0,0.0,13965.0,12885.0,20211126 21:43:11,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496799,b3864838-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150126,CF,20150126 00:00:00,1440,13400.0,13505.0,13330.0,13340.0,2480642300.0,36946.0,86372.0,0.0,13895.0,12825.0,20211126 21:42:30,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560859,a6f1770e-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150127,CF,20150127 00:00:00,1440,13355.0,13550.0,13285.0,13415.0,1560871200.0,23226.0,87120.0,0.0,13970.0,12890.0,20211126 21:42:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560860,89114587-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150128,CF,20150128 00:00:00,1440,13440.0,13570.0,13410.0,13570.0,1492644500.0,22140.0,93396.0,0.0,13980.0,12900.0,20211126 21:41:19,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41551,7ad11506-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150129,CF,20150129 00:00:00,1440,13565.0,13670.0,13525.0,13610.0,2746500200.0,40398.0,95606.0,0.0,14025.0,12945.0,20211126 21:40:55,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496800,65281c6e-4ebe-11ec-bfe1-83f3c67958e8,CF-sec,CF509,20150130,CF,20150130 00:00:00,1440,13580.0,13620.0,13475.0,13485.0,1220419500.0,18024.0,93288.0,0.0,14140.0,13050.0,20211126 21:40:19,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496801,bad49afe-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150202,CF,20150202 00:00:00,1440,13485.0,13520.0,13435.0,13490.0,767402700.0,11384.0,93538.0,0.0,14085.0,12995.0,20211126 19:55:20,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41552,ad7d9ab9-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150203,CF,20150203 00:00:00,1440,13530.0,13635.0,13500.0,13585.0,1274057800.0,18768.0,96116.0,0.0,14020.0,12940.0,20211126 19:54:57,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560861,9f8f8240-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150204,CF,20150204 00:00:00,1440,13620.0,13810.0,13575.0,13735.0,4774069100.0,69548.0,103866.0,0.0,14120.0,13030.0,20211126 19:54:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41553,9165f70d-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150205,CF,20150205 00:00:00,1440,13735.0,13735.0,13545.0,13550.0,2690093800.0,39484.0,101920.0,0.0,14280.0,13180.0,20211126 19:54:10,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
560862,848f4b5c-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150206,CF,20150206 00:00:00,1440,13550.0,13690.0,13550.0,13650.0,1827583300.0,26792.0,108598.0,0.0,14170.0,13080.0,20211126 19:53:49,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41554,76d5f25b-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150209,CF,20150209 00:00:00,1440,13630.0,13690.0,13575.0,13675.0,2241327300.0,32866.0,116904.0,0.0,14195.0,13095.0,20211126 19:53:26,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
496802,68eac6a2-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150210,CF,20150210 00:00:00,1440,13655.0,13770.0,13645.0,13715.0,2233557600.0,32556.0,120204.0,0.0,14190.0,13090.0,20211126 19:53:02,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
41555,5aa534d3-4eaf-11ec-bfdc-83f3c67958e8,CF-sec,CF509,20150211,CF,20150211 00:00:00,1440,13690.0,13750.0,13625.0,13670.0,1672513100.0,24448.0,119586.0,0.0,14270.0,13170.0,20211126 19:52:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,CF-SEC
