,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1174525,e0355fb7-4ebf-11ec-bfe3-83f3c67958e8,cs-sec,cs1509,20150106,cs,20150106 00:00:00,1440,2842.0,2849.0,2779.0,2779.0,69817500.0,2484.0,3064.0,0.0,2945.0,2719.0,20211126 21:50:55,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166333,bd61c9cb-4ebf-11ec-bfe3-83f3c67958e8,cs-sec,cs1509,20150107,cs,20150107 00:00:00,1440,2775.0,2803.0,2775.0,2798.0,22840800.0,818.0,3204.0,0.0,2922.0,2698.0,20211126 21:49:56,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174526,afb0c08e-4ebf-11ec-bfe3-83f3c67958e8,cs-sec,cs1509,20150108,cs,20150108 00:00:00,1440,2798.0,2814.0,2794.0,2810.0,20192100.0,720.0,3294.0,0.0,2903.0,2681.0,20211126 21:49:33,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719419,97459f4b-4ebf-11ec-bfe2-83f3c67958e8,cs-sec,cs1509,20150109,cs,20150109 00:00:00,1440,2805.0,2815.0,2794.0,2806.0,23940400.0,854.0,3504.0,0.0,2916.0,2692.0,20211126 21:48:52,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166334,7d736aba-4ebf-11ec-bfe2-83f3c67958e8,cs-sec,cs1509,20150112,cs,20150112 00:00:00,1440,2806.0,2813.0,2804.0,2813.0,14892700.0,530.0,3432.0,0.0,2915.0,2691.0,20211126 21:48:09,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174527,644f6170-4ebf-11ec-bfe2-83f3c67958e8,cs-sec,cs1509,20150113,cs,20150113 00:00:00,1440,2814.0,2815.0,2794.0,2814.0,34841300.0,1242.0,3346.0,0.0,2921.0,2697.0,20211126 21:47:27,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174528,4f52ea96-4ebf-11ec-bfe2-83f3c67958e8,cs-sec,cs1509,20150114,cs,20150114 00:00:00,1440,2809.0,2820.0,2807.0,2810.0,17601600.0,626.0,3242.0,0.0,2917.0,2693.0,20211126 21:46:52,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719420,41837e23-4ebf-11ec-bfe2-83f3c67958e8,cs-sec,cs1509,20150115,cs,20150115 00:00:00,1440,2811.0,2821.0,2805.0,2820.0,9116500.0,324.0,3192.0,0.0,2923.0,2699.0,20211126 21:46:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166335,2a3caeee-4ebf-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150116,cs,20150116 00:00:00,1440,2807.0,2847.0,2807.0,2843.0,30126900.0,1064.0,2896.0,0.0,2925.0,2701.0,20211126 21:45:50,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174529,19dbc203-4ebf-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150119,cs,20150119 00:00:00,1440,2840.0,2868.0,2836.0,2862.0,16739300.0,586.0,2908.0,0.0,2944.0,2718.0,20211126 21:45:22,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719421,0e43d072-4ebf-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150120,cs,20150120 00:00:00,1440,2860.0,2868.0,2858.0,2868.0,6699000.0,234.0,2898.0,0.0,2970.0,2742.0,20211126 21:45:02,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174530,ef908433-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150121,cs,20150121 00:00:00,1440,2873.0,2885.0,2872.0,2877.0,26832100.0,932.0,3096.0,0.0,2976.0,2748.0,20211126 21:44:11,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719422,e0924143-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150122,cs,20150122 00:00:00,1440,2881.0,2881.0,2849.0,2868.0,37665000.0,1316.0,3408.0,0.0,2993.0,2763.0,20211126 21:43:46,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174531,cc1f45fd-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150123,cs,20150123 00:00:00,1440,2874.0,2880.0,2862.0,2867.0,18247700.0,636.0,3440.0,0.0,2976.0,2748.0,20211126 21:43:11,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719423,b3a6fee5-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150126,cs,20150126 00:00:00,1440,2866.0,2891.0,2853.0,2888.0,29029200.0,1008.0,3486.0,0.0,2983.0,2755.0,20211126 21:42:31,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719424,a7458d03-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150127,cs,20150127 00:00:00,1440,2890.0,2942.0,2888.0,2936.0,60061900.0,2056.0,3870.0,0.0,2994.0,2764.0,20211126 21:42:10,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719425,892de377-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150128,cs,20150128 00:00:00,1440,2935.0,2945.0,2915.0,2936.0,47877600.0,1634.0,4128.0,0.0,3037.0,2805.0,20211126 21:41:19,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174532,7afa1b2c-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150129,cs,20150129 00:00:00,1440,2937.0,2960.0,2929.0,2940.0,38253100.0,1300.0,4262.0,0.0,3047.0,2813.0,20211126 21:40:55,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166336,6619d0e1-4ebe-11ec-bfe1-83f3c67958e8,cs-sec,cs1509,20150130,cs,20150130 00:00:00,1440,2931.0,2955.0,2926.0,2942.0,26110800.0,888.0,4358.0,0.0,3059.0,2825.0,20211126 21:40:20,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166337,bb35b77a-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150202,cs,20150202 00:00:00,1440,2941.0,2959.0,2931.0,2952.0,27888400.0,948.0,4626.0,0.0,3057.0,2823.0,20211126 19:55:21,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174533,ad99eaa1-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150203,cs,20150203 00:00:00,1440,2965.0,2965.0,2944.0,2954.0,24678400.0,836.0,4688.0,0.0,3058.0,2824.0,20211126 19:54:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166338,9fab26e9-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150204,cs,20150204 00:00:00,1440,2970.0,2977.0,2961.0,2972.0,50844900.0,1712.0,5300.0,0.0,3069.0,2833.0,20211126 19:54:35,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174534,91d2f7fc-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150205,cs,20150205 00:00:00,1440,2970.0,3017.0,2966.0,2998.0,207476400.0,6918.0,7716.0,0.0,3087.0,2851.0,20211126 19:54:11,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166339,84bc0d2b-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150206,cs,20150206 00:00:00,1440,2998.0,3012.0,2995.0,3009.0,81125100.0,2700.0,8252.0,0.0,3118.0,2880.0,20211126 19:53:49,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174535,772730e9-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150209,cs,20150209 00:00:00,1440,3009.0,3034.0,3007.0,3032.0,134852900.0,4462.0,9680.0,0.0,3124.0,2884.0,20211126 19:53:26,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174536,691734ad-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150210,cs,20150210 00:00:00,1440,3034.0,3058.0,3031.0,3056.0,226188600.0,7426.0,11588.0,0.0,3142.0,2902.0,20211126 19:53:03,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166340,5b0d46bf-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150211,cs,20150211 00:00:00,1440,3080.0,3080.0,3042.0,3057.0,204350100.0,6686.0,12498.0,0.0,3166.0,2924.0,20211126 19:52:39,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166341,4d01c987-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150212,cs,20150212 00:00:00,1440,3060.0,3060.0,3027.0,3032.0,256250900.0,8438.0,12104.0,0.0,3178.0,2934.0,20211126 19:52:16,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166342,3f54718a-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150213,cs,20150213 00:00:00,1440,3035.0,3065.0,3023.0,3048.0,250914100.0,8236.0,13236.0,0.0,3157.0,2915.0,20211126 19:51:53,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166343,2fe0dcc4-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150216,cs,20150216 00:00:00,1440,3050.0,3060.0,3043.0,3059.0,111345000.0,3648.0,13326.0,0.0,3167.0,2925.0,20211126 19:51:27,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174537,207c6179-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150217,cs,20150217 00:00:00,1440,3056.0,3056.0,3025.0,3034.0,96670100.0,3182.0,13256.0,0.0,3235.0,2869.0,20211126 19:51:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174538,1273e219-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150225,cs,20150225 00:00:00,1440,3034.0,3045.0,3004.0,3010.0,115305600.0,3810.0,13402.0,0.0,3220.0,2856.0,20211126 19:50:38,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719426,046ea64c-4eaf-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150226,cs,20150226 00:00:00,1440,3016.0,3016.0,2986.0,2998.0,321193700.0,10708.0,12482.0,0.0,3147.0,2905.0,20211126 19:50:14,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719427,f5efde81-4eae-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150227,cs,20150227 00:00:00,1440,3006.0,3030.0,2998.0,3023.0,173080700.0,5732.0,12676.0,0.0,3118.0,2880.0,20211126 19:49:50,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719428,4865339d-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150302,cs,20150302 00:00:00,1440,3030.0,3033.0,3018.0,3024.0,127861400.0,4228.0,13390.0,0.0,3139.0,2899.0,20211126 02:05:33,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719429,3a1f0094-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150303,cs,20150303 00:00:00,1440,3024.0,3027.0,2999.0,3020.0,210662900.0,6996.0,11334.0,0.0,3144.0,2904.0,20211126 02:05:09,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719430,2c3dedba-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150304,cs,20150304 00:00:00,1440,3015.0,3054.0,3015.0,3051.0,268431800.0,8828.0,13692.0,0.0,3131.0,2891.0,20211126 02:04:46,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
719431,1f030a9b-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150305,cs,20150305 00:00:00,1440,3040.0,3060.0,3015.0,3021.0,261427400.0,8612.0,12504.0,0.0,3161.0,2919.0,20211126 02:04:24,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1174539,1253a9fa-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150306,cs,20150306 00:00:00,1440,3016.0,3031.0,3005.0,3016.0,177111000.0,5868.0,12760.0,0.0,3156.0,2914.0,20211126 02:04:02,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166344,05903c67-4e1a-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150309,cs,20150309 00:00:00,1440,3015.0,3031.0,3001.0,3022.0,237761100.0,7878.0,13142.0,0.0,3138.0,2898.0,20211126 02:03:41,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166345,f951e21d-4e19-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150310,cs,20150310 00:00:00,1440,3023.0,3066.0,3022.0,3064.0,456867900.0,14976.0,13910.0,0.0,3138.0,2898.0,20211126 02:03:20,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
1166346,ecbc3400-4e19-11ec-bfdc-83f3c67958e8,cs-sec,cs1509,20150311,cs,20150311 00:00:00,1440,3058.0,3099.0,3032.0,3048.0,714129100.0,23272.0,14776.0,0.0,3172.0,2928.0,20211126 02:02:59,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,CS-SEC
