,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1244569,99ee130e-684f-11ec-822b-83f3c67958e8,cu-sec,cu1504,20150105,cu,20150105 00:00:00,1440,45120.0,45260.0,44660.0,44720.0,16547831200.0,73638.0,128618.0,0.0,47570.0,43040.0,20211229 10:32:43,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
721029,e2bffa8b-51b0-11ec-9eb9-2c56dc94c9c5,cu-sec,cu1504,20150106,cu,20150106 00:00:00,1440,43800.0,44550.0,43610.0,44440.0,39684662200.0,179344.0,140898.0,0.0,47180.0,42690.0,20211130 15:41:10,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
721030,e0c592bb-51b0-11ec-a4c3-2c56dc94c9c5,cu-sec,cu1504,20150107,cu,20150107 00:00:00,1440,44280.0,44480.0,44050.0,44240.0,26048759200.0,117592.0,146880.0,0.0,46460.0,42030.0,20211130 15:41:06,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
1244570,deb450aa-51b0-11ec-81a3-2c56dc94c9c5,cu-sec,cu1504,20150108,cu,20150108 00:00:00,1440,44200.0,44520.0,44200.0,44340.0,21179141200.0,95434.0,145272.0,0.0,46510.0,42080.0,20211130 15:41:03,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
721031,dc4b053c-51b0-11ec-a6a1-2c56dc94c9c5,cu-sec,cu1504,20150109,cu,20150109 00:00:00,1440,44690.0,44690.0,43900.0,43900.0,39883120200.0,180492.0,161564.0,0.0,46590.0,42160.0,20211130 15:40:59,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
1244571,da2d098a-51b0-11ec-b6c3-2c56dc94c9c5,cu-sec,cu1504,20150112,cu,20150112 00:00:00,1440,43780.0,44100.0,43400.0,43590.0,41396695800.0,189136.0,178732.0,0.0,46390.0,41980.0,20211130 15:40:55,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
1248224,d80d10b6-51b0-11ec-8e78-2c56dc94c9c5,cu-sec,cu1504,20150113,cu,20150113 00:00:00,1440,43000.0,43340.0,42500.0,42520.0,46180968900.0,214952.0,195202.0,0.0,45950.0,41580.0,20211130 15:40:52,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
1244572,d5c54621-51b0-11ec-bd39-2c56dc94c9c5,cu-sec,cu1504,20150114,cu,20150114 00:00:00,1440,41950.0,42300.0,40810.0,40810.0,45428174000.0,217662.0,197350.0,0.0,45100.0,40810.0,20211130 15:40:48,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
721032,d3a0c741-51b0-11ec-bfd8-2c56dc94c9c5,cu-sec,cu1504,20150115,cu,20150115 00:00:00,1440,40350.0,41020.0,39640.0,40730.0,83580178900.0,414178.0,200092.0,0.0,45070.0,38400.0,20211130 15:40:44,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
721033,d180e39a-51b0-11ec-9334-2c56dc94c9c5,cu-sec,cu1504,20150116,cu,20150116 00:00:00,1440,41080.0,41470.0,40330.0,40780.0,66052133200.0,323734.0,218520.0,0.0,42360.0,38330.0,20211130 15:40:41,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,CU-SEC
