,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
65685,e1211889-4ebf-11ec-bfe3-83f3c67958e8,FG-sec,FG509,20150106,FG,20150106 00:00:00,1440,956.0,969.0,942.0,943.0,1772434800.0,92832.0,137732.0,0.0,981.0,905.0,20211126 21:50:56,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898022,be0bd523-4ebf-11ec-bfe3-83f3c67958e8,FG-sec,FG509,20150107,FG,20150107 00:00:00,1440,940.0,944.0,935.0,941.0,603493100.0,32140.0,138210.0,0.0,994.0,916.0,20211126 21:49:57,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
65686,b0a5a8b2-4ebf-11ec-bfe3-83f3c67958e8,FG-sec,FG509,20150108,FG,20150108 00:00:00,1440,941.0,950.0,933.0,934.0,635196100.0,33700.0,135452.0,0.0,977.0,901.0,20211126 21:49:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898023,9893557a-4ebf-11ec-bfe2-83f3c67958e8,FG-sec,FG509,20150109,FG,20150109 00:00:00,1440,931.0,940.0,926.0,936.0,496868400.0,26604.0,132554.0,0.0,980.0,904.0,20211126 21:48:54,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
847393,7e5cef55-4ebf-11ec-bfe2-83f3c67958e8,FG-sec,FG509,20150112,FG,20150112 00:00:00,1440,938.0,938.0,912.0,913.0,645131200.0,34918.0,129022.0,0.0,972.0,896.0,20211126 21:48:10,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
65687,64e7dae7-4ebf-11ec-bfe2-83f3c67958e8,FG-sec,FG509,20150113,FG,20150113 00:00:00,1440,910.0,919.0,908.0,917.0,432826600.0,23642.0,128162.0,0.0,961.0,887.0,20211126 21:47:28,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898024,50863d56-4ebf-11ec-bfe2-83f3c67958e8,FG-sec,FG509,20150114,FG,20150114 00:00:00,1440,918.0,924.0,895.0,920.0,811365800.0,44448.0,123174.0,0.0,952.0,878.0,20211126 21:46:54,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898025,421eff16-4ebf-11ec-bfe2-83f3c67958e8,FG-sec,FG509,20150115,FG,20150115 00:00:00,1440,924.0,925.0,913.0,921.0,602074600.0,32746.0,129500.0,0.0,950.0,876.0,20211126 21:46:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898026,2b686016-4ebf-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150116,FG,20150116 00:00:00,1440,919.0,921.0,906.0,908.0,621444100.0,34042.0,127390.0,0.0,956.0,882.0,20211126 21:45:51,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898027,1a86242a-4ebf-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150119,FG,20150119 00:00:00,1440,911.0,913.0,900.0,910.0,577870600.0,31876.0,128058.0,0.0,950.0,876.0,20211126 21:45:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
898028,0ee2c44c-4ebf-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150120,FG,20150120 00:00:00,1440,907.0,916.0,905.0,906.0,325559200.0,17870.0,130316.0,0.0,943.0,869.0,20211126 21:45:03,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
65688,f02a03e3-4ebe-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150121,FG,20150121 00:00:00,1440,905.0,915.0,902.0,908.0,467198800.0,25704.0,126902.0,0.0,948.0,874.0,20211126 21:44:12,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
65689,e140b4ae-4ebe-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150122,FG,20150122 00:00:00,1440,909.0,918.0,908.0,910.0,431071400.0,23640.0,129322.0,0.0,946.0,872.0,20211126 21:43:47,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
847394,cd36d7c0-4ebe-11ec-bfe1-83f3c67958e8,FG-sec,FG509,20150123,FG,20150123 00:00:00,1440,910.0,916.0,897.0,902.0,602838800.0,33254.0,125794.0,0.0,949.0,875.0,20211126 21:43:13,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,FG-SEC
