,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
820455,e1955627-4ebf-11ec-bfe3-83f3c67958e8,hc-sec,hc1508,20150106,hc,20150106 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:50:57,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
1444255,be9ad6aa-4ebf-11ec-bfe3-83f3c67958e8,hc-sec,hc1508,20150107,hc,20150107 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:49:58,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
820456,b11c5767-4ebf-11ec-bfe3-83f3c67958e8,hc-sec,hc1508,20150108,hc,20150108 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:49:36,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
820457,9928b3ab-4ebf-11ec-bfe2-83f3c67958e8,hc-sec,hc1508,20150109,hc,20150109 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:48:55,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
820458,7ed8ef1b-4ebf-11ec-bfe2-83f3c67958e8,hc-sec,hc1508,20150112,hc,20150112 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:48:11,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
1444256,6684789a-4ebf-11ec-bfe2-83f3c67958e8,hc-sec,hc1508,20150113,hc,20150113 00:00:00,1440,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0,0.0,3244.0,2762.0,20211126 21:47:30,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
820459,512fe8b5-4ebf-11ec-bfe2-83f3c67958e8,hc-sec,hc1508,20150114,hc,20150114 00:00:00,1440,2762.0,2762.0,2762.0,2762.0,55240.0,2.0,2.0,0.0,3244.0,2762.0,20211126 21:46:54,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
1437067,4299a51d-4ebf-11ec-bfe2-83f3c67958e8,hc-sec,hc1509,20150115,hc,20150115 00:00:00,1440,2802.0,2814.0,2752.0,2752.0,447560.0,16.0,16.0,0.0,2880.0,2658.0,20211126 21:46:30,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
1444257,2c04e04d-4ebf-11ec-bfe1-83f3c67958e8,hc-sec,hc1509,20150116,hc,20150116 00:00:00,1440,2786.0,2786.0,2686.0,2686.0,220880.0,8.0,20.0,0.0,2906.0,2684.0,20211126 21:45:52,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
1444258,1b5bc2fa-4ebf-11ec-bfe1-83f3c67958e8,hc-sec,hc1509,20150119,hc,20150119 00:00:00,1440,2652.0,2754.0,2652.0,2754.0,532440.0,20.0,4.0,0.0,2870.0,2648.0,20211126 21:45:24,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,HC-SEC
