,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1530808,e27f2a8a-4ebf-11ec-bfe3-83f3c67958e8,jd-sec,jd1509,20150106,jd,20150106 00:00:00,1440,4554.0,4568.0,4522.0,4535.0,301143700.0,6636.0,24846.0,0.0,4762.0,4310.0,20211126 21:50:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1530809,bfb762f7-4ebf-11ec-bfe3-83f3c67958e8,jd-sec,jd1509,20150107,jd,20150107 00:00:00,1440,4538.0,4606.0,4516.0,4605.0,854430900.0,18718.0,27316.0,0.0,4764.0,4312.0,20211126 21:50:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1554492,b24bf7e3-4ebf-11ec-bfe3-83f3c67958e8,jd-sec,jd1509,20150108,jd,20150108 00:00:00,1440,4591.0,4603.0,4568.0,4579.0,456250400.0,9942.0,29254.0,0.0,4792.0,4336.0,20211126 21:49:38,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1530810,9a713c37-4ebf-11ec-bfe2-83f3c67958e8,jd-sec,jd1509,20150109,jd,20150109 00:00:00,1440,4586.0,4613.0,4575.0,4594.0,470873700.0,10250.0,31660.0,0.0,4818.0,4360.0,20211126 21:48:57,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1554493,7fd0d273-4ebf-11ec-bfe2-83f3c67958e8,jd-sec,jd1509,20150112,jd,20150112 00:00:00,1440,4613.0,4656.0,4594.0,4628.0,787642400.0,17022.0,36858.0,0.0,4822.0,4364.0,20211126 21:48:13,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1554494,67b15735-4ebf-11ec-bfe2-83f3c67958e8,jd-sec,jd1509,20150113,jd,20150113 00:00:00,1440,4610.0,4619.0,4579.0,4580.0,809360500.0,17612.0,36162.0,0.0,4858.0,4396.0,20211126 21:47:32,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1530811,51f110ad-4ebf-11ec-bfe2-83f3c67958e8,jd-sec,jd1509,20150114,jd,20150114 00:00:00,1440,4583.0,4590.0,4455.0,4480.0,1195835000.0,26514.0,34560.0,0.0,4824.0,4366.0,20211126 21:46:56,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1530812,4391feff-4ebf-11ec-bfe2-83f3c67958e8,jd-sec,jd1509,20150115,jd,20150115 00:00:00,1440,4500.0,4520.0,4482.0,4509.0,386226000.0,8576.0,34564.0,0.0,4735.0,4285.0,20211126 21:46:32,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
881224,2cc62591-4ebf-11ec-bfe1-83f3c67958e8,jd-sec,jd1509,20150116,jd,20150116 00:00:00,1440,4508.0,4524.0,4455.0,4478.0,918137100.0,20474.0,35982.0,0.0,4728.0,4278.0,20211126 21:45:54,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
1554495,1c90628c-4ebf-11ec-bfe1-83f3c67958e8,jd-sec,jd1509,20150119,jd,20150119 00:00:00,1440,4497.0,4540.0,4466.0,4524.0,844520700.0,18736.0,33848.0,0.0,4708.0,4260.0,20211126 21:45:26,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JD-SEC
