,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1578219,e2ceb3c8-4ebf-11ec-bfe3-83f3c67958e8,jm-sec,jm1509,20150106,jm,20150106 00:00:00,1440,740.0,764.0,737.0,752.0,778270700.0,17240.0,14752.0,0.0,769.0,711.0,20211126 21:50:59,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909151,c00e52e2-4ebf-11ec-bfe3-83f3c67958e8,jm-sec,jm1509,20150107,jm,20150107 00:00:00,1440,752.0,753.0,745.0,748.0,298392200.0,6638.0,14436.0,0.0,782.0,722.0,20211126 21:50:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909152,b2a2a882-4ebf-11ec-bfe3-83f3c67958e8,jm-sec,jm1509,20150108,jm,20150108 00:00:00,1440,749.0,758.0,747.0,753.0,407071700.0,9026.0,16392.0,0.0,778.0,720.0,20211126 21:49:38,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578220,9abedf7d-4ebf-11ec-bfe2-83f3c67958e8,jm-sec,jm1509,20150109,jm,20150109 00:00:00,1440,751.0,753.0,747.0,750.0,227631300.0,5058.0,15960.0,0.0,781.0,721.0,20211126 21:48:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909153,808658b3-4ebf-11ec-bfe2-83f3c67958e8,jm-sec,jm1509,20150112,jm,20150112 00:00:00,1440,749.0,753.0,740.0,741.0,287026800.0,6434.0,16050.0,0.0,780.0,720.0,20211126 21:48:14,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909154,6815f8b3-4ebf-11ec-bfe2-83f3c67958e8,jm-sec,jm1509,20150113,jm,20150113 00:00:00,1440,740.0,743.0,735.0,740.0,136179900.0,3068.0,16222.0,0.0,772.0,714.0,20211126 21:47:33,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609685,5237c500-4ebf-11ec-bfe2-83f3c67958e8,jm-sec,jm1509,20150114,jm,20150114 00:00:00,1440,739.0,744.0,733.0,735.0,310244700.0,7002.0,16554.0,0.0,768.0,710.0,20211126 21:46:57,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578221,43d95faf-4ebf-11ec-bfe2-83f3c67958e8,jm-sec,jm1509,20150115,jm,20150115 00:00:00,1440,735.0,738.0,731.0,735.0,443493400.0,10058.0,18576.0,0.0,767.0,709.0,20211126 21:46:32,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909155,2d019caa-4ebf-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150116,jm,20150116 00:00:00,1440,736.0,739.0,731.0,731.0,235829700.0,5350.0,18552.0,0.0,763.0,705.0,20211126 21:45:54,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609686,1ce9f8e2-4ebf-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150119,jm,20150119 00:00:00,1440,732.0,744.0,728.0,738.0,541693000.0,12252.0,18300.0,0.0,763.0,705.0,20211126 21:45:27,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578222,10ea8325-4ebf-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150120,jm,20150120 00:00:00,1440,737.0,738.0,731.0,732.0,258433500.0,5872.0,18170.0,0.0,765.0,707.0,20211126 21:45:07,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578223,f30bb5f4-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150121,jm,20150121 00:00:00,1440,733.0,737.0,731.0,735.0,288726200.0,6542.0,16288.0,0.0,762.0,704.0,20211126 21:44:17,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609687,e301274f-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150122,jm,20150122 00:00:00,1440,730.0,738.0,730.0,733.0,160067700.0,3632.0,16136.0,0.0,764.0,706.0,20211126 21:43:50,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609688,cefb5cf9-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150123,jm,20150123 00:00:00,1440,733.0,740.0,731.0,736.0,295906000.0,6704.0,14786.0,0.0,763.0,705.0,20211126 21:43:16,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609689,b662866c-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150126,jm,20150126 00:00:00,1440,734.0,736.0,728.0,729.0,289436400.0,6600.0,15296.0,0.0,764.0,706.0,20211126 21:42:35,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909156,a9d0b2f1-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150127,jm,20150127 00:00:00,1440,729.0,738.0,729.0,735.0,162882200.0,3696.0,15546.0,0.0,759.0,701.0,20211126 21:42:14,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578224,8cba037e-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150128,jm,20150128 00:00:00,1440,733.0,736.0,732.0,736.0,145136000.0,3294.0,16406.0,0.0,763.0,705.0,20211126 21:41:25,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578225,7dbe5114-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150129,jm,20150129 00:00:00,1440,738.0,741.0,732.0,737.0,277562100.0,6284.0,16236.0,0.0,763.0,705.0,20211126 21:41:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578226,6a4e944c-4ebe-11ec-bfe1-83f3c67958e8,jm-sec,jm1509,20150130,jm,20150130 00:00:00,1440,735.0,737.0,734.0,737.0,47542500.0,1076.0,16282.0,0.0,765.0,707.0,20211126 21:40:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909157,be4b22b2-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150202,jm,20150202 00:00:00,1440,737.0,745.0,736.0,744.0,121358200.0,2732.0,16258.0,0.0,765.0,707.0,20211126 19:55:26,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609690,b08db638-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150203,jm,20150203 00:00:00,1440,743.0,748.0,742.0,747.0,155266100.0,3474.0,16010.0,0.0,769.0,711.0,20211126 19:55:03,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578227,a289b93a-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150204,jm,20150204 00:00:00,1440,747.0,753.0,743.0,745.0,233492800.0,5204.0,16324.0,0.0,773.0,715.0,20211126 19:54:39,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909158,94907b1c-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150205,jm,20150205 00:00:00,1440,747.0,749.0,741.0,742.0,129098200.0,2888.0,16258.0,0.0,776.0,718.0,20211126 19:54:16,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
909159,87502a17-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150206,jm,20150206 00:00:00,1440,743.0,749.0,741.0,749.0,141844600.0,3172.0,16232.0,0.0,774.0,716.0,20211126 19:53:54,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578228,79d88b41-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150209,jm,20150209 00:00:00,1440,749.0,754.0,741.0,741.0,137029500.0,3064.0,16170.0,0.0,774.0,716.0,20211126 19:53:31,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578229,6c18109b-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150210,jm,20150210 00:00:00,1440,741.0,744.0,740.0,743.0,142988800.0,3210.0,17264.0,0.0,774.0,716.0,20211126 19:53:08,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1578230,5ddb5dba-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150211,jm,20150211 00:00:00,1440,742.0,743.0,741.0,743.0,43452200.0,976.0,17146.0,0.0,771.0,713.0,20211126 19:52:44,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
1609691,5006de9a-4eaf-11ec-bfdc-83f3c67958e8,jm-sec,jm1509,20150212,jm,20150212 00:00:00,1440,743.0,743.0,740.0,740.0,98349600.0,2212.0,16746.0,0.0,771.0,713.0,20211126 19:52:21,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,JM-SEC
