,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
910983,e33e4a10-4ebf-11ec-bfe3-83f3c67958e8,l-sec,l1509,20150106,l,20150106 00:00:00,1440,8000.0,8175.0,7950.0,8145.0,4867109700.0,120874.0,166508.0,0.0,8425.0,7785.0,20211126 21:51:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
910984,c07fe37b-4ebf-11ec-bfe3-83f3c67958e8,l-sec,l1509,20150107,l,20150107 00:00:00,1440,8090.0,8130.0,7985.0,8045.0,4913131600.0,122030.0,189910.0,0.0,8370.0,7730.0,20211126 21:50:02,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
910985,b33684d2-4ebf-11ec-bfe3-83f3c67958e8,l-sec,l1509,20150108,l,20150108 00:00:00,1440,8060.0,8110.0,7990.0,7995.0,4313429100.0,107244.0,186786.0,0.0,8370.0,7730.0,20211126 21:49:39,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633254,9b24f75e-4ebf-11ec-bfe3-83f3c67958e8,l-sec,l1509,20150109,l,20150109 00:00:00,1440,8015.0,8035.0,7850.0,7905.0,8361504500.0,210676.0,169332.0,0.0,8360.0,7720.0,20211126 21:48:59,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633255,80ff51c1-4ebf-11ec-bfe2-83f3c67958e8,l-sec,l1509,20150112,l,20150112 00:00:00,1440,7880.0,7905.0,7750.0,7830.0,6084250700.0,155528.0,181590.0,0.0,8250.0,7620.0,20211126 21:48:15,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633256,685baf8b-4ebf-11ec-bfe2-83f3c67958e8,l-sec,l1509,20150113,l,20150113 00:00:00,1440,7740.0,7810.0,7735.0,7765.0,4198843900.0,108010.0,188926.0,0.0,8130.0,7510.0,20211126 21:47:34,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
910986,52f06e76-4ebf-11ec-bfe2-83f3c67958e8,l-sec,l1509,20150114,l,20150114 00:00:00,1440,7820.0,7870.0,7765.0,7840.0,5264162000.0,134558.0,182698.0,0.0,8080.0,7460.0,20211126 21:46:57,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633257,4457ee7a-4ebf-11ec-bfe2-83f3c67958e8,l-sec,l1509,20150115,l,20150115 00:00:00,1440,7920.0,8035.0,7855.0,8030.0,5880552500.0,147620.0,164302.0,0.0,8130.0,7510.0,20211126 21:46:33,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633258,2d5fc589-4ebf-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150116,l,20150116 00:00:00,1440,7970.0,8060.0,7945.0,8030.0,4293352700.0,107328.0,161234.0,0.0,8280.0,7650.0,20211126 21:45:55,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633259,1d56075a-4ebf-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150119,l,20150119 00:00:00,1440,8055.0,8190.0,8045.0,8165.0,4735268800.0,116780.0,171884.0,0.0,8320.0,7680.0,20211126 21:45:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
910987,1150ed76-4ebf-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150120,l,20150120 00:00:00,1440,8125.0,8140.0,8025.0,8085.0,3983264800.0,98614.0,176952.0,0.0,8425.0,7785.0,20211126 21:45:08,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633260,f373f1a2-4ebe-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150121,l,20150121 00:00:00,1440,8040.0,8220.0,8040.0,8175.0,4177667000.0,102518.0,183452.0,0.0,8395.0,7755.0,20211126 21:44:18,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
1633261,e37191a0-4ebe-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150122,l,20150122 00:00:00,1440,8240.0,8260.0,8120.0,8145.0,3808279900.0,92960.0,194788.0,0.0,8475.0,7825.0,20211126 21:43:51,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
910988,cf60eeb4-4ebe-11ec-bfe1-83f3c67958e8,l-sec,l1509,20150123,l,20150123 00:00:00,1440,8100.0,8145.0,8065.0,8105.0,3154243300.0,77838.0,199190.0,0.0,8515.0,7865.0,20211126 21:43:17,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,L-SEC
