,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1661215,e3e763c4-4ebf-11ec-bfe3-83f3c67958e8,m-sec,m1509,20150106,m,20150106 00:00:00,1440,2810.0,2856.0,2803.0,2838.0,13370528100.0,471830.0,1182780.0,0.0,2920.0,2696.0,20211126 21:51:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
1661216,c1347930-4ebf-11ec-bfe3-83f3c67958e8,m-sec,m1509,20150107,m,20150107 00:00:00,1440,2850.0,2863.0,2835.0,2842.0,7780048000.0,273078.0,1177402.0,0.0,2946.0,2720.0,20211126 21:50:03,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
1661217,b3bcb22b-4ebf-11ec-bfe3-83f3c67958e8,m-sec,m1509,20150108,m,20150108 00:00:00,1440,2846.0,2860.0,2838.0,2852.0,8646322200.0,303602.0,1160196.0,0.0,2962.0,2736.0,20211126 21:49:40,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942001,9c5a0eff-4ebf-11ec-bfe3-83f3c67958e8,m-sec,m1509,20150109,m,20150109 00:00:00,1440,2852.0,2860.0,2812.0,2821.0,8842183900.0,312352.0,1190044.0,0.0,2960.0,2734.0,20211126 21:49:02,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942002,81643f4b-4ebf-11ec-bfe2-83f3c67958e8,m-sec,m1509,20150112,m,20150112 00:00:00,1440,2826.0,2839.0,2814.0,2824.0,5992865200.0,211964.0,1194400.0,0.0,2943.0,2717.0,20211126 21:48:16,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942003,6922bfc8-4ebf-11ec-bfe2-83f3c67958e8,m-sec,m1509,20150113,m,20150113 00:00:00,1440,2812.0,2833.0,2762.0,2778.0,13028848200.0,467774.0,1257168.0,0.0,2940.0,2714.0,20211126 21:47:35,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942004,53597498-4ebf-11ec-bfe2-83f3c67958e8,m-sec,m1509,20150114,m,20150114 00:00:00,1440,2785.0,2785.0,2712.0,2715.0,17451798000.0,636438.0,1292092.0,0.0,2896.0,2674.0,20211126 21:46:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
1661218,44f26782-4ebf-11ec-bfe2-83f3c67958e8,m-sec,m1509,20150115,m,20150115 00:00:00,1440,2705.0,2747.0,2698.0,2739.0,12144683300.0,445390.0,1254252.0,0.0,2851.0,2633.0,20211126 21:46:34,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942005,2e237850-4ebf-11ec-bfe1-83f3c67958e8,m-sec,m1509,20150116,m,20150116 00:00:00,1440,2740.0,2758.0,2690.0,2708.0,17856169200.0,658050.0,1293596.0,0.0,2835.0,2617.0,20211126 21:45:56,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
942006,1dd15b7e-4ebf-11ec-bfe1-83f3c67958e8,m-sec,m1509,20150119,m,20150119 00:00:00,1440,2709.0,2734.0,2624.0,2683.0,29154634000.0,1084734.0,1231092.0,0.0,2821.0,2605.0,20211126 21:45:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
1683145,11e97c39-4ebf-11ec-bfe1-83f3c67958e8,m-sec,m1509,20150120,m,20150120 00:00:00,1440,2685.0,2685.0,2652.0,2675.0,15024212400.0,563436.0,1246458.0,0.0,2794.0,2580.0,20211126 21:45:08,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,M-SEC
