,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1186885,e4232e29-4ebf-11ec-bfe3-83f3c67958e8,MA-sec,MA509,20150106,MA,20150106 00:00:00,1440,2063.0,2113.0,2062.0,2093.0,1189021600.0,57012.0,80736.0,0.0,2181.0,2013.0,20211126 21:51:01,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176565,c162c4ae-4ebf-11ec-bfe3-83f3c67958e8,MA-sec,MA509,20150107,MA,20150107 00:00:00,1440,2081.0,2124.0,2077.0,2096.0,869603500.0,41428.0,83330.0,0.0,2170.0,2002.0,20211126 21:50:03,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176566,b41b3848-4ebf-11ec-bfe3-83f3c67958e8,MA-sec,MA509,20150108,MA,20150108 00:00:00,1440,2112.0,2118.0,2095.0,2103.0,537224500.0,25488.0,82120.0,0.0,2183.0,2015.0,20211126 21:49:41,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159753,a39db71d-4ebf-11ec-bfe3-83f3c67958e8,MA-sec,MA509,20150109,MA,20150109 00:00:00,1440,2107.0,2108.0,2081.0,2087.0,668155000.0,31860.0,81024.0,0.0,2193.0,2023.0,20211126 21:49:14,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176567,81b845f6-4ebf-11ec-bfe2-83f3c67958e8,MA-sec,MA509,20150112,MA,20150112 00:00:00,1440,2078.0,2094.0,2018.0,2021.0,1554979700.0,76154.0,87512.0,0.0,2181.0,2013.0,20211126 21:48:16,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186886,695ae85a-4ebf-11ec-bfe2-83f3c67958e8,MA-sec,MA509,20150113,MA,20150113 00:00:00,1440,2003.0,2022.0,1970.0,1981.0,1177039000.0,59118.0,90642.0,0.0,2124.0,1960.0,20211126 21:47:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159754,539dccb0-4ebf-11ec-bfe2-83f3c67958e8,MA-sec,MA509,20150114,MA,20150114 00:00:00,1440,1979.0,2027.0,1976.0,1992.0,1286562200.0,64364.0,89506.0,0.0,2071.0,1911.0,20211126 21:46:59,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176568,451d9479-4ebf-11ec-bfe2-83f3c67958e8,MA-sec,MA509,20150115,MA,20150115 00:00:00,1440,2001.0,2034.0,1985.0,2030.0,832326800.0,41304.0,89130.0,0.0,2079.0,1919.0,20211126 21:46:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159755,2f4b02d4-4ebf-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150116,MA,20150116 00:00:00,1440,2042.0,2080.0,2003.0,2049.0,1638257400.0,80124.0,87002.0,0.0,2096.0,1934.0,20211126 21:45:58,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159756,1e218047-4ebf-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150119,MA,20150119 00:00:00,1440,2049.0,2093.0,2045.0,2092.0,1570831100.0,75752.0,84126.0,0.0,2127.0,1963.0,20211126 21:45:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186887,12162a11-4ebf-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150120,MA,20150120 00:00:00,1440,2089.0,2096.0,2066.0,2085.0,901975500.0,43322.0,87572.0,0.0,2157.0,1991.0,20211126 21:45:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186888,f52c4f62-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150121,MA,20150121 00:00:00,1440,2092.0,2150.0,2073.0,2128.0,1185082000.0,56080.0,86874.0,0.0,2166.0,1998.0,20211126 21:44:21,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186889,e4465dd5-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150122,MA,20150122 00:00:00,1440,2121.0,2165.0,2114.0,2131.0,1163166000.0,54412.0,85744.0,0.0,2198.0,2028.0,20211126 21:43:52,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186890,d84a2861-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150123,MA,20150123 00:00:00,1440,2141.0,2154.0,2109.0,2133.0,831931400.0,39084.0,84758.0,0.0,2224.0,2052.0,20211126 21:43:32,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186891,b859711d-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150126,MA,20150126 00:00:00,1440,2121.0,2135.0,2081.0,2096.0,878485200.0,41716.0,81332.0,0.0,2215.0,2043.0,20211126 21:42:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176569,ab12f5f6-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150127,MA,20150127 00:00:00,1440,2109.0,2122.0,2098.0,2109.0,595098100.0,28208.0,82662.0,0.0,2191.0,2021.0,20211126 21:42:16,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176570,8f57bf72-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150128,MA,20150128 00:00:00,1440,2108.0,2159.0,2105.0,2152.0,1056350800.0,49458.0,85170.0,0.0,2195.0,2025.0,20211126 21:41:30,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159757,8042d175-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150129,MA,20150129 00:00:00,1440,2151.0,2155.0,2126.0,2138.0,633497700.0,29632.0,82844.0,0.0,2222.0,2050.0,20211126 21:41:04,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176571,6e943c4e-4ebe-11ec-bfe1-83f3c67958e8,MA-sec,MA509,20150130,MA,20150130 00:00:00,1440,2136.0,2140.0,2104.0,2113.0,480666400.0,22704.0,82538.0,0.0,2224.0,2052.0,20211126 21:40:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176572,bfa89e6d-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150202,MA,20150202 00:00:00,1440,2119.0,2172.0,2092.0,2150.0,1424144800.0,66770.0,80966.0,0.0,2202.0,2032.0,20211126 19:55:28,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186892,b1f5b3c4-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150203,MA,20150203 00:00:00,1440,2163.0,2216.0,2152.0,2205.0,1871996700.0,85764.0,84602.0,0.0,2219.0,2047.0,20211126 19:55:05,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186893,a3f82283-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150204,MA,20150204 00:00:00,1440,2220.0,2258.0,2200.0,2211.0,1577332700.0,70890.0,83764.0,0.0,2271.0,2095.0,20211126 19:54:42,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186894,95f350e2-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150205,MA,20150205 00:00:00,1440,2212.0,2225.0,2191.0,2209.0,1053663500.0,47682.0,79384.0,0.0,2314.0,2136.0,20211126 19:54:18,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159758,88def66a-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150206,MA,20150206 00:00:00,1440,2219.0,2254.0,2218.0,2252.0,1166094500.0,52066.0,81336.0,0.0,2299.0,2121.0,20211126 19:53:56,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176573,7b8eb09c-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150209,MA,20150209 00:00:00,1440,2246.0,2250.0,2220.0,2228.0,726510200.0,32534.0,82438.0,0.0,2330.0,2150.0,20211126 19:53:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186895,6d9201b2-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150210,MA,20150210 00:00:00,1440,2233.0,2244.0,2206.0,2210.0,891216000.0,40118.0,75336.0,0.0,2323.0,2143.0,20211126 19:53:10,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1186896,5f78f6b6-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150211,MA,20150211 00:00:00,1440,2204.0,2220.0,2196.0,2212.0,613727900.0,27812.0,67076.0,0.0,2310.0,2132.0,20211126 19:52:47,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
1176574,517da219-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150212,MA,20150212 00:00:00,1440,2205.0,2237.0,2201.0,2235.0,709426200.0,32024.0,59648.0,0.0,2296.0,2118.0,20211126 19:52:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
159759,4383395c-4eaf-11ec-bfdc-83f3c67958e8,MA-sec,MA509,20150213,MA,20150213 00:00:00,1440,2240.0,2304.0,2234.0,2304.0,1216608600.0,53604.0,56592.0,0.0,2304.0,2126.0,20211126 19:52:00,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,MA-SEC
