,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
958799,5af2f3ea-4e19-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150330,ni,20150330 00:00:00,1440,99200.0,105990.0,97010.0,98520.0,78311660.0,796.0,952.0,0.0,106330.0,96200.0,20211126 01:58:55,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1706207,4ee9c444-4e19-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150331,ni,20150331 00:00:00,1440,97170.0,98110.0,94100.0,94900.0,197532440.0,2070.0,2190.0,0.0,103290.0,93460.0,20211126 01:58:34,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1686354,63e378a0-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150401,ni,20150401 00:00:00,1440,93840.0,94090.0,91600.0,92700.0,116702860.0,1256.0,2406.0,0.0,100190.0,90640.0,20211126 00:33:16,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1706208,551edf5f-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150402,ni,20150402 00:00:00,1440,93090.0,96150.0,92500.0,96000.0,137192180.0,1456.0,2008.0,0.0,97550.0,88260.0,20211126 00:32:51,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1706209,471233d6-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150403,ni,20150403 00:00:00,1440,95550.0,97800.0,95500.0,96900.0,30654460.0,318.0,2072.0,0.0,98930.0,89500.0,20211126 00:32:27,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
958800,393640e4-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150407,ni,20150407 00:00:00,1440,97220.0,97580.0,95500.0,96070.0,117870080.0,1222.0,2716.0,0.0,101200.0,91570.0,20211126 00:32:04,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
958801,2beda9d1-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1508,20150408,ni,20150408 00:00:00,1440,94410.0,95150.0,93100.0,93550.0,152554060.0,1618.0,3076.0,0.0,101270.0,91620.0,20211126 00:31:42,0,0.0,20150817.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1706210,1e3a41b7-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1509,20150409,ni,20150409 00:00:00,1440,94060.0,94760.0,93400.0,93700.0,172860360.0,1838.0,3808.0,0.0,98700.0,89300.0,20211126 00:31:19,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1706211,106d2fe6-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1509,20150410,ni,20150410 00:00:00,1440,93960.0,94480.0,92900.0,94140.0,101139920.0,1078.0,4020.0,0.0,98740.0,89330.0,20211126 00:30:55,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
1686355,022364d2-4e0d-11ec-bfdc-83f3c67958e8,ni-sec,ni1509,20150413,ni,20150413 00:00:00,1440,94500.0,94900.0,93300.0,94560.0,311698460.0,3312.0,4370.0,0.0,98510.0,89120.0,20211126 00:30:31,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,NI-SEC
