,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
203831,e44d6cc9-4ebf-11ec-bfe3-83f3c67958e8,OI-sec,OI509,20150106,OI,20150106 00:00:00,1440,6154.0,6158.0,6108.0,6134.0,199486700.0,3254.0,25542.0,0.0,6314.0,5826.0,20211126 21:51:02,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1233558,c8c330c7-4ebf-11ec-bfe3-83f3c67958e8,OI-sec,OI509,20150107,OI,20150107 00:00:00,1440,6120.0,6146.0,6082.0,6112.0,223842100.0,3662.0,26360.0,0.0,6378.0,5886.0,20211126 21:50:16,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203832,b443a8b9-4ebf-11ec-bfe3-83f3c67958e8,OI-sec,OI509,20150108,OI,20150108 00:00:00,1440,6136.0,6246.0,6130.0,6194.0,742481600.0,11976.0,29274.0,0.0,6360.0,5868.0,20211126 21:49:41,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203833,a691066e-4ebf-11ec-bfe3-83f3c67958e8,OI-sec,OI509,20150109,OI,20150109 00:00:00,1440,6230.0,6230.0,6148.0,6172.0,394919200.0,6384.0,30296.0,0.0,6448.0,5952.0,20211126 21:49:18,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203834,81e9f1ac-4ebf-11ec-bfe2-83f3c67958e8,OI-sec,OI509,20150112,OI,20150112 00:00:00,1440,6174.0,6220.0,6160.0,6174.0,298539600.0,4826.0,31246.0,0.0,6434.0,5938.0,20211126 21:48:17,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1233559,6e6812a8-4ebf-11ec-bfe2-83f3c67958e8,OI-sec,OI509,20150113,OI,20150113 00:00:00,1440,6092.0,6118.0,6076.0,6090.0,685930100.0,11250.0,33680.0,0.0,6434.0,5938.0,20211126 21:47:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1253285,53da52f4-4ebf-11ec-bfe2-83f3c67958e8,OI-sec,OI509,20150114,OI,20150114 00:00:00,1440,6098.0,6112.0,6040.0,6080.0,750893900.0,12384.0,36322.0,0.0,6342.0,5854.0,20211126 21:46:59,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1253286,4547e1e7-4ebf-11ec-bfe2-83f3c67958e8,OI-sec,OI509,20150115,OI,20150115 00:00:00,1440,6090.0,6098.0,6026.0,6042.0,760464400.0,12548.0,39330.0,0.0,6308.0,5820.0,20211126 21:46:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1253287,2f70da7c-4ebf-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150116,OI,20150116 00:00:00,1440,6024.0,6044.0,5984.0,6032.0,771753500.0,12828.0,41152.0,0.0,6304.0,5816.0,20211126 21:45:58,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1233560,1e468f7f-4ebf-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150119,OI,20150119 00:00:00,1440,6046.0,6128.0,5960.0,6056.0,1860576900.0,30634.0,38186.0,0.0,6258.0,5774.0,20211126 21:45:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203835,1277b429-4ebf-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150120,OI,20150120 00:00:00,1440,6022.0,6058.0,6008.0,6050.0,719687800.0,11938.0,40128.0,0.0,6318.0,5830.0,20211126 21:45:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203836,fe529cf3-4ebe-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150121,OI,20150121 00:00:00,1440,6046.0,6086.0,6010.0,6066.0,634722900.0,10490.0,38772.0,0.0,6272.0,5788.0,20211126 21:44:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1253288,e4b7c388-4ebe-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150122,OI,20150122 00:00:00,1440,6054.0,6082.0,6030.0,6038.0,455478400.0,7520.0,39456.0,0.0,6296.0,5808.0,20211126 21:43:53,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
203837,d887ba46-4ebe-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150123,OI,20150123 00:00:00,1440,6016.0,6032.0,6006.0,6020.0,1301446200.0,21640.0,38412.0,0.0,6302.0,5814.0,20211126 21:43:32,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
1233561,b8b727fa-4ebe-11ec-bfe1-83f3c67958e8,OI-sec,OI509,20150126,OI,20150126 00:00:00,1440,5996.0,6008.0,5966.0,5982.0,460880900.0,7700.0,39410.0,0.0,6256.0,5772.0,20211126 21:42:40,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,OI-SEC
