,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
960497,e4c31791-4ebf-11ec-bfe3-83f3c67958e8,p-sec,p1509,20150106,p,20150106 00:00:00,1440,5050.0,5112.0,5050.0,5096.0,2303947900.0,45314.0,74486.0,0.0,5292.0,4888.0,20211126 21:51:02,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1736295,cab6ba99-4ebf-11ec-bfe3-83f3c67958e8,p-sec,p1509,20150107,p,20150107 00:00:00,1440,5092.0,5124.0,4982.0,5084.0,2188938800.0,43046.0,73650.0,0.0,5286.0,4882.0,20211126 21:50:18,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708717,b4bfe487-4ebf-11ec-bfe3-83f3c67958e8,p-sec,p1509,20150108,p,20150108 00:00:00,1440,5100.0,5148.0,5094.0,5118.0,2022957000.0,39498.0,74628.0,0.0,5286.0,4882.0,20211126 21:49:42,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960498,a741706e-4ebf-11ec-bfe3-83f3c67958e8,p-sec,p1509,20150109,p,20150109 00:00:00,1440,5140.0,5160.0,5104.0,5118.0,2021844600.0,39382.0,74680.0,0.0,5324.0,4916.0,20211126 21:49:19,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708718,824c72d9-4ebf-11ec-bfe2-83f3c67958e8,p-sec,p1509,20150112,p,20150112 00:00:00,1440,5112.0,5136.0,5108.0,5116.0,1132880400.0,22122.0,75762.0,0.0,5336.0,4928.0,20211126 21:48:17,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960499,6f892169-4ebf-11ec-bfe2-83f3c67958e8,p-sec,p1509,20150113,p,20150113 00:00:00,1440,5110.0,5114.0,5030.0,5040.0,1366245200.0,26988.0,74068.0,0.0,5324.0,4916.0,20211126 21:47:45,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960500,5473b93f-4ebf-11ec-bfe2-83f3c67958e8,p-sec,p1509,20150114,p,20150114 00:00:00,1440,5030.0,5062.0,4984.0,4988.0,2050367600.0,40828.0,73090.0,0.0,5264.0,4860.0,20211126 21:47:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960501,45b581fa-4ebf-11ec-bfe2-83f3c67958e8,p-sec,p1509,20150115,p,20150115 00:00:00,1440,5000.0,5028.0,4958.0,5012.0,2193458000.0,43912.0,84112.0,0.0,5220.0,4820.0,20211126 21:46:35,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960502,2fb74db9-4ebf-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150116,p,20150116 00:00:00,1440,5040.0,5058.0,4984.0,5000.0,1558709100.0,31116.0,84846.0,0.0,5192.0,4796.0,20211126 21:45:59,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708719,1ead66db-4ebf-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150119,p,20150119 00:00:00,1440,5000.0,5038.0,4828.0,4958.0,3799480600.0,76402.0,80126.0,0.0,5208.0,4808.0,20211126 21:45:30,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1736296,12ad69cc-4ebf-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150120,p,20150120 00:00:00,1440,4942.0,4970.0,4928.0,4946.0,1982534600.0,40092.0,87140.0,0.0,5170.0,4774.0,20211126 21:45:10,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708720,ff135270-4ebe-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150121,p,20150121 00:00:00,1440,4966.0,4984.0,4912.0,4936.0,3170311000.0,64032.0,96960.0,0.0,5140.0,4748.0,20211126 21:44:38,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708721,e4f2ae2b-4ebe-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150122,p,20150122 00:00:00,1440,4906.0,4942.0,4904.0,4914.0,2614651500.0,53086.0,104146.0,0.0,5148.0,4752.0,20211126 21:43:53,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708722,d8e4b57a-4ebe-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150123,p,20150123 00:00:00,1440,4920.0,4930.0,4840.0,4846.0,4615318800.0,94830.0,129394.0,0.0,5120.0,4728.0,20211126 21:43:33,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
960503,b9941fdb-4ebe-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150126,p,20150126 00:00:00,1440,4850.0,4858.0,4804.0,4810.0,2594706000.0,53676.0,136864.0,0.0,5060.0,4672.0,20211126 21:42:40,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
1708723,abade128-4ebe-11ec-bfe1-83f3c67958e8,p-sec,p1509,20150127,p,20150127 00:00:00,1440,4816.0,4822.0,4750.0,4760.0,5942585900.0,124022.0,174890.0,0.0,5026.0,4642.0,20211126 21:42:17,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,P-SEC
