,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1779731,e5b1eccc-4ebf-11ec-bfe3-83f3c67958e8,pp-sec,pp1509,20150106,pp,20150106 00:00:00,1440,7151.0,7253.0,7079.0,7199.0,3580359500.0,99942.0,107490.0,0.0,7636.0,7050.0,20211126 21:51:04,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802098,ce57499a-4ebf-11ec-bfe3-83f3c67958e8,pp-sec,pp1509,20150107,pp,20150107 00:00:00,1440,7158.0,7210.0,7086.0,7129.0,2642141800.0,73978.0,119250.0,0.0,7450.0,6878.0,20211126 21:50:25,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779732,b57515b3-4ebf-11ec-bfe3-83f3c67958e8,pp-sec,pp1509,20150108,pp,20150108 00:00:00,1440,7161.0,7210.0,7132.0,7133.0,2173829500.0,60568.0,121068.0,0.0,7428.0,6858.0,20211126 21:49:43,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802099,a8a4d21e-4ebf-11ec-bfe3-83f3c67958e8,pp-sec,pp1509,20150109,pp,20150109 00:00:00,1440,7160.0,7162.0,6895.0,6926.0,5075350700.0,145418.0,145530.0,0.0,7465.0,6891.0,20211126 21:49:21,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
986695,831fae81-4ebf-11ec-bfe2-83f3c67958e8,pp-sec,pp1509,20150112,pp,20150112 00:00:00,1440,6911.0,6996.0,6880.0,6987.0,2950538200.0,84960.0,149244.0,0.0,7259.0,6701.0,20211126 21:48:19,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779733,731652b2-4ebf-11ec-bfe2-83f3c67958e8,pp-sec,pp1509,20150113,pp,20150113 00:00:00,1440,6949.0,6998.0,6907.0,6925.0,2486755600.0,71694.0,148492.0,0.0,7222.0,6668.0,20211126 21:47:52,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779734,5530b296-4ebf-11ec-bfe2-83f3c67958e8,pp-sec,pp1509,20150114,pp,20150114 00:00:00,1440,6961.0,7017.0,6871.0,6888.0,3660769800.0,105918.0,167206.0,0.0,7214.0,6660.0,20211126 21:47:01,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802100,465e8a4a-4ebf-11ec-bfe2-83f3c67958e8,pp-sec,pp1509,20150115,pp,20150115 00:00:00,1440,6975.0,7026.0,6933.0,6996.0,3850116200.0,110348.0,173134.0,0.0,7188.0,6636.0,20211126 21:46:37,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802101,309d8f97-4ebf-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150116,pp,20150116 00:00:00,1440,6943.0,6969.0,6890.0,6957.0,2899783400.0,83650.0,178934.0,0.0,7257.0,6699.0,20211126 21:46:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779735,1f55bdd2-4ebf-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150119,pp,20150119 00:00:00,1440,7050.0,7166.0,7020.0,7148.0,3628621100.0,102376.0,173274.0,0.0,7210.0,6656.0,20211126 21:45:31,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779736,134080d8-4ebf-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150120,pp,20150120 00:00:00,1440,7102.0,7129.0,7008.0,7030.0,2642060700.0,74768.0,184530.0,0.0,7371.0,6805.0,20211126 21:45:11,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779737,01213aa8-4ebf-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150121,pp,20150121 00:00:00,1440,7000.0,7250.0,6990.0,7112.0,2996783600.0,84426.0,189762.0,0.0,7349.0,6785.0,20211126 21:44:40,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802102,e5cfd92e-4ebe-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150122,pp,20150122 00:00:00,1440,7199.0,7199.0,7054.0,7109.0,2985044800.0,83864.0,202642.0,0.0,7382.0,6816.0,20211126 21:43:54,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1779738,d9a83194-4ebe-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150123,pp,20150123 00:00:00,1440,7105.0,7119.0,7064.0,7108.0,1670354400.0,47068.0,199910.0,0.0,7402.0,6834.0,20211126 21:43:34,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
986696,bac02c21-4ebe-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150126,pp,20150126 00:00:00,1440,7030.0,7074.0,6926.0,6960.0,3062788400.0,87946.0,219522.0,0.0,7380.0,6814.0,20211126 21:42:42,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
1802103,ac8cee94-4ebe-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150127,pp,20150127 00:00:00,1440,6981.0,7004.0,6956.0,6990.0,1494340400.0,42814.0,221892.0,0.0,7243.0,6687.0,20211126 21:42:18,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
986697,9241dd82-4ebe-11ec-bfe1-83f3c67958e8,pp-sec,pp1509,20150128,pp,20150128 00:00:00,1440,7005.0,7075.0,6961.0,7075.0,1879383000.0,53560.0,219276.0,0.0,7259.0,6701.0,20211126 21:41:34,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,PP-SEC
