,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1799154,e62ef616-4ebf-11ec-bfe3-83f3c67958e8,rb-sec,rb1510,20150106,rb,20150106 00:00:00,1440,2586.0,2658.0,2582.0,2639.0,10045224560.0,381522.0,412966.0,0.0,2690.0,2483.0,20211126 21:51:04,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829486,ce9316fa-4ebf-11ec-bfe3-83f3c67958e8,rb-sec,rb1510,20150107,rb,20150107 00:00:00,1440,2640.0,2640.0,2596.0,2609.0,6392489680.0,244838.0,426810.0,0.0,2737.0,2526.0,20211126 21:50:25,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799155,b5e756d1-4ebf-11ec-bfe3-83f3c67958e8,rb-sec,rb1510,20150108,rb,20150108 00:00:00,1440,2612.0,2626.0,2590.0,2602.0,4990271080.0,191572.0,431114.0,0.0,2714.0,2505.0,20211126 21:49:43,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799156,a8e561de-4ebf-11ec-bfe3-83f3c67958e8,rb-sec,rb1510,20150109,rb,20150109 00:00:00,1440,2605.0,2610.0,2572.0,2579.0,5865261880.0,226614.0,420142.0,0.0,2708.0,2499.0,20211126 21:49:22,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799157,8375ebef-4ebf-11ec-bfe2-83f3c67958e8,rb-sec,rb1510,20150112,rb,20150112 00:00:00,1440,2579.0,2603.0,2521.0,2521.0,8221110200.0,322214.0,416204.0,0.0,2691.0,2484.0,20211126 21:48:19,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829487,73e55882-4ebf-11ec-bfe2-83f3c67958e8,rb-sec,rb1510,20150113,rb,20150113 00:00:00,1440,2512.0,2529.0,2504.0,2520.0,4609690000.0,182992.0,416720.0,0.0,2653.0,2448.0,20211126 21:47:53,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799158,5572bedf-4ebf-11ec-bfe2-83f3c67958e8,rb-sec,rb1510,20150114,rb,20150114 00:00:00,1440,2514.0,2532.0,2472.0,2506.0,7491703440.0,299684.0,415966.0,0.0,2619.0,2418.0,20211126 21:47:02,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799159,46d7bbb5-4ebf-11ec-bfe2-83f3c67958e8,rb-sec,rb1510,20150115,rb,20150115 00:00:00,1440,2506.0,2534.0,2491.0,2531.0,6186570620.0,246296.0,435844.0,0.0,2598.0,2399.0,20211126 21:46:37,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799160,30c64cee-4ebf-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150116,rb,20150116 00:00:00,1440,2535.0,2541.0,2513.0,2528.0,4775448680.0,189006.0,439356.0,0.0,2611.0,2410.0,20211126 21:46:00,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799161,1f98b593-4ebf-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150119,rb,20150119 00:00:00,1440,2519.0,2538.0,2494.0,2528.0,8616239580.0,341826.0,447466.0,0.0,2627.0,2424.0,20211126 21:45:31,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799162,13b09578-4ebf-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150120,rb,20150120 00:00:00,1440,2525.0,2534.0,2503.0,2504.0,5042926060.0,200508.0,460264.0,0.0,2620.0,2419.0,20211126 21:45:11,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799163,01693a54-4ebf-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150121,rb,20150121 00:00:00,1440,2503.0,2524.0,2496.0,2496.0,5653229280.0,225174.0,471244.0,0.0,2615.0,2414.0,20211126 21:44:41,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010907,e5fc3fd7-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150122,rb,20150122 00:00:00,1440,2493.0,2510.0,2487.0,2502.0,4718800920.0,188644.0,472922.0,0.0,2610.0,2409.0,20211126 21:43:55,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010908,d9d2c704-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150123,rb,20150123 00:00:00,1440,2503.0,2517.0,2500.0,2506.0,6581853560.0,262406.0,490984.0,0.0,2601.0,2400.0,20211126 21:43:34,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829488,bb22f74d-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150126,rb,20150126 00:00:00,1440,2500.0,2510.0,2480.0,2485.0,7427563520.0,297910.0,485628.0,0.0,2608.0,2407.0,20211126 21:42:43,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799164,acd91914-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150127,rb,20150127 00:00:00,1440,2485.0,2510.0,2483.0,2495.0,4672776900.0,187090.0,500418.0,0.0,2592.0,2393.0,20211126 21:42:19,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010909,928e5e62-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150128,rb,20150128 00:00:00,1440,2500.0,2509.0,2491.0,2502.0,3968658940.0,158610.0,517100.0,0.0,2596.0,2397.0,20211126 21:41:35,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799165,81d604ea-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150129,rb,20150129 00:00:00,1440,2504.0,2550.0,2502.0,2536.0,8060490360.0,318434.0,555280.0,0.0,2602.0,2401.0,20211126 21:41:07,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829489,718410ec-4ebe-11ec-bfe1-83f3c67958e8,rb-sec,rb1510,20150130,rb,20150130 00:00:00,1440,2538.0,2544.0,2524.0,2525.0,5069511880.0,200216.0,593046.0,0.0,2632.0,2429.0,20211126 21:40:40,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010910,c1ac3a3a-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150202,rb,20150202 00:00:00,1440,2525.0,2545.0,2519.0,2538.0,7629212320.0,301502.0,647554.0,0.0,2633.0,2430.0,20211126 19:55:31,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1799166,b3d76af8-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150203,rb,20150203 00:00:00,1440,2537.0,2554.0,2532.0,2540.0,12050604380.0,474088.0,707214.0,0.0,2631.0,2428.0,20211126 19:55:08,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829490,a647610e-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150204,rb,20150204 00:00:00,1440,2544.0,2577.0,2538.0,2538.0,20378562140.0,797746.0,808856.0,0.0,2642.0,2439.0,20211126 19:54:45,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010911,981a7129-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150205,rb,20150205 00:00:00,1440,2549.0,2565.0,2542.0,2542.0,14282749840.0,559858.0,829098.0,0.0,2656.0,2451.0,20211126 19:54:22,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010912,8a5a787e-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150206,rb,20150206 00:00:00,1440,2542.0,2562.0,2532.0,2556.0,16369059660.0,642274.0,831102.0,0.0,2653.0,2448.0,20211126 19:53:59,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1829491,7d7939c9-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150209,rb,20150209 00:00:00,1440,2557.0,2581.0,2536.0,2546.0,18835926020.0,737512.0,869678.0,0.0,2649.0,2446.0,20211126 19:53:37,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
1010913,6f85cfed-4eaf-11ec-bfdc-83f3c67958e8,rb-sec,rb1510,20150210,rb,20150210 00:00:00,1440,2547.0,2562.0,2544.0,2558.0,8685598940.0,339944.0,853104.0,0.0,2655.0,2450.0,20211126 19:53:13,0,0.0,20151015.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RB-SEC
