,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
254751,e6a268bf-4ebf-11ec-bfe3-83f3c67958e8,RM-sec,RM509,20150106,RM,20150106 00:00:00,1440,2181.0,2221.0,2172.0,2203.0,5559039100.0,252614.0,352260.0,0.0,2270.0,2094.0,20211126 21:51:05,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372106,cf1dcbf0-4ebf-11ec-bfe3-83f3c67958e8,RM-sec,RM509,20150107,RM,20150107 00:00:00,1440,2210.0,2225.0,2197.0,2205.0,5838142800.0,264000.0,353552.0,0.0,2290.0,2112.0,20211126 21:50:26,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254752,b676a384-4ebf-11ec-bfe3-83f3c67958e8,RM-sec,RM509,20150108,RM,20150108 00:00:00,1440,2209.0,2221.0,2201.0,2214.0,4472899000.0,202426.0,345620.0,0.0,2300.0,2122.0,20211126 21:49:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369093,a95b336d-4ebf-11ec-bfe3-83f3c67958e8,RM-sec,RM509,20150109,RM,20150109 00:00:00,1440,2216.0,2221.0,2186.0,2191.0,5362147700.0,243564.0,368598.0,0.0,2299.0,2121.0,20211126 21:49:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254753,842065c0-4ebf-11ec-bfe2-83f3c67958e8,RM-sec,RM509,20150112,RM,20150112 00:00:00,1440,2193.0,2203.0,2185.0,2192.0,3989208500.0,181884.0,373806.0,0.0,2291.0,2113.0,20211126 21:48:20,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369094,746e618a-4ebf-11ec-bfe2-83f3c67958e8,RM-sec,RM509,20150113,RM,20150113 00:00:00,1440,2188.0,2196.0,2131.0,2157.0,6094296900.0,282542.0,439880.0,0.0,2281.0,2105.0,20211126 21:47:54,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372107,56f06e2f-4ebf-11ec-bfe2-83f3c67958e8,RM-sec,RM509,20150114,RM,20150114 00:00:00,1440,2152.0,2160.0,2088.0,2092.0,8959749800.0,422436.0,476842.0,0.0,2244.0,2070.0,20211126 21:47:05,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372108,4768b89b-4ebf-11ec-bfe2-83f3c67958e8,RM-sec,RM509,20150115,RM,20150115 00:00:00,1440,2088.0,2120.0,2072.0,2113.0,6275085900.0,298916.0,458024.0,0.0,2206.0,2036.0,20211126 21:46:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254754,3144b2ea-4ebf-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150116,RM,20150116 00:00:00,1440,2112.0,2130.0,2069.0,2089.0,8279658300.0,395466.0,491306.0,0.0,2183.0,2015.0,20211126 21:46:01,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254755,20020beb-4ebf-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150119,RM,20150119 00:00:00,1440,2095.0,2118.0,2013.0,2056.0,13902320700.0,672998.0,430378.0,0.0,2178.0,2010.0,20211126 21:45:32,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254756,1441187b-4ebf-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150120,RM,20150120 00:00:00,1440,2063.0,2065.0,2033.0,2055.0,7657733700.0,373578.0,431184.0,0.0,2149.0,1983.0,20211126 21:45:12,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254757,01d3ab05-4ebf-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150121,RM,20150121 00:00:00,1440,2055.0,2106.0,2042.0,2088.0,9730259100.0,468958.0,428994.0,0.0,2132.0,1968.0,20211126 21:44:42,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369095,e68a3815-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150122,RM,20150122 00:00:00,1440,2085.0,2110.0,2081.0,2095.0,6639662200.0,316534.0,436192.0,0.0,2158.0,1992.0,20211126 21:43:56,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369096,da569f4d-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150123,RM,20150123 00:00:00,1440,2108.0,2108.0,2068.0,2080.0,5997921500.0,288084.0,441266.0,0.0,2182.0,2014.0,20211126 21:43:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372109,bb811aa9-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150126,RM,20150126 00:00:00,1440,2071.0,2088.0,2059.0,2080.0,6453720900.0,311180.0,432252.0,0.0,2166.0,1998.0,20211126 21:42:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369097,ad53796f-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150127,RM,20150127 00:00:00,1440,2080.0,2116.0,2073.0,2094.0,7190513000.0,343020.0,432136.0,0.0,2157.0,1991.0,20211126 21:42:20,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372110,97d045fa-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150128,RM,20150128 00:00:00,1440,2097.0,2103.0,2076.0,2086.0,6211347400.0,297444.0,437210.0,0.0,2180.0,2012.0,20211126 21:41:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369098,826516a4-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150129,RM,20150129 00:00:00,1440,2081.0,2085.0,2070.0,2076.0,4870167100.0,234532.0,436464.0,0.0,2172.0,2004.0,20211126 21:41:08,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369099,72c6845b-4ebe-11ec-bfe1-83f3c67958e8,RM-sec,RM509,20150130,RM,20150130 00:00:00,1440,2071.0,2090.0,2071.0,2086.0,4938918400.0,237266.0,426014.0,0.0,2161.0,1993.0,20211126 21:40:42,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372111,c2171c4a-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150202,RM,20150202 00:00:00,1440,2084.0,2085.0,2051.0,2061.0,6775457400.0,328020.0,455686.0,0.0,2166.0,1998.0,20211126 19:55:32,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369100,b48fd60f-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150203,RM,20150203 00:00:00,1440,2068.0,2098.0,2061.0,2091.0,5567018100.0,267608.0,430282.0,0.0,2149.0,1983.0,20211126 19:55:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254758,a6fc1c54-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150204,RM,20150204 00:00:00,1440,2099.0,2147.0,2089.0,2110.0,7326169700.0,345978.0,412764.0,0.0,2164.0,1996.0,20211126 19:54:46,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372112,98c37865-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150205,RM,20150205 00:00:00,1440,2113.0,2123.0,2102.0,2110.0,6378945800.0,302028.0,455564.0,0.0,2203.0,2033.0,20211126 19:54:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254759,8ae3c07c-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150206,RM,20150206 00:00:00,1440,2115.0,2133.0,2112.0,2119.0,6449960500.0,303926.0,467122.0,0.0,2197.0,2027.0,20211126 19:54:00,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372113,7e0cce31-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150209,RM,20150209 00:00:00,1440,2124.0,2133.0,2108.0,2132.0,6313410600.0,297756.0,491066.0,0.0,2207.0,2037.0,20211126 19:53:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372114,701f5cdb-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150210,RM,20150210 00:00:00,1440,2128.0,2150.0,2124.0,2136.0,6332676500.0,296216.0,501028.0,0.0,2205.0,2035.0,20211126 19:53:14,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369101,61e655ed-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150211,RM,20150211 00:00:00,1440,2134.0,2142.0,2115.0,2133.0,6241772600.0,293268.0,518974.0,0.0,2224.0,2052.0,20211126 19:52:51,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369102,54043090-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150212,RM,20150212 00:00:00,1440,2128.0,2138.0,2125.0,2131.0,3211320700.0,150686.0,518480.0,0.0,2214.0,2042.0,20211126 19:52:28,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369103,46014f48-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150213,RM,20150213 00:00:00,1440,2134.0,2169.0,2129.0,2159.0,7766458300.0,361334.0,495926.0,0.0,2217.0,2045.0,20211126 19:52:04,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1372115,37a12caf-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150216,RM,20150216 00:00:00,1440,2154.0,2176.0,2153.0,2162.0,5615135600.0,259482.0,478808.0,0.0,2235.0,2063.0,20211126 19:51:40,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254760,28b0ddb6-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150217,RM,20150217 00:00:00,1440,2162.0,2173.0,2154.0,2173.0,2567295500.0,118602.0,480570.0,0.0,2294.0,2034.0,20211126 19:51:15,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369104,18fe90ae-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150225,RM,20150225 00:00:00,1440,2200.0,2205.0,2181.0,2189.0,3565210200.0,162636.0,486404.0,0.0,2295.0,2035.0,20211126 19:50:49,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369105,0b501bb0-4eaf-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150226,RM,20150226 00:00:00,1440,2187.0,2238.0,2183.0,2230.0,16509499400.0,742760.0,618012.0,0.0,2280.0,2104.0,20211126 19:50:25,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254761,fd01589a-4eae-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150227,RM,20150227 00:00:00,1440,2236.0,2287.0,2230.0,2279.0,25460984400.0,1128084.0,671722.0,0.0,2312.0,2134.0,20211126 19:50:02,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369106,4f4b0af2-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150302,RM,20150302 00:00:00,1440,2279.0,2302.0,2263.0,2295.0,25364614500.0,1109052.0,716954.0,0.0,2348.0,2166.0,20211126 02:05:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254762,41066ce5-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150303,RM,20150303 00:00:00,1440,2295.0,2305.0,2232.0,2245.0,25330527400.0,1117188.0,717064.0,0.0,2379.0,2195.0,20211126 02:05:20,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369107,3367d457-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150304,RM,20150304 00:00:00,1440,2247.0,2260.0,2226.0,2248.0,17949328500.0,799528.0,731552.0,0.0,2358.0,2176.0,20211126 02:04:58,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
254763,2586078a-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150305,RM,20150305 00:00:00,1440,2239.0,2243.0,2202.0,2219.0,19037935900.0,858176.0,729528.0,0.0,2335.0,2155.0,20211126 02:04:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369108,18880ec0-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150306,RM,20150306 00:00:00,1440,2216.0,2238.0,2197.0,2201.0,19285523400.0,869224.0,766284.0,0.0,2307.0,2129.0,20211126 02:04:13,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
1369109,0bb7e0e0-4e1a-11ec-bfdc-83f3c67958e8,RM-sec,RM509,20150309,RM,20150309 00:00:00,1440,2204.0,2245.0,2181.0,2238.0,28971223600.0,1305996.0,829284.0,0.0,2308.0,2130.0,20211126 02:03:51,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,RM-SEC
