,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1027217,e704dc64-4ebf-11ec-bfe3-83f3c67958e8,ru-sec,ru1509,20150106,ru,20150106 00:00:00,1440,12935.0,13350.0,12870.0,13240.0,14892385200.0,112964.0,98282.0,0.0,13780.0,12220.0,20211126 21:51:06,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1850691,d0003822-4ebf-11ec-bfe3-83f3c67958e8,ru-sec,ru1509,20150107,ru,20150107 00:00:00,1440,13120.0,13275.0,12885.0,12915.0,17830045900.0,136746.0,96412.0,0.0,13970.0,12385.0,20211126 21:50:27,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1813063,b6c17353-4ebf-11ec-bfe3-83f3c67958e8,ru-sec,ru1509,20150108,ru,20150108 00:00:00,1440,12905.0,12970.0,12690.0,12845.0,15993718000.0,124588.0,95730.0,0.0,13815.0,12250.0,20211126 21:49:45,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1813064,a9f49450-4ebf-11ec-bfe3-83f3c67958e8,ru-sec,ru1509,20150109,ru,20150109 00:00:00,1440,12900.0,13170.0,12700.0,12960.0,17555668300.0,135928.0,91276.0,0.0,13605.0,12060.0,20211126 21:49:23,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1813065,848b9245-4ebf-11ec-bfe2-83f3c67958e8,ru-sec,ru1509,20150112,ru,20150112 00:00:00,1440,12980.0,13155.0,12910.0,12945.0,15475750100.0,118690.0,95794.0,0.0,13685.0,12140.0,20211126 21:48:21,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1850692,74b2bc3d-4ebf-11ec-bfe2-83f3c67958e8,ru-sec,ru1509,20150113,ru,20150113 00:00:00,1440,12850.0,12900.0,12565.0,12590.0,14578233600.0,114524.0,91498.0,0.0,13815.0,12250.0,20211126 21:47:54,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1813066,57f5a598-4ebf-11ec-bfe2-83f3c67958e8,ru-sec,ru1509,20150114,ru,20150114 00:00:00,1440,12480.0,12600.0,12050.0,12170.0,22272251400.0,180928.0,94064.0,0.0,13485.0,11960.0,20211126 21:47:06,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1027218,48013000-4ebf-11ec-bfe2-83f3c67958e8,ru-sec,ru1509,20150115,ru,20150115 00:00:00,1440,12215.0,12470.0,12155.0,12370.0,14992584100.0,121674.0,95990.0,0.0,13045.0,11570.0,20211126 21:46:39,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1813067,31c266cf-4ebf-11ec-bfe1-83f3c67958e8,ru-sec,ru1509,20150116,ru,20150116 00:00:00,1440,12390.0,12640.0,12255.0,12370.0,18242515100.0,146978.0,94748.0,0.0,13055.0,11580.0,20211126 21:46:02,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
1850693,208e254f-4ebf-11ec-bfe1-83f3c67958e8,ru-sec,ru1509,20150119,ru,20150119 00:00:00,1440,12360.0,12550.0,12305.0,12460.0,17339914000.0,139246.0,96714.0,0.0,13150.0,11665.0,20211126 21:45:33,0,0.0,20150915.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,RU-SEC
