,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1440134,e7837944-4ebf-11ec-bfe3-83f3c67958e8,SF-sec,SF502,20150106,SF,20150106 00:00:00,1440,5822.0,5822.0,5822.0,5822.0,0.0,0.0,0.0,0.0,6056.0,5588.0,20211126 21:51:07,0,0.0,20150213.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
1440135,d0336771-4ebf-11ec-bfe3-83f3c67958e8,SF-sec,SF504,20150107,SF,20150107 00:00:00,1440,5850.0,5850.0,5850.0,5850.0,0.0,0.0,0.0,0.0,6318.0,5382.0,20211126 21:50:28,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
1440136,b7549449-4ebf-11ec-bfe3-83f3c67958e8,SF-sec,SF504,20150108,SF,20150108 00:00:00,1440,5850.0,5850.0,5850.0,5850.0,0.0,0.0,0.0,0.0,6318.0,5382.0,20211126 21:49:46,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
1437991,aa64c70b-4ebf-11ec-bfe3-83f3c67958e8,SF-sec,SF506,20150109,SF,20150109 00:00:00,1440,5380.0,5380.0,5380.0,5380.0,0.0,0.0,0.0,0.0,5800.0,4940.0,20211126 21:49:24,0,0.0,20150612.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
1437992,8502aafa-4ebf-11ec-bfe2-83f3c67958e8,SF-sec,SF507,20150112,SF,20150112 00:00:00,1440,5418.0,5418.0,5418.0,5418.0,0.0,0.0,0.0,0.0,5620.0,5184.0,20211126 21:48:22,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
286961,753b20a2-4ebf-11ec-bfe2-83f3c67958e8,SF-sec,SF507,20150113,SF,20150113 00:00:00,1440,5454.0,5454.0,5454.0,5454.0,0.0,0.0,0.0,0.0,5636.0,5200.0,20211126 21:47:55,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
286962,587221c3-4ebf-11ec-bfe2-83f3c67958e8,SF-sec,SF510,20150114,SF,20150114 00:00:00,1440,5462.0,5462.0,5462.0,5462.0,0.0,0.0,0.0,0.0,5912.0,5036.0,20211126 21:47:07,0,0.0,20151021.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
286963,482984dc-4ebf-11ec-bfe2-83f3c67958e8,SF-sec,SF510,20150115,SF,20150115 00:00:00,1440,5456.0,5456.0,5456.0,5456.0,0.0,0.0,0.0,0.0,5900.0,5024.0,20211126 21:46:40,0,0.0,20151021.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
1440137,32180977-4ebf-11ec-bfe1-83f3c67958e8,SF-sec,SF510,20150116,SF,20150116 00:00:00,1440,5444.0,5444.0,5444.0,5444.0,0.0,0.0,0.0,0.0,5894.0,5018.0,20211126 21:46:03,0,0.0,20151021.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
286964,20f8b453-4ebf-11ec-bfe1-83f3c67958e8,SF-sec,SF510,20150119,SF,20150119 00:00:00,1440,5438.0,5438.0,5438.0,5438.0,0.0,0.0,0.0,0.0,5880.0,5008.0,20211126 21:45:34,0,0.0,20151021.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SF-SEC
