,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1465052,e7ce6a2b-4ebf-11ec-bfe3-83f3c67958e8,SM-sec,SM504,20150106,SM,20150106 00:00:00,1440,6014.0,6014.0,6014.0,6014.0,0.0,0.0,0.0,0.0,6448.0,5492.0,20211126 21:51:08,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1465053,d0d49299-4ebf-11ec-bfe3-83f3c67958e8,SM-sec,SM504,20150107,SM,20150107 00:00:00,1440,6068.0,6068.0,6068.0,6068.0,0.0,0.0,0.0,0.0,6496.0,5532.0,20211126 21:50:29,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
329610,b83fcaf2-4ebf-11ec-bfe3-83f3c67958e8,SM-sec,SM504,20150108,SM,20150108 00:00:00,1440,5874.0,5874.0,5874.0,5874.0,0.0,0.0,0.0,0.0,6554.0,5582.0,20211126 21:49:47,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1462742,aa64ca86-4ebf-11ec-bfe3-83f3c67958e8,SM-sec,SM504,20150109,SM,20150109 00:00:00,1440,5874.0,5874.0,5874.0,5874.0,0.0,0.0,0.0,0.0,6344.0,5404.0,20211126 21:49:25,0,0.0,20150415.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1462743,85568158-4ebf-11ec-bfe2-83f3c67958e8,SM-sec,SM507,20150112,SM,20150112 00:00:00,1440,6202.0,6202.0,6202.0,6202.0,0.0,0.0,0.0,0.0,6470.0,5510.0,20211126 21:48:22,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1465054,7578370a-4ebf-11ec-bfe2-83f3c67958e8,SM-sec,SM507,20150113,SM,20150113 00:00:00,1440,6200.0,6200.0,6200.0,6200.0,0.0,0.0,0.0,0.0,6700.0,5704.0,20211126 21:47:55,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1465055,58a8b791-4ebf-11ec-bfe2-83f3c67958e8,SM-sec,SM507,20150114,SM,20150114 00:00:00,1440,6190.0,6190.0,6190.0,6190.0,0.0,0.0,0.0,0.0,6696.0,5704.0,20211126 21:47:07,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1465056,489ba709-4ebf-11ec-bfe2-83f3c67958e8,SM-sec,SM507,20150115,SM,20150115 00:00:00,1440,6190.0,6190.0,6190.0,6190.0,0.0,0.0,0.0,0.0,6686.0,5694.0,20211126 21:46:40,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1462744,32a5cc2d-4ebf-11ec-bfe1-83f3c67958e8,SM-sec,SM507,20150116,SM,20150116 00:00:00,1440,6186.0,6186.0,6186.0,6186.0,0.0,0.0,0.0,0.0,6686.0,5694.0,20211126 21:46:03,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
1465057,213231ef-4ebf-11ec-bfe1-83f3c67958e8,SM-sec,SM507,20150119,SM,20150119 00:00:00,1440,6084.0,6084.0,6084.0,6084.0,0.0,0.0,0.0,0.0,6682.0,5690.0,20211126 21:45:34,0,0.0,20150714.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SM-SEC
