,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1487593,e865d5ba-4ebf-11ec-bfe3-83f3c67958e8,SR-sec,SR509,20150106,SR,20150106 00:00:00,1440,4651.0,4719.0,4644.0,4693.0,3483214600.0,74212.0,251940.0,0.0,4846.0,4472.0,20211126 21:51:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
369695,d128425c-4ebf-11ec-bfe3-83f3c67958e8,SR-sec,SR509,20150107,SR,20150107 00:00:00,1440,4698.0,4810.0,4695.0,4784.0,8986703800.0,188496.0,271414.0,0.0,4882.0,4506.0,20211126 21:50:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
369696,b86920bf-4ebf-11ec-bfe3-83f3c67958e8,SR-sec,SR509,20150108,SR,20150108 00:00:00,1440,4781.0,4818.0,4779.0,4805.0,10029801900.0,208982.0,304000.0,0.0,4959.0,4577.0,20211126 21:49:48,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
369697,ab112845-4ebf-11ec-bfe3-83f3c67958e8,SR-sec,SR509,20150109,SR,20150109 00:00:00,1440,4800.0,4853.0,4787.0,4814.0,11366563900.0,235648.0,328222.0,0.0,4991.0,4607.0,20211126 21:49:25,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
1487594,86ca0fea-4ebf-11ec-bfe2-83f3c67958e8,SR-sec,SR509,20150112,SR,20150112 00:00:00,1440,4821.0,4898.0,4808.0,4886.0,8504272500.0,174758.0,337732.0,0.0,5017.0,4631.0,20211126 21:48:25,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
1487595,75bea25f-4ebf-11ec-bfe2-83f3c67958e8,SR-sec,SR509,20150113,SR,20150113 00:00:00,1440,4875.0,4885.0,4833.0,4853.0,6364705000.0,131072.0,338932.0,0.0,5061.0,4671.0,20211126 21:47:57,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
369698,5902c2b6-4ebf-11ec-bfe2-83f3c67958e8,SR-sec,SR509,20150114,SR,20150114 00:00:00,1440,4858.0,4888.0,4787.0,4826.0,8920967700.0,184126.0,350418.0,0.0,5051.0,4661.0,20211126 21:47:08,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
369699,48e2cf05-4ebf-11ec-bfe2-83f3c67958e8,SR-sec,SR509,20150115,SR,20150115 00:00:00,1440,4854.0,4862.0,4805.0,4826.0,7212559300.0,149260.0,349636.0,0.0,5039.0,4651.0,20211126 21:46:41,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
1491125,32f9eac5-4ebf-11ec-bfe1-83f3c67958e8,SR-sec,SR509,20150116,SR,20150116 00:00:00,1440,4850.0,4879.0,4825.0,4841.0,8892907000.0,183182.0,344758.0,0.0,5026.0,4638.0,20211126 21:46:04,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
1487596,21a529cb-4ebf-11ec-bfe1-83f3c67958e8,SR-sec,SR509,20150119,SR,20150119 00:00:00,1440,4830.0,4967.0,4822.0,4941.0,18485113900.0,376510.0,368562.0,0.0,5050.0,4660.0,20211126 21:45:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,SR-SEC
