,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1539135,e8ef7a41-4ebf-11ec-bfe3-83f3c67958e8,TA-sec,TA509,20150106,TA,20150106 00:00:00,1440,4772.0,4842.0,4770.0,4818.0,1699223500.0,70758.0,182812.0,0.0,5016.0,4628.0,20211126 21:51:09,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542511,d15d633f-4ebf-11ec-bfe3-83f3c67958e8,TA-sec,TA509,20150107,TA,20150107 00:00:00,1440,4812.0,4842.0,4738.0,4758.0,2642644100.0,110426.0,223926.0,0.0,4998.0,4610.0,20211126 21:50:30,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542512,b8fd1380-4ebf-11ec-bfe3-83f3c67958e8,TA-sec,TA509,20150108,TA,20150108 00:00:00,1440,4788.0,4826.0,4774.0,4790.0,1686940900.0,70374.0,237716.0,0.0,4978.0,4594.0,20211126 21:49:49,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539136,ab4924ab-4ebf-11ec-bfe3-83f3c67958e8,TA-sec,TA509,20150109,TA,20150109 00:00:00,1440,4802.0,4830.0,4732.0,4770.0,2756237600.0,114988.0,246300.0,0.0,4986.0,4602.0,20211126 21:49:26,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539137,882d2fac-4ebf-11ec-bfe2-83f3c67958e8,TA-sec,TA509,20150112,TA,20150112 00:00:00,1440,4762.0,4786.0,4728.0,4732.0,2025795600.0,85306.0,258956.0,0.0,4986.0,4602.0,20211126 21:48:27,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542513,7689ef08-4ebf-11ec-bfe2-83f3c67958e8,TA-sec,TA509,20150113,TA,20150113 00:00:00,1440,4706.0,4716.0,4602.0,4622.0,3282493700.0,141092.0,277018.0,0.0,4940.0,4560.0,20211126 21:47:57,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542514,596de1d8-4ebf-11ec-bfe2-83f3c67958e8,TA-sec,TA509,20150114,TA,20150114 00:00:00,1440,4606.0,4670.0,4596.0,4616.0,2383321500.0,102936.0,276466.0,0.0,4842.0,4466.0,20211126 21:47:08,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409707,495e3226-4ebf-11ec-bfe2-83f3c67958e8,TA-sec,TA509,20150115,TA,20150115 00:00:00,1440,4632.0,4746.0,4600.0,4714.0,3659887300.0,156336.0,277700.0,0.0,4818.0,4446.0,20211126 21:46:42,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539138,33162990-4ebf-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150116,TA,20150116 00:00:00,1440,4730.0,4808.0,4668.0,4702.0,2481261200.0,104844.0,279480.0,0.0,4870.0,4494.0,20211126 21:46:05,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542515,220e92fc-4ebf-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150119,TA,20150119 00:00:00,1440,4708.0,4796.0,4706.0,4788.0,2632323000.0,110626.0,295608.0,0.0,4924.0,4544.0,20211126 21:45:35,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539139,1604d1c0-4ebf-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150120,TA,20150120 00:00:00,1440,4774.0,4794.0,4742.0,4764.0,1635271800.0,68536.0,303164.0,0.0,4952.0,4568.0,20211126 21:45:15,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542516,04539ff8-4ebf-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150121,TA,20150121 00:00:00,1440,4780.0,4858.0,4750.0,4830.0,2437373500.0,101446.0,293386.0,0.0,4964.0,4580.0,20211126 21:44:46,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409708,eb501673-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150122,TA,20150122 00:00:00,1440,4824.0,4920.0,4818.0,4890.0,2503896800.0,102614.0,291914.0,0.0,5000.0,4612.0,20211126 21:44:04,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409709,dc6e8f82-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150123,TA,20150123 00:00:00,1440,4930.0,4948.0,4854.0,4880.0,2227823300.0,91154.0,297900.0,0.0,5076.0,4684.0,20211126 21:43:39,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409710,bf9801e5-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150126,TA,20150126 00:00:00,1440,4864.0,4882.0,4726.0,4754.0,2398709800.0,100168.0,304572.0,0.0,5084.0,4692.0,20211126 21:42:51,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409711,af74f81f-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150127,TA,20150127 00:00:00,1440,4780.0,4800.0,4758.0,4778.0,1736689500.0,72652.0,313186.0,0.0,4982.0,4598.0,20211126 21:42:23,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539140,a2e56fba-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150128,TA,20150128 00:00:00,1440,4762.0,4818.0,4762.0,4798.0,1800886400.0,75222.0,308650.0,0.0,4974.0,4590.0,20211126 21:42:02,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542517,84bb1409-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150129,TA,20150129 00:00:00,1440,4800.0,4800.0,4730.0,4766.0,1728288700.0,72650.0,313880.0,0.0,4980.0,4596.0,20211126 21:41:12,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409712,7589c5b6-4ebe-11ec-bfe1-83f3c67958e8,TA-sec,TA509,20150130,TA,20150130 00:00:00,1440,4766.0,4774.0,4710.0,4720.0,1535300000.0,64754.0,318552.0,0.0,4950.0,4566.0,20211126 21:40:47,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409713,c495f860-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150202,TA,20150202 00:00:00,1440,4682.0,4780.0,4628.0,4708.0,4339306000.0,184914.0,337158.0,0.0,4932.0,4552.0,20211126 19:55:36,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542518,b6a85123-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150203,TA,20150203 00:00:00,1440,4750.0,4860.0,4722.0,4852.0,4457782800.0,185864.0,344582.0,0.0,4882.0,4506.0,20211126 19:55:13,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409714,a92e0133-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150204,TA,20150204 00:00:00,1440,4912.0,4976.0,4866.0,4880.0,4737472000.0,193064.0,326906.0,0.0,4990.0,4606.0,20211126 19:54:50,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542519,9aae73c7-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150205,TA,20150205 00:00:00,1440,4872.0,4884.0,4808.0,4844.0,3007121700.0,124132.0,332800.0,0.0,5106.0,4710.0,20211126 19:54:26,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409715,8d1402ed-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150206,TA,20150206 00:00:00,1440,4864.0,4942.0,4852.0,4930.0,4138347100.0,168846.0,360320.0,0.0,5040.0,4652.0,20211126 19:54:03,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409716,8054521e-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150209,TA,20150209 00:00:00,1440,4930.0,4936.0,4876.0,4898.0,2880052600.0,117554.0,375570.0,0.0,5100.0,4704.0,20211126 19:53:42,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542520,72243d5f-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150210,TA,20150210 00:00:00,1440,4912.0,4918.0,4846.0,4852.0,3433204000.0,140920.0,398190.0,0.0,5096.0,4704.0,20211126 19:53:18,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542521,646dcc8c-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150211,TA,20150211 00:00:00,1440,4844.0,4872.0,4824.0,4856.0,2760804200.0,113810.0,414758.0,0.0,5070.0,4678.0,20211126 19:52:55,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539141,55fad45b-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150212,TA,20150212 00:00:00,1440,4850.0,4864.0,4818.0,4848.0,2475583800.0,102226.0,425990.0,0.0,5048.0,4656.0,20211126 19:52:31,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542522,4819c8ec-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150213,TA,20150213 00:00:00,1440,4866.0,4956.0,4850.0,4940.0,5150099700.0,209886.0,434740.0,0.0,5038.0,4650.0,20211126 19:52:08,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539142,3a60a4b1-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150216,TA,20150216 00:00:00,1440,4948.0,5060.0,4938.0,5026.0,4869862900.0,195642.0,423884.0,0.0,5106.0,4710.0,20211126 19:51:44,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409717,2ae6cce3-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150217,TA,20150217 00:00:00,1440,5036.0,5102.0,5016.0,5062.0,4452430400.0,176018.0,429464.0,0.0,5278.0,4678.0,20211126 19:51:19,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409718,1b92013b-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150225,TA,20150225 00:00:00,1440,4956.0,5016.0,4950.0,4984.0,3584036500.0,143958.0,430664.0,0.0,5364.0,4756.0,20211126 19:50:53,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539143,0d69efe2-4eaf-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150226,TA,20150226 00:00:00,1440,4998.0,5112.0,4988.0,5080.0,7360094200.0,290494.0,412646.0,0.0,5180.0,4780.0,20211126 19:50:29,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539144,ffa62bc6-4eae-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150227,TA,20150227 00:00:00,1440,5064.0,5084.0,4996.0,5046.0,7464499700.0,296274.0,456632.0,0.0,5272.0,4864.0,20211126 19:50:06,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539145,51b51d70-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150302,TA,20150302 00:00:00,1440,5046.0,5176.0,5044.0,5124.0,12810109500.0,501952.0,477700.0,0.0,5242.0,4838.0,20211126 02:05:48,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539146,434ad399-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150303,TA,20150303 00:00:00,1440,5096.0,5232.0,5096.0,5184.0,19474975900.0,752844.0,453872.0,0.0,5310.0,4898.0,20211126 02:05:25,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539147,35483cb0-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150304,TA,20150304 00:00:00,1440,5184.0,5202.0,5114.0,5146.0,10642372100.0,413074.0,466894.0,0.0,5382.0,4966.0,20211126 02:05:01,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539148,27be81cd-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150305,TA,20150305 00:00:00,1440,5150.0,5168.0,4946.0,4978.0,15406320600.0,612164.0,481254.0,0.0,5362.0,4946.0,20211126 02:04:38,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1539149,1a6f6ec4-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150306,TA,20150306 00:00:00,1440,4982.0,5012.0,4920.0,4930.0,10204518000.0,410618.0,485688.0,0.0,5236.0,4832.0,20211126 02:04:16,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542523,0deb3340-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150309,TA,20150309 00:00:00,1440,4934.0,4946.0,4830.0,4886.0,10931450800.0,447744.0,500556.0,0.0,5170.0,4770.0,20211126 02:03:55,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409719,012393d9-4e1a-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150310,TA,20150310 00:00:00,1440,4864.0,4916.0,4858.0,4870.0,7299666400.0,298516.0,505610.0,0.0,5080.0,4688.0,20211126 02:03:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542524,f4e2d913-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150311,TA,20150311 00:00:00,1440,4860.0,4868.0,4816.0,4840.0,7574458400.0,312698.0,510316.0,0.0,5088.0,4696.0,20211126 02:03:13,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409720,e89d4b74-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150312,TA,20150312 00:00:00,1440,4844.0,4922.0,4836.0,4912.0,9617725400.0,393520.0,537924.0,0.0,5040.0,4652.0,20211126 02:02:52,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542525,dc8d24c6-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150313,TA,20150313 00:00:00,1440,4924.0,4960.0,4854.0,4866.0,13882052200.0,566376.0,632738.0,0.0,5084.0,4692.0,20211126 02:02:32,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542526,d1015dff-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150316,TA,20150316 00:00:00,1440,4842.0,4842.0,4728.0,4770.0,16751668300.0,701358.0,694334.0,0.0,5100.0,4704.0,20211126 02:02:12,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
409721,c5147977-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150317,TA,20150317 00:00:00,1440,4764.0,4848.0,4744.0,4828.0,19141581300.0,797438.0,759028.0,0.0,4970.0,4586.0,20211126 02:01:53,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
1542527,b9e33cff-4e19-11ec-bfdc-83f3c67958e8,TA-sec,TA509,20150318,TA,20150318 00:00:00,1440,4790.0,4808.0,4724.0,4732.0,13770118400.0,577496.0,788340.0,0.0,4996.0,4608.0,20211126 02:01:34,0,0.0,20150916.0,0.0,0,0.0,1,CZCE,0.0,0.0,0.0,0,TA-SEC
