,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1045044,e9948eb1-4ebf-11ec-bfe3-83f3c67958e8,v-sec,v1509,20150106,v,20150106 00:00:00,1440,5235.0,5280.0,5205.0,5270.0,53212100.0,2032.0,12996.0,0.0,5475.0,5055.0,20211126 21:51:10,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1045045,d546efb9-4ebf-11ec-bfe3-83f3c67958e8,v-sec,v1509,20150107,v,20150107 00:00:00,1440,5245.0,5275.0,5180.0,5215.0,112775000.0,4326.0,14384.0,0.0,5440.0,5030.0,20211126 21:50:36,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1867244,b9ae5dcd-4ebf-11ec-bfe3-83f3c67958e8,v-sec,v1509,20150108,v,20150108 00:00:00,1440,5215.0,5240.0,5210.0,5210.0,27898700.0,1070.0,14780.0,0.0,5415.0,5005.0,20211126 21:49:50,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1870017,abd5bef4-4ebf-11ec-bfe3-83f3c67958e8,v-sec,v1509,20150109,v,20150109 00:00:00,1440,5210.0,5210.0,5110.0,5135.0,143036600.0,5534.0,18436.0,0.0,5415.0,5005.0,20211126 21:49:27,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1870018,88e106e5-4ebf-11ec-bfe2-83f3c67958e8,v-sec,v1509,20150112,v,20150112 00:00:00,1440,5120.0,5140.0,5060.0,5070.0,71379000.0,2796.0,20330.0,0.0,5370.0,4960.0,20211126 21:48:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1867245,772c7bc7-4ebf-11ec-bfe2-83f3c67958e8,v-sec,v1509,20150113,v,20150113 00:00:00,1440,5035.0,5060.0,4985.0,5025.0,132863400.0,5304.0,21434.0,0.0,5305.0,4905.0,20211126 21:47:58,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1870019,59b16197-4ebf-11ec-bfe2-83f3c67958e8,v-sec,v1509,20150114,v,20150114 00:00:00,1440,5060.0,5065.0,4975.0,4985.0,96861000.0,3866.0,22190.0,0.0,5205.0,4805.0,20211126 21:47:09,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1045046,4a2e7726-4ebf-11ec-bfe2-83f3c67958e8,v-sec,v1509,20150115,v,20150115 00:00:00,1440,5025.0,5035.0,4975.0,4990.0,98952500.0,3950.0,22488.0,0.0,5210.0,4810.0,20211126 21:46:43,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1870020,34000c00-4ebf-11ec-bfe1-83f3c67958e8,v-sec,v1509,20150116,v,20150116 00:00:00,1440,4950.0,5000.0,4865.0,4975.0,79484700.0,3216.0,22894.0,0.0,5210.0,4810.0,20211126 21:46:06,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
1045047,226877e5-4ebf-11ec-bfe1-83f3c67958e8,v-sec,v1509,20150119,v,20150119 00:00:00,1440,5000.0,5025.0,4980.0,4995.0,34798000.0,1392.0,22894.0,0.0,5135.0,4745.0,20211126 21:45:36,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,V-SEC
