,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1095586,ea579c37-4ebf-11ec-bfe3-83f3c67958e8,y-sec,y1509,20150106,y,20150106 00:00:00,1440,5718.0,5792.0,5704.0,5778.0,2954384000.0,51336.0,170632.0,0.0,5960.0,5504.0,20211126 21:51:12,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095587,dd92327d-4ebf-11ec-bfe3-83f3c67958e8,y-sec,y1509,20150107,y,20150107 00:00:00,1440,5768.0,5810.0,5756.0,5772.0,3043202400.0,52658.0,169904.0,0.0,5984.0,5524.0,20211126 21:50:50,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1889498,ba8e9fd7-4ebf-11ec-bfe3-83f3c67958e8,y-sec,y1509,20150108,y,20150108 00:00:00,1440,5808.0,5856.0,5794.0,5824.0,3901390800.0,66950.0,168894.0,0.0,6008.0,5548.0,20211126 21:49:51,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1889499,acd711fc-4ebf-11ec-bfe3-83f3c67958e8,y-sec,y1509,20150109,y,20150109 00:00:00,1440,5848.0,5864.0,5802.0,5822.0,3933321600.0,67400.0,170362.0,0.0,6058.0,5594.0,20211126 21:49:28,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884009,8a2a3f80-4ebf-11ec-bfe2-83f3c67958e8,y-sec,y1509,20150112,y,20150112 00:00:00,1440,5820.0,5848.0,5812.0,5826.0,1651057300.0,28308.0,169648.0,0.0,6066.0,5602.0,20211126 21:48:30,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1889500,77ec3ef8-4ebf-11ec-bfe2-83f3c67958e8,y-sec,y1509,20150113,y,20150113 00:00:00,1440,5820.0,5822.0,5724.0,5732.0,3095058200.0,53660.0,165864.0,0.0,6064.0,5600.0,20211126 21:48:00,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884010,5ac3cf26-4ebf-11ec-bfe2-83f3c67958e8,y-sec,y1509,20150114,y,20150114 00:00:00,1440,5706.0,5762.0,5684.0,5704.0,3297587200.0,57654.0,174046.0,0.0,5996.0,5536.0,20211126 21:47:11,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1889501,4b4ba56c-4ebf-11ec-bfe2-83f3c67958e8,y-sec,y1509,20150115,y,20150115 00:00:00,1440,5698.0,5738.0,5666.0,5726.0,4097718700.0,71808.0,187778.0,0.0,5946.0,5490.0,20211126 21:46:45,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1889502,351cf197-4ebf-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150116,y,20150116 00:00:00,1440,5740.0,5762.0,5678.0,5696.0,3824799500.0,67006.0,201716.0,0.0,5934.0,5478.0,20211126 21:46:07,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095588,23809cfe-4ebf-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150119,y,20150119 00:00:00,1440,5702.0,5774.0,5524.0,5666.0,5682843200.0,99816.0,198162.0,0.0,5936.0,5480.0,20211126 21:45:38,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884011,1782e763-4ebf-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150120,y,20150120 00:00:00,1440,5672.0,5696.0,5642.0,5686.0,3881035200.0,68464.0,210502.0,0.0,5918.0,5466.0,20211126 21:45:18,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884012,09b4d3e1-4ebf-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150121,y,20150121 00:00:00,1440,5700.0,5730.0,5666.0,5706.0,5305200200.0,93076.0,230740.0,0.0,5894.0,5442.0,20211126 21:44:55,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884013,ecaf1b92-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150122,y,20150122 00:00:00,1440,5700.0,5712.0,5650.0,5658.0,5666159300.0,99580.0,255980.0,0.0,5924.0,5472.0,20211126 21:44:06,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1884014,ddd33408-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150123,y,20150123 00:00:00,1440,5662.0,5674.0,5576.0,5588.0,10392411200.0,185190.0,301286.0,0.0,5916.0,5464.0,20211126 21:43:41,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095589,c1d78e6b-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150126,y,20150126 00:00:00,1440,5598.0,5600.0,5530.0,5534.0,6107173700.0,109850.0,310642.0,0.0,5834.0,5386.0,20211126 21:42:54,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095590,b0e373c5-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150127,y,20150127 00:00:00,1440,5524.0,5560.0,5502.0,5506.0,7388463100.0,133504.0,331622.0,0.0,5780.0,5336.0,20211126 21:42:26,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095591,a45784cc-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150128,y,20150128 00:00:00,1440,5528.0,5536.0,5490.0,5506.0,6743967400.0,122462.0,338288.0,0.0,5754.0,5314.0,20211126 21:42:05,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
1095592,86635c10-4ebe-11ec-bfe1-83f3c67958e8,y-sec,y1509,20150129,y,20150129 00:00:00,1440,5500.0,5500.0,5418.0,5440.0,8695885600.0,159442.0,365984.0,0.0,5726.0,5286.0,20211126 21:41:15,0,0.0,20150916.0,0.0,0,0.0,1,DCE,0.0,0.0,0.0,0,Y-SEC
