,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1613654,64e28211-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150609,ZC,20150609 00:00:00,1440,466,466,466,466,0,0,2,0,484.8,447.2,20211125 21:27:10,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
1613655,564ed7c1-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150610,ZC,20150610 00:00:00,1440,447.2,447.2,447.2,447.2,0,0,2,0,484.8,447.2,20211125 21:26:46,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
1623329,48021b86-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150611,ZC,20150611 00:00:00,1440,447.2,447.2,447.2,447.2,0,0,2,0,478.6,415.8,20211125 21:26:22,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
492456,38d9ef16-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150612,ZC,20150612 00:00:00,1440,443,443,443,443,88600,2,4,0,465.2,429.2,20211125 21:25:57,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
492457,2adb6b41-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150615,ZC,20150615 00:00:00,1440,427.4,427.4,427.4,427.4,171000,4,0,0,460.8,425.2,20211125 21:25:33,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
492458,1bbee66b-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150616,ZC,20150616 00:00:00,1440,424.4,424.4,424.4,424.4,0,0,0,0,444.6,410.2,20211125 21:25:08,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
1613656,0de45da2-4df3-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150617,ZC,20150617 00:00:00,1440,424.4,424.4,424.4,424.4,0,0,0,0,441.4,407.4,20211125 21:24:44,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
1623330,fef4bb10-4df2-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150618,ZC,20150618 00:00:00,1440,424.4,424.4,424.4,424.4,0,0,0,0,441.4,407.4,20211125 21:24:19,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
1613657,f11e1355-4df2-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150619,ZC,20150619 00:00:00,1440,424.4,424.4,424.4,424.4,0,0,0,0,441.4,407.4,20211125 21:23:56,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
492459,e38011fd-4df2-11ec-bfdc-83f3c67958e8,ZC-sec,ZC606,20150623,ZC,20150623 00:00:00,1440,424.4,424.4,424.4,424.4,0,0,0,0,441.4,407.4,20211125 21:23:33,0,0,20160607,0,0,0,1,CZCE,0,0,0,0,ZC-SEC
