,id,contract_code,contract_code_ref,trading_date,underlying_code,datetime,granularity,open,high,low,close,total_turnover,volume,open_interest,total_volume,upper_limit_price,lower_limit_price,system_time,no_night_flag,turnover,expire_date,total_bid_ask_spread,tick_count,avg_bid_ask_spread,version,exchange_id,twap,vwap,mid_price_mean,bar_loc,new_contract_code
1097223,b86acba0-684f-11ec-822b-83f3c67958e8,zn-sec,zn1502,20150105,zn,20150105 00:00:00,1440,16795.0,16885.0,16650.0,16740.0,3360146350.0,40060.0,56452.0,0.0,17510.0,15845.0,20211229 10:33:34,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887303,eabaab76-4ebf-11ec-bfe3-83f3c67958e8,zn-sec,zn1502,20150106,zn,20150106 00:00:00,1440,16610.0,16815.0,16525.0,16770.0,2936542900.0,35134.0,54290.0,0.0,17610.0,15935.0,20211126 21:51:12,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887304,ddc26bb9-4ebf-11ec-bfe3-83f3c67958e8,zn-sec,zn1502,20150107,zn,20150107 00:00:00,1440,16795.0,16795.0,16645.0,16690.0,2264489850.0,27122.0,51070.0,0.0,17550.0,15875.0,20211126 21:50:51,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1097224,bacfb6c6-4ebf-11ec-bfe3-83f3c67958e8,zn-sec,zn1502,20150108,zn,20150108 00:00:00,1440,16640.0,16670.0,16500.0,16520.0,2117834800.0,25578.0,47092.0,0.0,17525.0,15860.0,20211126 21:49:52,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887305,ad1bbe89-4ebf-11ec-bfe3-83f3c67958e8,zn-sec,zn1502,20150109,zn,20150109 00:00:00,1440,16560.0,16655.0,16470.0,16515.0,1199407350.0,14490.0,44372.0,0.0,17380.0,15725.0,20211126 21:49:29,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887306,8a67ebf5-4ebf-11ec-bfe2-83f3c67958e8,zn-sec,zn1502,20150112,zn,20150112 00:00:00,1440,16530.0,16645.0,16435.0,16475.0,953032650.0,11528.0,41180.0,0.0,17375.0,15720.0,20211126 21:48:31,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887307,78479219-4ebf-11ec-bfe2-83f3c67958e8,zn-sec,zn1502,20150113,zn,20150113 00:00:00,1440,16380.0,16460.0,16320.0,16320.0,737508050.0,8996.0,38760.0,0.0,17355.0,15700.0,20211126 21:48:00,0,0.0,20150210.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1887308,5b5ad1de-4ebf-11ec-bfe2-83f3c67958e8,zn-sec,zn1504,20150114,zn,20150114 00:00:00,1440,16020.0,16125.0,15500.0,15605.0,11071396300.0,140272.0,60944.0,0.0,17100.0,15475.0,20211126 21:47:12,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1894666,4b932aba-4ebf-11ec-bfe2-83f3c67958e8,zn-sec,zn1504,20150115,zn,20150115 00:00:00,1440,15710.0,15905.0,15650.0,15835.0,8828830800.0,111790.0,63404.0,0.0,16570.0,14995.0,20211126 21:46:45,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
1097225,37cee369-4ebf-11ec-bfe1-83f3c67958e8,zn-sec,zn1504,20150116,zn,20150116 00:00:00,1440,15865.0,15980.0,15705.0,15775.0,5586741450.0,70686.0,67824.0,0.0,16580.0,15005.0,20211126 21:46:12,0,0.0,20150415.0,0.0,0,0.0,1,SHFE,0.0,0.0,0.0,0,ZN-SEC
